,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PGT,4,2022,-9.9,1.2,-3.6,,-0.099,-0.047,271,5.0,41,-12.6,-323,2639,,,,,,0.359,,,0.7,1.0,1.0,-1.829,-1169,0.336,,,0.4,0.2,-1.1,,2.8,1,0.088,0.085,235.0,1.3,4.571,0.3,,,3.1,,,,,,,,,1.4,,-0.074,-0.2,
1,PGT,3,2022,10.8,1.3,-3.5,,0.11,0.057,272,3.0,62,-19.8,390,3296,,,,,,0.445,,,0.9,1.1,1.1,-0.435,-1262,0.212,,,0.4,0.2,-0.9,,2.2,4,0.114,0.115,213.0,1.3,3.688,0.2,,,1.0,,,,,,,,,1.2,,0.054,-0.11,
2,PGT,2,2022,8.7,1.6,-3.2,,0.185,0.101,807,4.0,73,-79.6,690,3704,,,,,,0.489,,,1.0,1.2,1.2,3.165,-1198,0.273,,1.379,0.3,0.2,-1.0,,2.0,7,0.065,0.088,737.0,0.5,7.697,0.1,1.0,,-2.0,,,,,,,,,1.0,,0.13,0.0,
3,PGT,1,2022,61.5,2.8,-6.3,,0.044,0.025,843,6.0,107,-21.3,165,3703,,,,,,0.5,,,1.1,1.2,1.2,0.755,-1060,0.184,,0.009,0.3,0.2,-1.1,,2.0,6,0.067,0.046,742.0,0.4,7.244,0.1,0.9,,0.0,,,,,,,,,0.9,,0.145,-0.053,
4,PGT,4,2021,120.6,2.9,-9.3,,0.019,0.012,12500,9.0,115,-24.0,94,3910,,,,,,0.599,,,1.9,2.2,2.2,-2.372,-926,,,3.129,0.3,0.2,-1.3,,1.7,25,0.005,0.003,12393.0,0.0,2.841,0.0,1.3,,-0.2,,,,,,,,,0.5,,0.316,0.03,
5,PGT,3,2021,-153.9,2.8,-16.3,,-0.014,-0.009,8251,32.0,295,-12.9,-68,3796,,,,,,0.614,,,2.0,1.8,1.8,-0.61,-704,,,0.315,0.3,0.2,-1.7,,1.6,15,0.038,0.015,7988.0,0.0,0.792,0.0,0.3,,-0.2,,,,,,,,,0.5,,0.058,0.009,
6,PGT,2,2021,-25.5,1.2,-17.6,,-0.036,-0.024,3269,26.0,133,-11.2,-176,3762,,,,,,0.62,,,2.1,2.7,2.7,-0.679,-665,,,7.807,0.3,0.2,-1.9,,1.6,31,0.086,0.034,3162.0,0.1,-1.229,0.1,0.6,,-0.9,,,,,,,,,0.5,,-0.329,-0.014,
7,PGT,1,2021,-14.0,2.0,-6.2,,-0.108,-0.074,1703,42.0,84,-17.4,-549,3814,,,,,,0.626,,,2.2,1.8,1.8,-3.721,-991,0.571,,,0.3,0.2,-1.2,,1.6,15,0.115,0.095,1660.0,0.2,-1.561,0.1,,,0.4,,,,,,,,,0.5,,-8.84,-0.347,
8,PGT,4,2020,14.9,0.5,46.0,,0.036,0.021,2083,34.0,331,,201,5842,,,,,,0.674,,,2.8,2.5,2.5,-1.262,126,0.788,,,0.2,0.1,16.8,,1.5,32,0.094,0.124,1786.0,0.2,-1.115,0.1,,,1.5,,,,,,,,,0.4,,-1.112,0.0,
9,PGT,3,2020,-4.7,0.6,-4.3,,-0.126,-0.074,2110,91.0,174,,-770,5841,,,,,,0.605,,,2.3,2.2,2.2,-0.137,-1124,0.972,,,0.2,0.1,-1.5,,1.7,32,0.175,0.301,2027.0,0.2,-0.047,0.1,,,0.4,,,,,,,,,0.4,,0.127,-0.042,
10,PGT,2,2020,-4.4,0.6,-4.3,,-0.14,-0.087,3733,78.0,661,-9.2,-892,6097,,,,,,0.707,,,3.6,2.9,2.9,-0.233,-998,0.975,,,0.2,0.2,-1.8,,1.4,34,0.177,0.346,3150.0,0.1,-4.225,0.0,,,0.7,,,,,,,,,0.3,,0.121,-0.044,
11,PGT,1,2020,-5.6,1.0,-5.8,,-0.172,-0.113,5183,17.0,47,,-1163,6375,,,,,,0.732,,,3.9,3.4,3.4,-0.379,-890,0.862,4.12,4.149,0.2,0.1,-1.9,,1.4,39,0.18,0.266,5152.0,0.1,-2.664,0.0,1.0,4.12,1.0,,,,,,,,,0.3,,-0.579,0.168,
12,PGT,4,2019,-3.2,1.1,-3.0,,-0.293,-0.184,10267,21.0,213,,-1872,5460,,,,,,0.515,,,1.3,2.1,2.1,507.487,-2114,0.649,-133.672,-109.464,0.5,0.3,-0.7,,1.9,48,0.108,0.101,10075.0,0.0,-3.556,0.0,1.0,-133.672,0.8,,,,,,,,,0.8,,0.919,-0.167,
13,PGT,3,2019,-1113.3,0.6,-5.1,,-0.001,0.0,9837,23.0,180,,-3,6556,,,,,,0.566,,,1.6,2.1,2.1,-1.153,-1101,0.684,-20.317,-13.413,0.3,0.2,-2.1,,1.8,45,0.356,0.44,9680.0,0.0,-4.875,0.0,1.0,-20.317,0.7,,,,,,,,,0.6,,-0.132,-0.035,
14,PGT,2,2019,290.6,1.0,-3.4,,0.004,0.002,7227,17.0,114,-115.2,24,6792,,,,,,0.556,,,1.6,2.1,2.1,-0.929,-1268,0.574,-2.831,-3.665,0.3,0.2,-1.8,,1.8,49,0.451,0.663,7129.0,0.1,0.552,0.0,1.1,-2.831,1.4,,,,,,,,,0.6,,0.132,-0.072,
15,PGT,1,2019,11.5,0.5,-3.2,,0.047,0.034,9359,7.0,40,,339,7316,,,,,,0.598,,,1.8,2.3,2.3,1.836,-1121,0.431,-114.016,6.876,0.3,0.2,-1.0,,1.7,51,0.745,0.864,9326.0,0.0,-0.92,0.0,1.0,-114.016,-0.1,,,,,,,,,0.6,,0.153,-0.001,
16,PGT,4,2018,35.0,0.6,-2.4,,0.017,0.014,6063,5.0,20,,119,7321,,,,,,0.751,,,30.5,39.8,39.7,-1.26,-972,0.33,-146.78,371.538,0.0,0.0,0.0,,1.3,84,0.25,0.321,6048.0,0.1,0.527,0.0,1.0,-146.78,-2.5,,,,,,,,,0.0,,0.936,0.102,
17,PGT,3,2018,-9.6,0.7,-0.8,,-0.068,-0.055,2025,4.0,30,,-460,6646,,,,,,0.699,,,2.3,3.3,3.3,-0.043,-502,-0.364,-4.631,-2.395,0.4,0.3,-2.5,,1.4,59,0.886,1.577,1999.0,0.2,0.0,0.1,1.0,-4.631,0.5,,,,,,,,,0.4,,-0.034,-0.046,
18,PGT,2,2018,-6.7,0.5,-8.9,,-0.067,-0.055,1968,4.0,5,,-480,6964,,,,,,0.713,,,2.5,3.4,3.4,-0.373,-520,-0.412,-2.957,-2.923,0.4,0.3,-2.4,,1.4,60,0.764,1.353,1967.0,0.2,0.357,0.1,1.0,-2.957,1.0,,,,,,,,,0.4,,-0.38,-0.035,
19,PGT,1,2018,-4.7,0.5,-0.7,,-0.1,-0.095,1677,2.0,13,,-767,7218,,,,,,0.961,,,24.7,25.6,25.6,-0.16,-838,-0.096,-1.922,-1.851,0.0,0.0,0.0,,1.0,65,0.457,0.84,1666.0,0.2,-0.216,0.1,1.0,-1.922,1.0,,,,,,,,,0.0,,-0.152,0.013,
20,PGT,4,2017,-4.3,0.5,-0.5,,-0.117,-0.113,1338,2.0,11,,-913,7126,,,,,,0.964,,,26.5,28.5,28.5,-0.295,-988,0.805,0.397,0.424,0.0,0.0,0.0,,1.0,67,0.332,0.83,1329.0,0.3,0.0,0.1,1.0,0.397,1.1,,,,,,,,,0.0,,-0.341,0.027,
21,PGT,3,2017,-2.9,0.5,-0.9,,-0.167,-0.161,1496,1.0,4,,-1296,6939,,,,,,0.969,,,31.0,33.1,33.1,-0.029,-1500,-0.834,-2.594,-2.246,0.0,0.0,0.0,,1.0,65,0.338,0.628,1493.0,0.2,1.968,0.1,1.0,-2.594,0.9,,,,,,,,,0.0,,-0.017,-0.068,
22,PGT,2,2017,-3.4,0.6,-1.4,,-0.163,-0.157,1225,1.0,3,,-1334,7447,,,,,,0.97,,,31.9,29.2,29.2,0.483,-1526,-0.073,-2.659,-2.465,0.0,0.0,0.0,,1.0,59,0.226,0.439,1224.0,0.3,1.661,0.1,1.0,-2.659,0.9,,,,,,,,,0.0,,0.156,-0.09,
23,PGT,1,2017,-3.7,0.4,-0.2,,-0.105,-0.101,1156,0.0,3,,-900,8179,,,,,,0.955,,,21.4,21.1,21.1,0.275,-1319,-0.1,-1.093,-1.047,0.0,0.0,0.0,,1.0,69,0.353,0.917,1153.0,0.3,1.641,0.1,1.0,-1.093,1.0,,,,,,,,,0.0,,0.084,-0.04,
24,PGT,4,2016,-6.7,0.6,0.3,,-0.08,-0.078,1217,1.0,2,,-705,8524,,,,,,0.964,,,27.0,26.5,26.5,0.319,-1217,-0.054,-0.927,-0.576,0.0,0.0,0.0,,1.0,72,0.435,1.095,1215.0,0.3,1.481,0.1,1.0,-0.927,0.6,,,,,,,,,0.0,,0.249,-0.013,
25,PGT,3,2016,-9.9,0.6,-1.6,,-0.06,-0.059,1520,,0,,-535,8633,,,,,,0.97,,,32.1,33.1,33.1,0.631,-975,-0.265,-0.916,-0.835,0.0,0.0,0.0,,1.0,78,0.351,0.657,,0.2,-2.246,0.1,1.0,-0.916,0.9,,,,,,,,,0.0,,0.168,-0.032,
26,PGT,2,2016,-13.1,0.5,-2.4,,-0.036,-0.035,2207,2.0,3,,-328,8918,,,,,,0.953,,,20.1,20.0,20.0,0.537,-834,-0.538,-1.275,-0.362,0.0,0.0,0.0,,1.0,76,0.381,0.625,2206.0,0.2,-2.195,0.1,0.6,-1.275,0.2,,,,,,,,,0.0,,0.511,-0.012,
27,PGT,1,2016,-20.6,0.5,-1.9,,-0.023,-0.023,2289,10.0,6,,-213,9023,,,,,,0.977,,,42.6,35.5,35.5,-6.575,-552,-0.198,-0.952,-0.564,0.0,0.0,0.0,,1.0,66,0.356,0.783,2292.0,0.2,-2.144,0.1,1.0,-0.952,0.6,,,,,,,,,0.0,,0.699,-0.018,
28,PGT,4,2015,130.5,0.5,3.1,,0.004,0.004,2187,10.0,1,,38,9187,,,,,,0.989,,,88.0,83.7,83.7,-0.846,-325,-0.041,-1.003,-0.225,0.0,0.0,0.0,,1.0,78,0.593,1.235,2196.0,0.2,,0.1,1.0,-1.003,0.2,,,,,,,,,0.0,,0.148,-0.002,
29,PGT,3,2015,20.5,0.6,10.3,,0.027,0.027,1314,7.0,1,,248,9208,,,,,,0.988,,,79.2,115.5,115.5,-0.469,-283,0.022,-14.391,-5.429,0.0,0.0,0.0,,1.0,120,0.802,1.675,1320.0,0.3,0.0,0.1,1.0,-14.391,0.4,,,,,,,,,0.0,,0.374,-0.006,
30,PGT,2,2015,13.7,0.7,14.3,,0.052,0.051,941,6.0,1,,468,9260,,,,,,0.988,,,84.1,85.1,85.0,-0.341,-206,0.042,-0.301,0.037,0.0,0.0,0.0,,1.0,83,0.881,1.59,946.0,0.4,0.0,0.2,1.0,-0.301,-0.1,,,,,,,,,0.0,,0.182,0.001,
31,PGT,1,2015,9.1,0.7,16.4,,0.08,0.078,762,8.0,2,,710,9250,,,,,,0.99,,,99.7,145.4,145.0,-0.372,-174,0.037,-0.07,0.34,0.0,0.0,0.0,,1.0,120,0.971,1.484,768.0,0.5,0.0,0.2,1.0,-0.07,-4.8,,,,,,,,,0.0,,0.594,0.013,
