,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PGV,4,2022,9.0,1.2,6.5,,0.137,0.035,62,24,38,1.9,2076,15200,,,,,,0.26,,,0.4,1.6,1.4,0.025,8279,0.1,0.08,0.051,2.3,0.6,4.6,0.2,3.8,7142,0.099,0.082,48,5.9,-0.018,0.7,0.8,0.08,0.8,,,,,,,,,2.8,,-0.013,0.005,
1,PGV,3,2022,11.0,1.5,6.5,,0.136,0.032,69,33,40,3.5,2025,15121,,,,,,0.241,,,0.3,1.4,1.3,-0.206,8385,0.137,0.124,0.025,2.4,0.6,4.6,0.1,4.1,7059,0.133,0.104,63,5.3,-0.015,0.6,0.8,0.124,0.3,,,,,,,,,3.1,,0.063,-0.068,
2,PGV,2,2022,9.5,1.5,7.5,,0.167,0.04,81,38,51,3.2,2551,16230,,,,,,0.249,,,0.3,1.5,1.3,-0.092,7886,0.102,0.089,0.047,2.3,0.6,5.2,0.1,4.0,8894,0.069,0.055,68,4.5,-0.019,0.6,0.9,0.089,0.6,,,,,,,,,2.9,,0.0,0.02,
3,PGV,1,2022,11.6,2.0,8.1,,0.19,0.044,86,32,53,4.3,2810,15910,,,,,,0.253,,,0.3,1.5,1.4,0.02,7884,0.12,0.111,0.078,2.3,0.6,5.3,0.1,3.9,7710,0.075,0.048,66,4.2,-0.022,0.6,0.8,0.111,0.9,,,,,,,,,2.9,,0.058,0.053,
4,PGV,4,2021,13.1,2.4,9.7,,0.195,0.044,90,44,46,4.0,2755,15116,,,,,,0.245,,,0.3,1.8,1.4,-0.047,7450,0.15,0.121,0.061,2.6,0.6,5.8,0.1,4.1,8927,0.138,0.066,87,4.1,-0.02,0.5,0.6,0.121,0.8,,,,,,,,,3.0,,-0.016,0.034,
5,PGV,3,2021,9.4,1.9,0.0,,0.219,0.045,93,46,39,2.5,2891,14614,,,,,,0.233,,,0.3,1.8,1.5,0.12,7573,0.102,0.084,0.101,2.7,0.6,5.8,0.1,4.3,9742,0.115,,99,3.9,-0.018,0.5,0.8,0.084,1.4,,,,,,,,,3.2,,-0.067,0.022,
6,PGV,2,2021,5.9,1.1,9.4,,0.202,0.04,82,45,42,3.1,2582,14297,,,,,,0.224,,,0.3,1.8,1.4,-0.066,8120,0.116,0.101,0.081,2.9,0.7,5.8,0.1,4.5,9208,0.066,0.031,85,4.4,-0.021,0.5,0.9,0.101,0.9,,,,,,,,,3.4,,0.02,0.044,
7,PGV,1,2021,5.5,1.1,7.8,,0.233,0.042,95,42,47,2.5,2764,13689,,,,,,0.211,,,0.3,2.0,1.6,0.6,7961,0.091,0.081,0.086,3.1,0.7,6.1,0.1,4.7,10987,0.152,0.119,90,3.8,-0.009,0.5,0.8,0.081,1.3,,,,,,,,,3.6,,-0.044,0.043,
8,PGV,4,2020,9.0,1.2,7.6,,0.147,0.026,77,38,44,3.4,1727,13124,,,,,,0.203,,,0.3,1.8,1.5,0.17,8323,0.164,0.133,0.075,3.4,0.7,6.0,0.1,4.9,9583,0.172,0.14,70,4.7,-0.01,0.5,0.7,0.133,0.8,,,,,,,,,3.8,,-0.013,0.115,
9,PGV,3,2020,6.9,0.9,7.6,,0.135,0.022,76,33,35,2.7,1476,11775,,,,,,0.18,,,0.2,1.8,1.5,0.395,8432,0.134,0.121,0.059,3.8,0.7,6.0,0.1,5.6,9532,0.244,0.171,74,4.8,-0.009,0.6,0.8,0.121,0.6,,,,,,,,,4.4,,-0.015,0.043,
10,PGV,2,2020,8.8,0.8,7.0,,0.103,0.016,61,29,40,1.6,1058,11293,,,,,,0.17,,,0.2,1.6,1.3,3.13,8556,0.089,0.079,0.101,4.1,0.7,6.1,0.1,5.9,8093,0.152,0.162,50,6.0,-0.019,0.6,0.9,0.079,1.4,,,,,,,,,4.7,,-0.053,0.121,
11,PGV,1,2020,33.1,0.8,6.6,,0.027,0.004,71,30,39,1.9,256,10072,,,,,,0.149,,,0.2,1.7,1.4,-0.712,9031,0.104,0.095,,4.7,0.7,5.9,0.1,6.7,9069,0.213,0.237,62,5.1,-0.021,0.6,,0.095,-0.3,,,,,,,,,5.5,,0.008,-0.037,
12,PGV,4,2019,10.1,0.9,,,0.093,0.013,75,28,38,1.6,888,10457,,,,,,0.153,,,0.2,1.6,1.3,-4.201,8958,0.127,0.108,0.038,4.6,0.7,6.1,0.1,6.5,7465,0.239,,65,4.9,-0.02,0.6,1.4,0.108,0.5,,,,,,,,,5.3,,0.015,0.039,
13,PGV,3,2019,-34.9,1.0,7.1,,-0.03,-0.004,79,29,41,1.9,-277,10069,,,,,,0.149,,,0.2,1.8,1.5,-0.414,8823,0.126,0.114,0.007,4.9,0.7,6.3,0.1,6.7,8087,0.173,0.171,67,4.6,-0.051,0.6,1.8,0.114,0.1,,,,,,,,,5.5,,0.082,0.086,
14,PGV,2,2019,-20.1,1.0,7.7,,-0.052,-0.007,100,26,51,1.9,-473,9271,,,,,,0.134,,,0.2,1.5,1.3,-0.223,8152,0.122,0.112,0.013,5.5,0.8,6.9,0.1,7.5,6517,0.29,0.291,75,3.6,-0.012,0.5,1.2,0.112,0.1,,,,,,,,,6.2,,-0.007,0.033,
15,PGV,1,2019,-18.2,1.2,7.9,,-0.068,-0.009,106,30,48,1.5,-609,8978,,,,,,0.129,,,0.2,1.7,1.5,0.131,8211,0.107,0.099,0.032,5.7,0.8,6.9,0.1,7.8,8510,0.168,0.162,88,3.4,-0.046,0.5,1.0,0.099,0.3,,,,,,,,,6.5,,-0.026,0.034,
