,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PHC,4,2022,15.3,0.5,17.7,,0.03,0.008,40,127,128,0.5,384,12752,,,,,,0.238,,,0.3,1.1,0.7,-0.11,1525.0,0.03,0.009,0.005,1.6,0.4,13.0,5.5,4.2,144,0.082,0.184,39,9.1,-0.042,0.7,1.2,0.009,0.4,,,,,,,,,3.1,,-0.055,0.006,
1,PHC,3,2022,16.4,0.6,22.5,,0.042,0.009,51,183,112,0.5,432,12679,,,,,,0.241,,,0.3,1.1,0.7,-0.332,1614.0,0.072,0.017,0.001,1.6,0.4,16.2,5.9,4.2,159,0.021,0.045,122,7.1,-0.063,0.6,1.5,0.017,0.1,,,,,,,,,3.0,,-0.18,-0.004,
2,PHC,2,2022,10.3,0.5,18.3,,0.063,0.014,52,191,138,1.6,647,12728,,,,,,0.254,,,0.4,1.1,0.7,-0.433,1968.0,0.113,0.071,0.029,1.6,0.4,13.4,5.7,3.9,148,0.043,0.087,104,7.0,-0.167,0.5,0.8,0.071,0.5,,,,,,,,,2.8,,0.329,-0.055,
3,PHC,1,2022,11.7,1.0,25.6,,0.11,0.026,70,169,141,2.0,1140,13465,,,,,,0.275,,,0.4,1.2,0.8,0.06,1481.0,0.073,0.046,0.016,1.5,0.4,16.8,5.5,3.6,257,0.058,0.095,98,5.2,-0.157,0.5,0.8,0.046,0.5,,,,,,,,,2.5,,0.145,0.016,
4,PHC,4,2021,14.6,1.2,31.0,,0.105,0.024,105,231,171,-0.5,1075,13252,,,,,,0.273,,,0.4,1.2,0.8,0.123,1294.0,0.038,,0.021,1.4,0.4,19.6,4.8,3.7,277,0.084,0.1,164,3.5,-0.347,0.4,1.0,,-1.5,,,,,,,,,2.6,,-0.64,0.626,
5,PHC,3,2021,14.5,1.7,18.1,,0.122,0.023,91,239,193,2.2,957,8148,,,,,,0.195,,,0.3,1.1,0.8,0.28,3597.0,0.158,0.106,0.052,1.9,0.4,10.7,454.8,5.1,236,0.087,0.057,137,4.0,-1.217,0.5,0.8,0.106,0.6,,,,,,,,,3.4,,0.455,0.029,
6,PHC,2,2021,19.3,1.8,26.4,,0.096,0.017,70,213,183,0.5,748,7922,,,,,,0.196,,,0.3,1.1,0.8,2.89,2472.0,0.083,0.037,0.22,2.2,0.5,16.4,57.5,5.1,203,0.105,0.063,100,5.2,-0.711,0.5,0.8,0.037,7.3,,,,,,,,,3.7,,-0.291,0.091,
7,PHC,1,2021,53.4,1.4,14.3,,0.026,0.005,52,158,177,1.3,192,7264,,,,,,0.187,,,0.3,1.1,0.8,0.471,3486.0,0.099,0.061,0.014,2.1,0.4,10.7,29.8,5.3,164,0.214,0.182,34,7.0,-0.655,0.7,0.8,0.061,0.3,,,,,,,,,3.9,,0.041,0.01,
8,PHC,4,2020,78.3,1.4,16.5,,0.018,0.003,73,147,133,2.7,130,7194,,,,,,0.182,,,0.2,1.2,0.9,-0.68,3349.0,0.212,0.124,0.0,2.5,0.5,12.6,25.4,5.5,260,0.211,0.223,86,5.0,-0.25,0.7,0.0,0.124,0.2,,,,,,,,,4.0,,0.081,-0.055,
9,PHC,3,2020,20.6,1.1,17.3,,0.053,0.008,43,136,91,-0.4,408,7612,,,,,,0.183,,,0.2,1.2,0.8,-0.433,3099.0,0.035,,0.002,2.7,0.5,15.3,23.9,5.5,254,0.03,0.042,88,8.4,-0.311,1.1,1.0,,-0.2,,,,,,,,,4.4,,-0.346,-0.012,
