,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PIT,4,2022,19.9,0.5,8.7,,0.027,0.011,17,47,9,0.9,222,8326,,,,,,0.434,,,0.8,1.3,0.7,-1.768,1698.0,0.122,0.018,,1.1,0.5,6.1,,2.3,45,0.079,0.148,56,20.9,-0.002,2.6,,0.018,-0.4,,,,,,,,,1.3,,0.227,-0.009,
1,PIT,3,2022,-16.6,0.6,10.9,,-0.034,-0.013,16,48,6,1.1,-289,8405,,,,,,0.389,,,0.6,1.2,0.7,-0.287,1384.0,0.147,0.023,0.011,1.4,0.5,8.3,,2.6,42,0.054,0.095,58,22.9,-0.003,2.7,0.8,0.023,0.6,,,,,,,,,1.6,,0.028,0.014,
2,PIT,2,2022,-17.7,0.9,11.7,,-0.048,-0.016,13,49,8,1.1,-406,8293,,,,,,0.352,,,0.5,1.2,0.8,0.207,1346.0,0.107,0.015,0.003,1.7,0.6,10.3,,2.8,38,0.046,0.109,55,27.2,-0.002,2.5,0.8,0.015,0.3,,,,,,,,,1.8,,-0.068,0.007,
3,PIT,1,2022,-34.5,1.4,14.8,,-0.04,-0.013,13,61,8,1.5,-336,8234,,,,,,0.305,,,0.4,1.1,0.6,-0.154,1444.0,0.108,0.026,0.009,2.0,0.6,9.8,,3.3,36,0.034,0.042,66,28.7,-0.003,2.4,1.0,0.026,0.4,,,,,,,,,2.3,,0.083,0.016,
4,PIT,4,2021,-23.6,1.2,15.8,,-0.048,-0.017,11,48,9,-0.6,-397,8105,,,,,,0.349,,,0.5,1.1,0.7,-2.628,1333.0,0.124,,,1.5,0.5,8.9,,2.9,31,0.081,0.064,49,32.7,-0.004,2.6,,,4.5,,,,,,,,,1.9,,-0.128,-0.068,
5,PIT,3,2021,25.6,0.7,12.5,,0.029,0.011,11,53,8,0.8,244,8696,,,,,,0.375,,,0.6,1.2,0.7,-0.13,1530.0,0.099,0.013,,1.5,0.5,7.7,,2.7,32,0.031,0.032,56,33.0,-0.003,2.6,,0.013,0.0,,,,,,,,,1.7,,-0.056,0.0,
6,PIT,2,2021,21.0,0.7,12.8,,0.033,0.011,11,68,11,1.5,280,8700,,,,,,0.321,,,0.5,1.1,0.6,2.834,1621.0,0.096,0.023,0.008,1.8,0.6,8.6,,3.1,29,0.046,0.06,68,32.9,-0.002,2.1,1.0,0.023,0.3,,,,,,,,,2.1,,0.116,0.017,
7,PIT,1,2021,90.0,0.8,12.3,,0.009,0.003,12,67,12,1.2,73,8557,,,,,,0.354,,,0.5,1.1,0.6,-0.44,1452.0,0.12,0.017,0.005,1.6,0.6,7.9,,2.8,25,0.034,0.05,67,31.3,-0.001,1.9,1.0,0.017,0.3,,,,,,,,,1.8,,-0.029,0.008,
8,PIT,4,2020,42.0,0.6,11.3,,0.016,0.006,11,68,11,1.1,130,8489,,,,,,0.362,,,0.6,1.1,0.6,-0.003,1496.0,0.115,0.02,0.004,1.5,0.5,7.3,,2.8,22,0.03,0.042,68,32.7,-0.003,1.8,1.0,0.02,0.2,,,,,,,,,1.8,,2.277,0.006,
9,PIT,3,2020,39.2,0.6,37.3,,0.016,0.005,8,84,18,1.1,131,8437,,,,,,0.363,,,0.6,1.1,0.5,-0.615,457.0,0.142,0.031,0.004,1.5,0.5,26.4,,2.8,19,0.057,0.08,74,47.3,-0.013,1.6,1.0,0.031,0.1,,,,,,,,,1.8,,-0.297,0.004,
