,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PIV,4,2022,-0.1,2.3,-18.8,,-1.791,-1.646,2010.0,,8.0,,-8257,481,,,,,,0.542,,,1.2,2.2,2.2,153.521,-57,0.05,,,0.0,0.0,0.0,,1.8,8,0.042,0.019,,0.2,0.0,0.0,,,472.6,,,,,,,,,0.8,,0.062,-0.945,
1,PIV,3,2022,-22.9,0.1,,,-0.006,-0.006,,,,,-53,8699,,,,,,0.955,,,21.4,0.1,0.1,-0.116,-53,,,,0.0,0.0,0.0,,1.0,-6,0.004,,,,0.0,0.0,,,1.0,,,,,,,,,0.0,,-0.116,-0.001,
2,PIV,2,2022,-26.5,0.2,,,-0.007,-0.006,,,,,-60,8708,,,,,,0.956,,,21.5,0.2,0.2,-0.059,-60,,,,0.0,0.0,-11.5,,1.0,-6,0.005,,,,0.0,0.0,,,1.0,,,,,,,,,0.0,,-0.059,-0.002,
3,PIV,1,2022,-38.9,0.3,,,-0.007,-0.007,,,,,-64,8725,,,,,,0.956,,,21.6,0.2,0.2,-0.019,-64,,,,0.0,0.0,-10.8,,1.0,-6,0.006,,,,0.0,0.0,,,1.0,,,,,,,,,0.0,,-0.019,-0.002,
4,PIV,4,2021,-39.8,0.3,-16.3,,-0.007,-0.007,,,,,-65,8739,,,,,,0.956,,,21.6,0.2,0.2,-0.04,-65,,,,0.0,0.0,-10.6,,1.0,-6,0.006,0.048,,,0.0,0.0,,,1.0,,,,,,,,,0.0,,-0.04,-0.002,
5,PIV,3,2021,-23.5,0.2,,,-0.008,-0.007,,,,,-68,8753,,,,,,0.956,,,21.7,0.2,0.2,0.005,-68,,,,0.0,0.0,-10.2,,1.0,-6,0.006,,,,0.0,0.0,,,1.0,,,,,,,,,0.0,,0.005,-0.002,
6,PIV,2,2021,-22.1,0.2,,,-0.008,-0.006,,,,,-67,8769,,,,,,0.831,,,4.9,0.8,0.8,-0.129,-68,,,,0.2,0.1,-20.4,,1.2,-6,0.002,,,,0.0,0.0,,,1.0,,,,,,,,,0.2,,-0.129,-0.002,
7,PIV,1,2021,-16.7,0.1,,,-0.009,-0.008,,,,,-77,8789,,,,,,0.831,,,4.9,0.8,0.8,-0.021,-78,,,,0.2,0.1,-8.9,,1.2,-5,0.002,,,,0.0,0.0,,,1.0,,,,,,,,,0.2,,-0.021,-0.003,
8,PIV,4,2020,-6.3,0.1,-29.5,,-0.009,-0.008,,,,,-79,8818,,,,,,0.832,,,4.9,0.8,0.8,-0.003,-80,,,,0.2,0.1,-8.7,,1.2,-5,0.003,0.01,,,0.0,0.0,,,1.0,,,,,,,,,0.2,,-0.003,-0.002,
9,PIV,3,2020,-6.3,0.1,,,-0.009,-0.008,,,,,-79,8835,,,,,,0.832,,,4.9,0.8,0.8,-0.032,-80,,,,0.2,0.1,-9.1,,1.2,-5,0.003,,,,0.0,0.0,,,1.0,,,,,,,,,0.2,,-0.031,0.0,
