,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PLC,4,2022,19.4,2.1,9.2,,0.102,0.028,13,65,74.0,3.4,1648,15407,,,,,,0.27,,,0.4,1.1,0.7,0.108,6040.0,0.124,0.04,0.009,1.4,0.4,3.4,,3.7,310,0.442,0.213,5.0,27.5,-0.06,1.8,0.5,0.04,0.4,,,,,,,,,2.7,,0.228,-0.056,
1,PLC,3,2022,17.6,1.6,10.0,,0.09,0.023,15,79,88.0,2.8,1487,16323,,,,,,0.261,,,0.4,1.1,0.6,0.002,4917.0,0.112,0.034,0.012,1.6,0.4,4.8,,3.8,359,0.125,0.079,6.0,24.4,-0.088,1.5,0.8,0.034,0.5,,,,,,,,,2.8,,0.351,0.017,
2,PLC,2,2022,15.4,1.4,10.9,,0.091,0.024,13,71,98.0,6.0,1484,16046,,,,,,0.251,,,0.3,1.1,0.7,-0.201,3639.0,0.153,0.047,0.023,1.3,0.3,5.6,,4.0,317,0.109,0.088,-14.0,27.4,-0.023,1.5,0.8,0.047,0.6,,,,,,,,,3.0,,-0.01,-0.083,
3,PLC,1,2022,23.4,2.5,11.5,,0.111,0.032,15,61,87.0,4.0,1858,17497,,,,,,0.282,,,0.4,1.1,0.8,-0.042,3675.0,0.116,0.03,0.019,1.1,0.3,5.3,,3.5,400,0.258,0.163,-11.0,24.8,-0.043,1.6,0.8,0.03,0.8,,,,,,,,,2.5,,-0.011,0.043,
4,PLC,4,2021,19.3,2.2,13.2,,0.12,0.033,12,70,92.0,0.8,1940,16780,,,,,,0.282,,,0.4,1.1,0.7,-0.088,3714.0,0.13,0.008,0.005,1.1,0.3,5.7,,3.5,316,0.277,0.138,-9.0,29.7,-0.049,1.4,0.5,0.008,1.2,,,,,,,,,2.5,,-0.059,0.007,
5,PLC,3,2021,17.8,2.3,14.3,,0.129,0.034,14,77,106.0,0.4,2127,16660,,,,,,0.252,,,0.3,1.1,0.7,-0.11,3948.0,0.096,0.005,0.015,1.3,0.3,6.1,1092.9,4.0,294,0.391,0.16,-14.0,25.4,-0.05,1.3,0.8,0.005,3.8,,,,,,,,,3.0,,-0.129,0.015,
6,PLC,2,2021,10.6,1.5,12.9,,0.142,0.038,16,72,113.0,5.8,2391,16405,,,,,,0.268,,,0.4,1.1,0.8,0.122,4532.0,0.178,0.058,0.044,1.2,0.3,5.0,,3.7,242,0.358,0.131,-24.0,22.2,-0.089,1.3,0.8,0.058,1.0,,,,,,,,,2.7,,0.152,0.017,
7,PLC,1,2021,12.3,1.6,10.6,,0.13,0.037,16,74,114.0,3.7,2130,16131,,,,,,0.303,,,0.4,1.1,0.8,0.157,3935.0,0.132,0.039,0.029,1.2,0.4,5.4,169.0,3.3,190,0.301,0.183,-24.0,23.4,-0.075,1.3,0.8,0.039,0.9,,,,,,,,,2.3,,0.003,0.036,
8,PLC,4,2020,14.8,1.7,11.2,,0.115,0.032,15,79,103.0,1.1,1841,15566,,,,,,0.267,,,0.4,1.0,0.7,-0.072,3923.0,0.158,0.019,0.015,1.5,0.4,5.7,46.3,3.7,147,0.557,0.343,-9.0,24.7,-0.087,1.2,0.8,0.019,1.0,,,,,,,,,2.7,,-0.086,-0.043,
9,PLC,3,2020,10.3,1.3,10.0,,0.123,0.035,17,85,100.0,2.0,1983,16258,,,,,,0.271,,,0.4,1.1,0.8,0.117,4291.0,0.182,0.046,0.032,1.6,0.4,5.5,45.7,3.7,224,0.442,0.297,2.0,22.1,-0.137,1.2,0.8,0.046,0.9,,,,,,,,,2.7,,0.043,-0.062,
