,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PNP,4,2022,6.2,1.4,5.8,,0.225,0.132,64,0.0,28,10.0,3002,13538,,,,,,0.624,,,1.7,3.3,3.3,0.188,4254,0.316,0.248,0.189,0.5,0.3,1.7,0.0,1.6,82,0.042,0.031,36.0,5.7,0.0,1.0,0.8,0.248,1.0,,,,,,,,,0.6,,0.136,0.026,
1,PNP,3,2022,8.4,1.6,6.5,,0.193,0.103,92,,45,6.5,2527,13198,,,,,,0.582,,,1.4,2.3,2.3,0.009,3744,0.248,0.193,0.133,0.5,0.3,2.0,0.1,1.7,69,0.062,0.044,,4.0,0.0,0.9,0.8,0.193,0.9,,,,,,,,,0.7,,0.02,0.036,
2,PNP,2,2022,9.3,1.8,7.0,,0.201,0.106,38,,40,6.4,2504,12745,,,,,,0.538,,,1.2,1.3,1.3,0.083,3672,0.209,0.151,0.106,0.6,0.3,1.8,0.5,1.9,32,0.207,0.126,,9.6,-0.002,0.9,0.8,0.151,0.9,,,,,,,,,0.9,,0.073,-0.066,
3,PNP,1,2022,10.5,1.8,8.4,,0.181,0.1,56,,41,4.6,2311,13641,,,,,,0.572,,,1.3,1.9,1.9,-0.083,3421,0.292,0.197,0.125,0.6,0.3,2.1,0.3,1.7,56,0.011,0.006,,6.6,-0.003,0.8,0.8,0.197,0.8,,,,,,,,,0.7,,-0.187,0.036,
4,PNP,4,2021,11.0,2.1,8.0,,0.193,0.109,49,,40,5.3,2519,13167,,,,,,0.551,,,1.2,1.6,1.6,-0.027,4206,0.284,0.176,0.117,0.6,0.3,1.8,0.3,1.8,40,0.152,0.074,,7.5,-0.004,0.9,0.8,0.176,0.8,,,,,,,,,0.8,,-0.015,0.017,
5,PNP,3,2021,13.0,2.6,6.7,,0.205,0.103,80,,73,5.5,2589,12944,,,,,,0.494,,,1.0,2.0,2.0,-0.002,4269,0.223,0.175,0.126,0.6,0.3,1.8,0.2,2.0,104,0.124,0.072,,4.6,-0.004,0.8,0.8,0.175,0.9,,,,,,,,,1.0,,-0.002,0.06,
6,PNP,2,2021,9.1,1.9,8.6,,0.216,0.108,36,,52,5.8,2595,12214,,,,,,0.515,,,1.1,1.3,1.3,-0.109,4277,0.215,0.154,0.105,0.5,0.2,1.6,0.5,1.9,40,0.395,0.135,,10.1,-0.002,0.9,0.8,0.154,0.8,,,,,,,,,0.9,,-0.094,0.024,
7,PNP,1,2021,4.8,1.2,6.4,,0.255,0.127,31,,37,6.9,2913,11926,,,,,,0.53,,,1.1,1.5,1.5,0.158,4718,0.249,0.201,0.136,0.5,0.3,1.5,0.3,1.9,41,0.12,0.056,,11.7,-0.003,1.0,0.8,0.201,0.8,,,,,,,,,0.9,,0.265,-0.083,
8,PNP,4,2020,6.5,1.3,6.8,,0.191,0.106,57,,42,6.0,2515,13004,,,,,,0.578,,,1.4,1.7,1.7,-0.085,3731,0.242,0.181,0.125,0.5,0.3,2.1,0.4,1.7,49,0.123,0.078,,6.3,-0.002,0.9,0.8,0.181,0.9,,,,,,,,,0.7,,-0.07,0.052,
9,PNP,3,2020,5.0,1.1,4.6,,0.221,0.113,45,0.0,61,5.5,2749,12362,,,,,,0.515,,,1.1,1.5,1.5,-0.001,4012,0.224,0.176,0.127,0.6,0.3,2.0,0.2,1.9,45,0.202,0.184,-16.0,8.2,-0.002,0.9,0.8,0.176,0.9,,,,,,,,,0.9,,-0.151,0.048,
