,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,POV,4,2022,6.2,0.7,3.8,,0.105,0.054,-1,5,11,12.3,1510,14233,,,,,,0.507,,,1.0,0.9,0.6,-0.285,2680,0.037,0.004,0.004,0.1,0.0,0.4,0.6,2.0,-22,0.005,0.008,-7,,0.0,10.0,0.9,0.004,0.9,,,,,,,,,1.0,,-0.191,0.017,
1,POV,3,2022,4.8,0.7,2.8,,0.152,0.076,0,7,14,-23.8,2112,13989,,,,,,0.518,,,1.1,1.0,0.8,-0.297,3315,,,,0.1,0.0,0.3,0.6,1.9,-5,0.001,0.001,-8,,-0.045,9.1,,,0.9,,,,,,,,,0.9,,-0.235,-0.026,
2,POV,2,2022,3.5,0.7,2.6,,0.218,0.097,0,13,19,39.1,3005,14369,,,,,,0.391,,,0.6,1.0,0.5,0.247,4332,0.034,0.012,0.012,0.1,0.0,0.3,0.6,2.6,4,0.001,0.001,-6,,-0.006,6.8,0.9,0.012,1.1,,,,,,,,,1.6,,0.223,-0.059,
3,POV,1,2022,5.3,0.8,3.9,,0.171,0.088,1,9,16,26.1,2410,15269,,,,,,0.499,,,1.0,1.1,0.7,0.244,3543,0.037,0.014,0.013,0.1,0.0,0.4,0.6,2.0,22,0.003,0.003,-6,492.4,-0.005,6.0,0.9,0.014,1.0,,,,,,,,,1.0,,0.166,0.047,
4,POV,4,2021,6.0,0.8,4.8,,0.142,0.078,-1,8,14,35.1,1937,14588,,,,,,0.533,,,1.1,1.1,0.7,0.32,3039,0.046,0.022,0.019,0.1,0.0,0.5,0.7,1.9,10,0.001,0.001,-6,,-0.005,5.6,0.9,0.022,1.0,,,,,,,,,0.9,,0.172,0.061,
5,POV,3,2021,5.4,0.6,5.2,,0.112,0.054,-3,16,23,15.6,1467,13746,,,,,,0.476,,,0.9,1.0,0.5,0.375,2592,0.043,0.015,0.014,0.1,0.0,1.1,0.7,2.1,1,0.001,0.001,-9,,0.032,4.1,0.9,0.015,1.0,,,,,,,,,1.1,,0.147,0.038,
6,POV,2,2021,7.1,0.6,6.6,,0.084,0.042,-5,12,23,10.3,1067,13246,,,,,,0.525,,,1.1,0.9,0.6,1.486,2259,0.052,0.013,0.011,0.1,0.1,1.2,0.7,1.9,-9,0.001,0.001,-16,,0.009,3.6,0.9,0.013,1.0,,,,,,,,,0.9,,0.466,0.024,
7,POV,1,2021,15.1,0.5,5.6,,0.033,0.017,-6,9,25,6.1,429,12940,,,,,,0.539,,,1.2,0.9,0.7,24.877,1541,0.054,0.01,0.008,0.1,0.1,1.3,0.7,1.9,-13,0.001,0.002,-21,,0.007,3.4,1.0,0.01,0.8,,,,,,,,,0.9,,0.505,0.015,
8,POV,4,2020,316.3,0.4,11.9,,0.001,0.001,-5,14,26,6.2,16,12747,,,,,,0.578,,,1.4,0.9,0.6,-1.104,1024,0.083,0.022,0.02,0.1,0.1,2.1,0.6,1.7,-15,0.002,0.003,-18,,0.0,3.5,1.0,0.022,0.9,,,,,,,,,0.7,,1.332,0.028,
9,POV,3,2020,-30.2,0.4,31.3,,-0.013,-0.006,-5,8,23,2.5,-159,12405,,,,,,0.486,,,0.9,0.9,0.7,0.364,439,0.056,0.013,0.007,0.4,0.2,8.7,2.5,2.1,-20,0.002,0.003,-20,,-0.047,4.1,1.0,0.013,0.6,,,,,,,,,1.1,,-0.224,0.03,
