,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PPI,4,2022,-8.6,-0.2,-29.4,,0.024,-0.022,,,,,-69,-2976,,,,,,-1.014,,,-0.5,0.5,0.3,-0.866,-40,,,,-0.2,0.2,-15.9,,-1.0,-58,-0.002,0.009,,,0.0,0.0,,,1.0,,,,,,,,,-2.0,,-0.919,0.005,
1,PPI,3,2022,-2.1,-0.4,,,0.193,-0.137,-841014.0,254.0,779.0,,-521,-2962,,,,,,-1.002,,,-0.5,0.5,0.3,0.038,-489,,,,-0.2,0.2,-2.1,,-1.0,-57,-0.002,,-841538.0,,0.0,0.0,,,2.0,,,,,,,,,-2.0,,0.016,0.008,
2,PPI,2,2022,-2.4,-0.4,,,0.187,-0.136,-333.0,41.0,126.0,,-502,-2937,,,,,,-0.99,,,-0.5,0.5,0.3,-0.006,-481,,,,-0.2,0.2,-2.8,,-1.0,-57,-0.003,,-418.0,,0.0,0.6,,,1.2,,,,,,,,,-2.0,,-0.008,0.005,
3,PPI,1,2022,-5.5,-1.0,-3.2,,0.205,-0.122,-375.0,41.0,125.0,,-505,-2922,,,,,,-0.858,,,-0.5,0.4,0.3,0.002,-485,,,,-0.2,0.2,-2.9,7.2,-1.2,-80,-0.002,0.007,-459.0,,0.0,0.6,,,1.5,,,,,,,,,-2.2,,0.001,0.006,
4,PPI,4,2021,-5.3,-0.9,-2.6,,0.206,-0.121,-380.0,41.0,126.0,,-504,-2906,,,,,,-0.843,,,-0.5,0.4,0.3,-0.418,-484,,,,-0.2,0.2,-2.9,5.3,-1.2,-82,-0.002,0.007,-465.0,,0.0,0.6,,,1.0,,,,,,,,,-2.2,,-0.414,0.191,
5,PPI,3,2021,-1.0,-0.4,-4.4,,0.482,-0.168,-440.0,37.0,112.0,,-868,-2440,,,,,,-0.521,,,-0.3,0.3,0.2,-0.309,-827,,,,-0.6,0.3,-2.2,12.3,-1.9,-119,-0.002,0.002,-516.0,,0.0,0.5,,,1.0,,,,,,,,,-2.9,,-0.245,0.002,
6,PPI,2,2021,-0.6,-0.3,-3.2,,1.029,-0.225,7719.0,67.0,204.0,,-1255,-2434,,,,,,-0.548,,,-0.4,0.2,0.2,-0.509,-1095,1.0,,,-0.9,0.5,-1.9,17.9,-1.8,-150,-0.002,0.004,7582.0,,0.0,,,,1.0,,,,,,,,,-2.8,,-0.545,0.213,
7,PPI,1,2021,-0.2,-0.3,-1.2,,8.436,-0.385,9189.0,53.0,147.0,-2.6,-2555,-2007,,,,,,-0.414,,,-0.3,0.2,0.1,-0.001,-2406,0.0,,,-1.1,0.4,-1.0,18.4,-2.4,-152,-0.003,0.006,9095.0,,0.0,,,,1.3,,,,,,,,,-3.4,,-0.002,0.008,
8,PPI,4,2020,-0.2,-0.3,-1.3,,849.295,-0.369,8776.0,53.0,116.0,-40.4,-2559,-1992,,,,,,-0.409,,,-0.3,0.2,0.1,-0.047,-2409,,,,-1.1,0.4,-1.0,18.5,-2.4,-154,-0.003,0.006,8713.0,,0.0,,,,1.0,,,,,,,,,-3.4,,-0.055,0.714,
9,PPI,3,2020,-0.3,-0.6,,,-2.459,-0.325,-536765.0,77.0,145.0,-11.3,-2686,-1162,,,,,,-0.206,,,-0.2,0.2,0.1,-0.121,-2551,,,,-1.9,0.4,-1.1,18.3,-4.9,-154,-0.01,,-536832.0,,0.0,0.0,,,1.4,,,,,,,,,-5.9,,-0.164,222.265,
