,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PPP,4,2022,6.0,1.0,3.7,,0.171,0.131,93,144,56,,2342,14160,,,,,,0.788,,,3.7,2.4,1.3,-0.052,3570,0.342,0.122,0.104,0.0,0.0,0.0,,1.3,45,0.083,0.084,181,3.9,-0.01,1.0,0.8,0.122,1.1,,,,,,,,,0.3,,0.0,0.032,
1,PPP,3,2022,5.6,1.0,3.7,,0.187,0.147,83,140,56,,2471,13728,,,,,,0.811,,,4.3,2.5,1.2,-0.036,3570,0.311,0.163,0.132,0.0,0.0,0.0,,1.2,41,0.062,0.061,167,4.4,-0.017,1.0,0.8,0.163,1.0,,,,,,,,,0.2,,-0.033,0.04,
2,PPP,2,2022,5.9,1.1,3.5,,0.203,0.156,67,142,44,324.8,2563,13198,,,,,,0.79,,,3.8,2.1,0.9,0.06,3694,0.348,0.17,0.139,0.0,0.0,0.1,,1.3,34,0.076,0.072,165,5.4,-0.015,1.0,0.8,0.17,1.0,,,,,,,,,0.3,,0.059,-0.051,
3,PPP,1,2022,6.9,1.2,3.9,,0.183,0.142,76,145,56,294.3,2418,13912,,,,,,0.8,,,4.0,2.3,1.1,0.262,3489,0.364,0.219,0.177,0.0,0.0,0.2,,1.3,39,0.088,0.083,165,4.8,-0.011,1.0,0.8,0.219,1.0,,,,,,,,,0.3,,0.204,0.05,
4,PPP,4,2021,8.6,1.2,5.2,,0.15,0.112,76,158,59,175.6,1916,13249,,,,,,0.747,,,3.0,1.8,0.7,0.222,2898,0.357,0.133,0.143,0.0,0.0,0.3,,1.3,32,0.104,0.086,175,4.8,-0.013,0.9,1.1,0.133,1.0,,,,,,,,,0.3,,0.079,0.043,
5,PPP,3,2021,8.3,1.0,5.5,,0.127,0.095,73,161,60,103.0,1568,12703,,,,,,0.764,,,3.2,1.8,0.6,0.325,2685,0.359,0.2,0.159,0.0,0.0,0.4,,1.3,26,0.075,0.062,174,5.0,-0.003,0.9,0.8,0.2,1.0,,,,,,,,,0.3,,0.224,0.05,
6,PPP,2,2021,9.5,0.9,7.3,,0.099,0.071,63,170,76,31.8,1183,12096,,,,,,0.753,,,3.1,1.6,0.5,0.037,2193,0.307,0.134,0.105,0.1,0.1,0.6,,1.3,19,0.06,0.045,157,5.8,-0.005,0.8,0.8,0.134,1.0,,,,,,,,,0.3,,0.033,-0.028,
7,PPP,1,2021,10.6,1.0,5.3,,0.092,0.067,78,174,78,14.7,1141,12444,,,,,,0.752,,,3.0,1.6,0.5,0.024,2123,0.326,0.11,0.082,0.1,0.1,0.7,,1.3,21,0.067,0.073,174,4.7,-0.005,0.8,0.8,0.11,1.0,,,,,,,,,0.3,,0.002,0.017,
8,PPP,4,2020,9.0,0.8,6.5,,0.092,0.065,77,162,83,7.9,1115,12232,,,,,,0.744,,,2.9,1.8,0.6,-0.149,2119,0.29,0.088,0.072,0.1,0.1,0.8,1.0,1.3,24,0.084,0.08,156,4.7,-0.013,0.8,0.9,0.088,1.0,,,,,,,,,0.3,,-0.132,0.019,
9,PPP,3,2020,9.4,1.0,5.4,,0.111,0.078,67,147,65,8.2,1311,11999,,,,,,0.727,,,2.7,1.9,0.6,-0.149,2441,0.305,0.114,0.093,0.1,0.1,0.8,0.4,1.4,25,0.042,0.042,150,5.4,-0.012,0.8,0.9,0.114,0.9,,,,,,,,,0.4,,-0.125,0.022,
