,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PRC,4,2022,1.2,0.8,170.1,,0.95,0.613,102,15,13,-3.3,42464,65426,,,,,,0.735,,,2.8,4.1,3.9,101.978,422,0.049,,1.774,0.1,0.1,32.2,0.0,1.4,63,0.022,0.028,104,3.6,-0.041,1.3,0.8,,-68.7,,,,,,,,,0.4,,-0.724,1.852,
1,PRC,3,2022,46.6,0.8,35.7,,0.018,0.008,-5,17,16,1.0,412,22944,,,,,,0.406,,,0.7,1.0,0.9,-0.15,1530,0.076,0.018,,0.9,0.4,13.0,1.3,2.5,1,0.063,0.042,-5,,0.115,1.6,,0.018,0.0,,,,,,,,,1.5,,-0.003,-0.001,
2,PRC,2,2022,37.5,0.8,25.7,,0.021,0.01,-1,18,19,1.4,485,22965,,,,,,0.45,,,0.8,1.0,0.8,-0.493,1535,0.074,0.023,0.004,1.0,0.4,12.6,1.5,2.2,0,0.099,0.119,-2,,0.001,1.6,0.8,0.023,0.2,,,,,,,,,1.2,,-0.08,0.005,
3,PRC,1,2022,15.8,0.7,21.4,,0.042,0.02,-6,20,22,0.8,957,22861,,,,,,0.456,,,0.8,1.0,0.7,-0.138,1668,0.071,0.013,,0.9,0.4,11.2,1.1,2.2,-1,0.051,0.07,-8,,0.0,1.6,,0.013,-0.4,,,,,,,,,1.2,,-0.073,-0.046,
4,PRC,4,2021,13.1,0.6,19.3,,0.047,0.022,-11,16,24,0.9,1110,23961,,,,,,0.483,,,0.9,0.9,0.7,0.353,1799,0.075,0.017,0.022,0.9,0.4,10.8,1.8,2.1,-2,0.084,0.114,-19,,0.0,1.4,1.0,0.017,1.3,,,,,,,,,1.1,,-0.079,0.018,
5,PRC,3,2021,24.8,0.9,17.0,,0.035,0.016,-15,14,26,1.2,820,23531,,,,,,0.474,,,0.9,0.8,0.7,-0.168,1954,0.094,0.025,0.003,0.8,0.4,9.8,1.5,2.1,-4,0.048,0.071,-27,,-0.139,1.4,0.7,0.025,0.2,,,,,,,,,1.1,,-0.086,0.002,
6,PRC,2,2021,12.0,0.5,15.7,,0.042,0.02,-13,16,30,2.2,986,23480,,,,,,0.497,,,1.0,1.0,0.8,0.64,2138,0.103,0.034,0.029,0.7,0.3,8.0,1.2,2.0,-1,0.094,0.113,-28,,-0.001,1.5,0.8,0.034,1.1,,,,,,,,,1.0,,-0.364,0.025,
7,PRC,1,2021,24.0,0.6,8.1,,0.026,0.012,-19,15,31,1.3,601,22904,,,,,,0.484,,,0.9,0.9,0.7,0.918,3363,0.101,0.023,0.003,0.7,0.4,5.5,1.3,2.1,-2,0.11,0.201,-35,,0.0,1.5,0.7,0.023,0.2,,,,,,,,,1.1,,0.079,-0.019,
8,PRC,4,2020,23.3,0.3,10.7,,0.013,0.006,-18,14,33,1.4,313,23351,,,,,,0.467,,,0.9,0.9,0.8,-0.086,3116,0.104,0.026,0.007,0.8,0.4,6.1,1.5,2.1,-3,0.071,0.105,-36,,0.0,1.4,1.0,0.026,0.3,,,,,,,,,1.1,,-0.023,0.006,
9,PRC,3,2020,22.9,0.3,8.0,,0.015,0.006,-19,14,41,1.7,343,23211,,,,,,0.457,,,0.8,0.8,0.7,-0.286,3188,0.089,0.033,0.012,0.9,0.4,6.3,1.7,2.2,-4,0.099,0.288,-46,,0.0,1.4,0.8,0.033,0.5,,,,,,,,,1.2,,-0.04,0.009,
