,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PSI,4,2022,11.5,0.5,6.5,,0.041,0.013,449.0,,3,,452,11021.0,,,,,,0.327,,,0.5,1.5,1.5,-0.282,2001.0,0.282,0.195,0.042,1.3,0.4,4.9,,3.1,621,0.426,0.904,,0.8,-0.249,0.2,1.0,0.195,0.2,,,,,,,,,2.1,,-0.084,0.009,
1,PSI,3,2022,12.4,0.7,6.3,,0.059,0.017,455.0,,4,,630,10927.0,,,,,,0.267,,,0.4,1.3,1.3,-0.174,2184.0,0.312,0.215,0.067,1.0,0.3,3.7,,3.7,615,0.248,0.452,,0.8,-0.269,0.2,1.0,0.215,0.3,,,,,,,,,2.7,,-0.06,0.014,
2,PSI,2,2022,9.0,0.6,4.4,,0.072,0.024,428.0,,6,,763,10778.0,,,,,,0.31,,,0.4,1.4,1.4,-0.228,2323.0,0.225,0.133,,0.4,0.1,1.5,,3.2,603,0.078,0.12,,0.9,-0.257,0.3,,0.133,-0.5,,,,,,,,,2.2,,-0.086,-0.034,
3,PSI,1,2022,15.8,1.4,5.9,,0.091,0.032,379.0,,3,,989,11154.0,,,,,,0.309,,,0.4,1.4,1.4,0.238,2541.0,0.461,0.387,0.133,0.6,0.2,2.1,,3.2,579,0.034,0.047,,1.0,-0.221,0.3,0.8,0.387,0.4,,,,,,,,,2.2,,0.28,0.024,
4,PSI,4,2021,24.9,1.8,7.9,,0.075,0.027,420.0,,7,,798,10893.0,,,,,,0.293,,,0.4,1.4,1.4,0.443,1986.0,0.444,0.316,0.139,0.5,0.1,2.2,,3.4,563,0.081,0.084,,0.9,-0.312,0.3,0.9,0.316,0.5,,,,,,,,,2.4,,0.294,0.026,
5,PSI,3,2021,22.8,1.2,13.2,,0.053,0.021,473.0,,11,,553,10621.0,,,,,,0.316,,,0.5,1.4,1.4,0.843,1535.0,0.312,0.253,0.115,0.5,0.2,2.6,,3.2,548,0.025,0.017,,0.8,-0.301,0.2,0.8,0.253,0.5,,,,,,,,,2.2,,0.434,0.004,
6,PSI,2,2021,33.3,0.9,15.8,,0.029,0.013,658.0,,24,,300,10578.0,,,,,,0.379,,,0.6,1.5,1.5,0.642,1071.0,0.314,0.197,0.077,0.3,0.1,2.0,,2.6,523,0.04,0.029,,0.6,-0.337,0.2,0.8,0.197,0.5,,,,,,,,,1.6,,0.343,0.006,
7,PSI,1,2021,40.5,0.7,13.7,,0.018,0.009,1092.0,,32,,182,10518.0,,,,,,0.413,,,0.7,1.6,1.6,0.603,797.0,0.42,0.234,0.078,0.4,0.1,2.9,,2.4,496,0.18,0.208,,0.3,-0.314,0.1,0.8,0.234,0.4,,,,,,,,,1.4,,0.134,0.007,
8,PSI,4,2020,53.5,0.6,13.6,,0.011,0.006,1228.0,,44,,114,10446.0,,,,,,0.491,,,1.0,1.7,1.7,0.284,703.0,0.423,0.215,0.033,0.3,0.1,2.5,,2.0,481,0.022,0.03,,0.3,-0.194,0.1,1.2,0.215,0.1,,,,,,,,,1.0,,0.191,0.003,
9,PSI,3,2020,40.5,0.3,17.5,,0.009,0.005,1363.0,,46,,88,10420.0,,,,,,0.545,,,1.2,1.9,1.9,-0.189,590.0,0.472,0.272,0.049,0.2,0.1,2.7,,1.8,451,0.031,0.039,,0.3,0.524,0.1,1.0,0.272,0.2,,,,,,,,,0.8,,0.199,0.003,
10,PSI,2,2020,20.1,0.2,9.5,,0.011,0.008,1467.0,,45,,109,10390.0,,,,,,0.578,,,1.4,2.0,2.0,-2.419,492.0,0.463,0.26,0.084,0.1,0.1,1.5,,1.7,464,0.08,0.209,,0.2,-1.445,0.2,1.0,0.26,0.3,,,,,,,,,0.7,,1.966,0.005,
11,PSI,1,2020,-25.9,0.2,16.6,,-0.007,-0.005,1733.0,,38,,-77,10342.0,,,,,,0.603,,,1.5,2.4,2.4,-1.668,166.0,0.45,0.223,0.003,0.1,0.1,2.8,,1.7,579,0.036,0.169,,0.2,-1.333,0.1,1.0,0.223,0.0,,,,,,,,,0.7,,-0.244,0.0,
12,PSI,4,2019,17.3,0.2,10.7,,0.011,0.009,,,38,,115,10340.0,,,,,,0.687,,,2.2,3.0,3.0,0.039,220.0,0.377,0.143,0.003,0.0,0.0,0.8,,1.5,578,0.054,0.279,,,-1.256,0.2,1.0,0.143,0.0,,,,,,,,,0.5,,0.673,-0.001,
13,PSI,3,2019,25.1,0.3,17.9,,0.011,0.009,,,31,,111,10349.0,,,,,,0.722,,,2.6,3.4,3.4,-0.009,131.0,0.423,0.163,0.1,0.1,0.1,2.9,,1.4,580,0.04,0.204,,,-32.264,0.2,1.0,0.163,0.6,,,,,,,,,0.4,,0.698,0.005,
14,PSI,2,2019,26.7,0.3,15.0,,0.011,0.01,,,18,,112,10299.0,,,,,,0.944,,,16.7,17.2,17.2,-0.609,77.0,-0.087,-0.245,-0.235,0.0,0.0,0.0,,1.1,595,0.12,0.516,,,-0.156,0.2,1.0,-0.245,1.0,,,,,,,,,0.1,,-0.682,-0.013,
15,PSI,1,2019,9.4,0.3,6.0,,0.028,0.026,,,11,,287,10437.0,,,,,,0.902,,,9.2,9.9,9.9,2.228,243.0,0.616,0.378,0.391,0.0,0.0,0.0,,1.1,603,0.024,0.093,,,-0.293,0.2,1.0,0.378,1.0,,,,,,,,,0.1,,7.201,0.019,
