,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PTI,4,2022,-7.0,1.4,-11.5,,-0.177,-0.041,,,-12977,,-4381,22423.0,,,,,,0.215,,,0.3,1.1,1.1,0.268,-2951,,,,0.0,0.0,0.0,,4.7,734,0.077,0.057,,0.0,-0.59,0.0,,,0.0,,,,,,,,,3.6,,-0.35,-0.002,
1,PTI,3,2022,-13.5,2.1,-9.7,,-0.142,-0.032,,,50942,,-3456,22474.0,,,,,,0.207,,,0.3,1.1,1.1,52.34,-4542,,,,0.2,0.0,-0.8,,4.8,627,0.054,0.03,,0.0,-0.313,0.0,,,3.2,,,,,,,,,3.8,,-0.097,-0.085,
2,PTI,2,2022,-1107.9,2.9,-6.3,,-0.003,-0.001,,,-1262976,,-64,24555.0,,,,,,0.217,,,0.3,1.1,1.1,-1.022,-5029,,,,0.1,0.0,-0.6,,4.6,493,0.126,0.099,,0.0,-1.119,0.0,,,3.1,,,,,,,,,3.6,,-0.12,-0.109,
3,PTI,1,2022,24.2,2.6,-10.2,,0.111,0.027,,,48706,,2972,27548.0,,,,,,0.243,,,0.3,1.1,1.1,-0.111,-5714,,,,0.1,0.0,-0.4,,4.1,676,0.086,0.041,,0.0,-0.099,0.0,0.8,,-0.8,,,,,,,,,3.1,,-0.184,0.012,
4,PTI,4,2021,17.6,2.2,-9.9,,0.128,0.033,,,9803,,3343,27218.0,,,,,,0.254,,,0.3,1.2,1.1,-0.003,-7005,,,,0.0,0.0,0.0,,3.9,978,0.07,0.027,,0.0,-2.208,0.0,0.8,,-0.5,,,,,,,,,2.9,,0.05,0.033,
5,PTI,3,2021,11.2,1.4,-8.7,,0.133,0.033,,,-18168,,3352,26346.0,,,,,,0.251,,,0.3,1.2,1.2,0.275,-6669,,,,0.1,0.0,-0.5,,4.0,1054,0.117,0.053,,0.0,-2.159,0.0,0.8,,-1.2,,,,,,,,,3.0,,-0.136,0.053,
6,PTI,2,2021,12.0,1.3,-5.4,,0.108,0.026,,,-19003,,2629,25023.0,,,,,,0.24,,,0.3,1.1,1.1,-0.175,-7717,,,,0.1,0.0,-0.4,,4.2,867,0.097,0.059,,0.0,0.374,0.0,0.8,,-0.3,,,,,,,,,3.2,,0.014,-0.035,
7,PTI,1,2021,9.1,1.1,-4.3,,0.128,0.032,,,-18754,,3186,25943.0,,,,,,0.251,,,0.3,1.2,1.2,0.088,-7609,,,,0.1,0.0,-0.3,,4.0,935,0.064,0.053,,0.0,-1.405,0.0,0.8,,-0.5,,,,,,,,,3.0,,-0.013,0.041,
8,PTI,4,2020,7.3,0.9,-4.0,,0.122,0.031,,,-48274,,2928,24925.0,,,,,,0.257,,,0.3,1.1,1.1,0.03,-7708,,,,0.0,0.0,0.0,,3.9,704,0.144,0.122,,0.0,0.698,0.0,0.8,,-0.5,,,,,,,,,2.9,,0.011,0.037,
9,PTI,3,2020,7.0,0.8,-3.6,,0.122,0.03,,,47850,,2844,24045.0,,,,,,0.241,,,0.3,1.2,1.2,0.102,-7624,,,,0.1,0.0,-0.3,,4.1,1154,0.074,0.068,,0.0,0.63,0.0,0.7,,-0.4,,,,,,,,,3.1,,0.203,0.02,
10,PTI,2,2020,7.3,0.8,-3.3,,0.113,0.027,,,-148253,,2580,23569.0,,,,,,0.238,,,0.3,1.1,1.1,0.628,-6337,,,,0.1,0.0,-0.4,20.6,4.2,892,0.081,0.095,,0.0,-0.427,0.0,0.8,,-0.8,,,,,,,,,3.2,,-0.072,-0.009,
11,PTI,1,2020,11.9,0.8,-2.9,,0.068,0.017,,,121061,,1584,23782.0,,,,,,0.243,,,0.3,1.1,1.1,0.086,-6830,,,,0.1,0.0,-0.3,10.5,4.1,881,0.054,0.065,,0.0,-0.78,0.0,0.8,,-0.4,,,,,,,,,3.1,,-0.095,0.025,
