,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PTV,4,2022,226.2,0.5,-1039.7,,0.002,0.001,351,4,117,,21,10491,,,,,,0.677,,,3.0,3.5,3.5,-1.314,-4,0.142,0.015,0.015,0.0,0.0,0.0,,1.5,162,0.14,0.338,238,1.0,-0.004,0.5,0.4,0.015,2.4,,,,,,,,,0.3,,-0.956,0.013,
1,PTV,3,2022,-108.5,0.7,-44.2,,-0.006,-0.004,323,7,96,,-67,10360,,,,,,0.707,,,3.7,4.6,4.5,-0.162,-99,0.209,,0.019,0.0,0.0,0.0,,1.4,172,0.122,0.305,234,1.1,-0.003,0.6,0.4,,-3.0,,,,,,,,,0.3,,1.403,0.009,
2,PTV,2,2022,-95.8,0.8,-118.4,,-0.008,-0.005,316,5,108,,-80,10268,,,,,,0.703,,,3.5,4.3,4.3,-0.319,-41,0.244,,,0.0,0.0,0.0,,1.4,166,0.137,0.292,213,1.2,-0.002,0.6,,,0.4,,,,,,,,,0.3,,-0.502,-0.011,
3,PTV,1,2022,-130.0,1.5,-80.1,,-0.011,-0.007,254,1,69,,-118,10387,,,,,,0.702,,,3.6,4.6,4.6,14.207,-83,0.137,,,0.0,0.0,0.0,,1.4,171,0.178,0.274,185,1.4,-0.001,0.8,,,-0.5,,,,,,,,,0.3,,-0.406,-0.001,
4,PTV,4,2021,-1149.9,0.9,-65.4,,-0.001,0.0,252,31,171,,-7,10392,,,,,,0.634,,,2.4,3.1,3.1,-1.462,-139,0.12,,,0.0,0.0,0.0,,1.6,170,0.19,0.224,112,1.4,0.0,0.6,,,-0.1,,,,,,,,,0.4,,-0.024,-0.005,
5,PTV,3,2021,396.7,0.6,-55.3,,0.002,0.001,209,24,112,,16,10439,,,,,,0.588,,,1.8,2.6,2.6,-1.069,-143,0.181,0.016,0.011,0.0,0.0,0.0,,1.7,171,0.151,0.203,121,1.7,-0.22,0.8,0.5,0.016,1.5,,,,,,,,,0.5,,-0.649,0.007,
6,PTV,2,2021,-25.5,0.6,-19.7,,-0.023,-0.012,201,35,153,,-242,10364,,,,,,0.585,,,1.8,2.6,2.6,-6.579,-407,0.084,,,0.0,0.0,-0.6,,1.7,172,0.202,0.253,83,1.8,-0.025,0.8,,,0.5,,,,,,,,,0.5,,1.868,-0.031,
7,PTV,1,2021,151.6,0.6,-17.5,,0.004,0.002,240,32,135,,43,10698,,,,,,0.609,,,2.1,3.0,3.0,-2.463,-142,0.138,,0.056,0.0,0.0,0.0,,1.6,185,0.288,0.742,136,1.5,-0.208,0.7,0.7,,-1.6,,,,,,,,,0.5,,-4.276,0.003,
8,PTV,4,2020,-144.6,0.4,93.4,,-0.003,-0.001,166,27,105,-35.5,-29,10662,,,,,,0.5,,,1.4,2.2,1.9,-1.089,43,0.084,,,0.0,0.0,0.0,,2.0,169,0.252,0.542,88,2.2,-0.182,0.9,,,0.1,,,,,,,,,0.7,,-0.868,-0.006,
9,PTV,3,2020,11.7,0.4,11.4,,0.032,0.016,115,30,53,-113.3,334,10729,,,,,,0.495,,,1.4,2.3,2.1,-0.482,328,0.084,,,0.0,0.0,0.3,,2.0,185,0.28,0.635,93,3.2,0.004,1.3,,,1.1,,,,,,,,,0.7,,-0.443,-0.012,
