,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PVE,2,2019,24.1,0.5,8.5,,0.02,0.004,75,366,285.0,0.3,236,12033,,,,,,0.2,,,0.3,1.1,0.5,-0.351,2418.0,0.365,0.057,0.009,1.5,0.3,7.9,,5.0,129,0.089,0.428,157.0,4.9,0.021,0.6,8.7,0.057,1.3,,,,,,,,,3.8,,-0.222,0.001,
1,PVE,1,2019,10.7,0.3,,,0.03,0.006,63,277,145.0,1.9,364,12022,,,,,,0.199,,,0.3,1.1,0.5,0.365,3107.0,0.094,0.058,0.015,1.5,0.3,5.8,,5.0,122,0.075,,195.0,5.8,-0.003,0.8,1.9,0.058,0.5,,,,,,,,,3.8,,0.171,0.002,
2,PVE,4,2018,16.8,0.4,8.5,,0.021,0.004,26,318,115.0,0.9,267,11993,,,,,,0.192,,,0.2,1.1,0.3,-0.574,2653.0,0.138,0.038,-0.026,1.6,0.3,7.6,,5.2,126,0.163,0.438,229.0,14.1,-0.001,0.8,0.4,0.038,-0.3,,,,,,,,,4.0,,0.038,-0.027,
3,PVE,3,2018,8.6,0.4,9.2,,0.051,0.011,16,220,54.0,2.0,627,12319,,,,,,0.211,,,0.3,1.1,0.3,0.105,2557.0,0.147,0.071,0.02,1.6,0.3,8.5,30.9,4.7,135,0.082,0.285,181.0,23.5,-0.001,1.0,1.5,0.071,0.4,,,,,,,,,3.6,,0.026,0.029,
4,PVE,2,2018,9.2,0.4,,,0.047,0.009,38,212,59.0,1.5,567,11977,,,,,,0.181,,,0.2,1.1,0.3,-0.131,2491.0,0.106,0.039,0.011,1.6,0.3,9.0,121.9,5.5,110,0.13,,192.0,9.5,-0.021,0.9,1.4,0.039,0.4,,,,,,,,,4.3,,-0.175,-0.049,
5,PVE,1,2018,10.0,0.5,6.9,,0.051,0.01,17,192,56.0,1.7,653,12599,,,,,,0.199,,,0.3,1.1,0.3,-0.096,3020.0,0.086,0.033,0.01,1.3,0.3,7.2,57.4,5.0,111,0.121,0.317,153.0,21.2,-0.12,1.1,1.3,0.033,0.4,,,,,,,,,3.8,,-0.033,-0.036,
6,PVE,4,2017,10.5,0.6,8.8,,0.056,0.012,37,197,54.0,0.9,722,13073,,,,,,0.195,,,0.3,1.1,0.4,-0.516,3123.0,0.105,0.023,0.008,1.5,0.3,6.9,42.7,5.1,117,0.219,0.54,180.0,9.8,-0.24,1.0,0.0,0.023,0.0,,,,,,,,,3.9,,-0.352,0.059,
7,PVE,3,2017,5.0,0.6,6.0,,0.124,0.029,20,144,49.0,1.5,1492,12344,,,,,,0.23,,,0.3,1.1,0.5,0.052,4821.0,0.124,0.066,0.014,1.8,0.4,4.6,49.4,4.4,94,0.115,0.203,114.0,18.3,-0.423,1.2,1.3,0.066,0.3,,,,,,,,,3.2,,0.045,0.029,
8,PVE,2,2017,4.4,0.5,6.6,,0.117,0.028,47,125,59.0,2.2,1419,12000,,,,,,0.219,,,0.3,1.1,0.6,0.153,4612.0,0.072,0.038,0.009,2.0,0.5,4.7,30.7,4.6,89,0.14,0.253,113.0,7.8,-0.397,1.1,2.2,0.038,0.5,,,,,,,,,3.4,,0.17,-0.06,
9,PVE,1,2017,5.3,0.5,6.9,,0.094,0.023,42,206,69.0,1.7,1230,12769,,,,,,0.195,,,0.3,1.1,0.5,0.041,3941.0,0.13,0.072,0.025,2.0,0.4,5.5,22.1,5.1,125,0.563,0.88,179.0,8.7,-0.319,0.8,1.3,0.072,0.5,,,,,,,,,3.9,,0.056,0.021,
