,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PVL,4,2022,2303.7,0.5,-30.1,,0.0,0.0,-1401,7205.0,7203,,1,5050,,,,,,0.616,,,1.6,0.8,0.7,-1.009,-71.0,0.69,0.206,6.037,0.0,0.0,0.0,,1.6,-26,0.104,0.195,-1399.0,,-0.155,0.0,1.0,0.206,29.3,,,,,,,,,0.6,,-0.418,0.019,
1,PVL,3,2022,-37.1,0.9,-19.2,,-0.025,-0.016,279,7117.0,7107,,-126,4954,,,,,,0.612,,,1.6,1.0,0.9,-1.436,-121.0,0.649,,,0.0,0.0,0.0,,1.6,-2,0.119,0.205,289.0,1.3,-0.148,0.0,,,1.1,,,,,,,,,0.6,,-1.444,-0.005,
2,PVL,2,2022,18.2,1.1,15.8,,0.06,0.036,-110,3209.0,3204,,290,4977,,,,,,0.613,,,1.6,1.0,0.9,-0.161,273.0,0.633,,,0.0,0.0,0.0,,1.6,0,0.137,0.244,-105.0,,-0.089,0.1,,,1.6,,,,,,,,,0.6,,-0.037,-0.011,
3,PVL,1,2022,34.9,2.4,19.1,,0.071,0.043,-100,2297.0,3252,,346,5031,,,,,,0.616,,,1.6,1.0,0.9,0.011,283.0,0.686,,,0.0,0.0,0.0,,1.6,3,0.138,0.114,-1055.0,,0.0,0.1,,,0.9,,,,,,,,,0.6,,0.013,-0.004,
4,PVL,4,2021,46.7,3.2,24.9,,0.07,0.042,-78,2293.0,3249,,342,5049,,,,,,0.617,,,1.6,1.0,0.9,-0.278,280.0,0.457,,,0.0,0.0,0.0,,1.6,5,0.201,0.132,-1033.0,,0.0,0.1,,,0.7,,,,,,,,,0.6,,-0.124,-0.006,
5,PVL,3,2021,8.8,0.8,29.0,,0.098,0.058,-77,495.0,518,,474,5081,,,,,,0.619,,,1.6,1.0,0.9,7.905,320.0,0.935,0.884,0.933,0.0,0.0,0.0,,1.6,6,0.145,0.074,-100.0,,0.0,0.1,1.0,0.884,1.1,,,,,,,,,0.6,,-4.926,0.084,
6,PVL,2,2021,69.4,0.8,-116.4,,0.011,0.007,-331,424.0,439,,53,4686,,,,,,0.6,,,1.5,0.9,0.8,-0.092,-81.0,0.212,,0.057,0.0,0.0,0.0,,1.7,-14,0.093,0.044,-346.0,,0.59,0.0,1.0,,-0.1,,,,,,,,,0.7,,0.943,0.0,
7,PVL,1,2021,49.4,0.6,-79.6,,0.013,0.007,-343,513.0,488,,58,4684,,,,,,0.597,,,1.5,0.9,0.8,3.358,-42.0,0.69,,,0.0,0.0,0.0,,1.7,-15,0.038,0.051,-318.0,,0.0,0.0,,,1.0,,,,,,,,,0.7,,-0.526,-0.005,
8,PVL,4,2020,141.1,0.4,-38.4,,0.003,0.002,-255,334.0,318,,13,4706,,,,,,0.59,,,1.4,0.9,0.8,-1.115,-88.0,0.105,,0.404,0.0,0.0,0.0,,1.7,-15,0.1,0.127,-239.0,,0.0,0.1,1.0,,-12.8,,,,,,,,,0.7,,-0.317,0.022,
9,PVL,3,2020,-10.3,0.3,-15.4,,-0.024,-0.014,-514,556.0,569,,-116,4606,,,,,,0.56,,,1.3,0.9,0.8,-0.066,-129.0,0.003,,,0.0,0.0,0.0,,1.8,-21,0.066,0.133,-527.0,,0.0,0.0,,,1.0,,,,,,,,,0.8,,-0.058,-0.006,
10,PVL,2,2020,-11.2,0.3,-5.5,,-0.026,-0.015,-498,614.0,740,,-125,4633,,,,,,0.557,,,1.3,0.9,0.8,-0.347,-137.0,2.105,0.69,0.295,0.0,0.0,0.0,,1.8,-19,0.095,0.365,-624.0,,-0.808,0.0,1.0,0.69,0.4,,,,,,,,,0.8,,-0.15,-0.006,
