,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PVR,4,2022,-21.6,0.2,-107.9,,-0.008,-0.004,,,,-0.4,-69,8992,,,,,,0.475,,,0.9,1.4,0.1,-1.706,-16,,,,0.0,0.0,-23.5,,2.1,210,0.003,0.019,,0.0,0.0,0.0,,,36.6,,,,,,,,,1.1,,-0.187,-0.013,
1,PVR,3,2022,19.4,0.2,,,0.011,0.005,,,,,98,9107,,,,,,0.479,,,0.9,1.5,0.1,-0.016,-19,,,,0.0,0.0,-18.6,0.0,2.1,225,0.003,,,0.0,0.0,0.0,,,9.2,,,,,,,,,1.1,,-0.175,-0.002,
2,PVR,2,2022,22.0,0.2,,,0.011,0.005,,,,-1.7,99,9125,,,,,,0.479,,,0.9,1.4,0.1,-0.373,-24,,,,0.0,0.0,-14.9,4.1,2.1,214,0.003,,,0.0,0.0,0.0,,,5.1,,,,,,,,,1.1,,-5.409,-0.004,
3,PVR,1,2022,30.7,0.5,,,0.018,0.008,11597.0,43334.0,1372180.0,-0.3,159,9161,,,,,,0.474,,,0.9,1.5,0.1,2.589,5,,,,0.1,0.0,102.8,0.4,2.1,231,0.029,,-1317250.0,0.0,-0.119,0.0,1.0,,-21.4,,,,,,,,,1.1,,-2.083,0.009,
4,PVR,4,2021,121.5,0.6,-334.0,,0.005,0.002,11095.0,43149.0,2976.0,-0.6,44,9081,,,,,,0.472,,,0.9,1.4,0.1,-1.532,-5,,,,0.1,0.0,-101.4,2.0,2.1,209,0.003,0.021,51268.0,0.0,-0.114,0.0,1.0,,-9.2,,,,,,,,,1.1,,-0.659,0.007,
5,PVR,3,2021,-25.2,0.2,,,-0.009,-0.004,11180.0,43149.0,2964.0,-0.6,-83,9020,,,,,,0.471,,,0.9,1.4,0.1,-0.123,-14,,,,0.1,0.0,-35.2,1.6,2.1,211,0.003,,51364.0,0.0,-0.109,0.0,,,2.6,,,,,,,,,1.1,,-0.423,-0.002,
6,PVR,2,2021,-18.9,0.2,,,-0.01,-0.005,11101.0,43149.0,2932.0,2.1,-95,9036,,,,,,0.472,,,0.9,1.4,0.1,-0.206,-25,0.177,0.164,0.172,0.1,0.0,-33.8,1.0,2.1,214,0.003,,51319.0,0.0,-0.104,0.0,1.0,0.164,1.0,,,,,,,,,1.1,,-0.576,0.003,
7,PVR,1,2021,-20.0,0.3,,,-0.013,-0.006,205287.0,997268.0,2797.0,-1.6,-119,9012,,,,,,0.465,,,0.9,1.4,0.1,-0.012,-59,,,,0.1,0.0,-15.6,0.3,2.1,221,0.003,,1199758.0,0.0,0.0,0.0,,,1.6,,,,,,,,,1.1,,-0.046,-0.002,
8,PVR,4,2020,-12.4,0.2,-90.6,,-0.013,-0.006,206682.0,485372.0,26101.0,-1.5,-121,9030,,,,,,0.469,,,0.9,1.4,0.1,1.484,-62,,,,0.1,0.0,-14.1,0.0,2.1,223,0.003,0.005,665953.0,0.0,0.0,0.0,,,4.1,,,,,,,,,1.1,,0.045,-0.007,
9,PVR,3,2020,-26.6,0.1,,,-0.005,-0.002,208214.0,762004.0,36632.0,-1.5,-48,9098,,,,,,0.472,,,0.9,1.4,0.1,0.753,-59,,,,0.1,0.0,-14.9,0.1,2.1,225,0.003,,933587.0,0.0,0.0,0.0,,,1.6,,,,,,,,,1.1,,0.414,-0.003,
10,PVR,2,2020,-53.9,0.2,,,-0.003,-0.001,34610.0,204941.0,21724.0,-1.5,-27,9125,,,,,,0.453,,,0.8,1.4,0.1,-2.695,-42,0.352,,,0.1,0.1,-28.6,0.1,2.2,219,0.003,,217828.0,0.0,0.0,0.0,,,0.1,,,,,,,,,1.2,,-0.18,0.0,
11,PVR,1,2020,73.0,0.1,,,0.002,0.001,42065.0,258133.0,17102.0,-2.2,16,9126,,,,,,0.454,,,0.8,1.4,0.1,-1.924,-51,,,,0.1,0.1,-23.4,0.1,2.2,221,0.003,,283097.0,0.0,-0.945,0.0,,,1.4,,,,,,,,,1.2,,-0.094,-0.003,
12,PVR,4,2019,-78.7,0.2,-37.1,,-0.002,-0.001,86.0,354369.0,16756.0,-2.0,-17,9152,,,,,,0.456,,,0.8,1.4,0.1,-0.412,-56,,,,0.1,0.1,-19.3,0.1,2.2,222,0.003,0.017,337699.0,4.3,-1.88,0.0,1.0,,-0.4,,,,,,,,,1.2,,-0.257,0.001,
13,PVR,3,2019,-43.0,0.1,,,-0.003,-0.002,200.0,280123.0,11585.0,0.1,-30,9139,,,,,,0.456,,,0.8,1.4,0.1,-0.419,-76,0.531,0.021,-0.182,0.1,0.1,-13.0,0.1,2.2,223,0.003,,268738.0,1.8,-1.836,0.0,1.0,0.021,-8.7,,,,,,,,,1.2,,-0.275,-0.001,
14,PVR,2,2019,-23.1,0.1,,,-0.006,-0.003,,,15128.0,-3.4,-52,9146,,,,,,0.457,,,0.8,1.4,0.1,-0.593,-105,,,,0.1,0.1,-5.7,0.1,2.2,221,0.003,,,0.0,-11.085,0.0,1.0,,-2.0,,,,,,,,,1.2,,-0.054,0.004,
