,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,QNC,4,2022,4.1,0.6,4.4,,0.168,0.056,-99,69,67.0,11.1,1451,10130,,,,,,0.363,,,0.6,0.5,0.3,-0.174,3595.0,0.198,0.152,0.111,0.9,0.3,2.8,8.5,2.8,-450,0.006,0.01,-98.0,,-0.233,1.0,0.8,0.152,0.9,,,,,,,,,1.7,,-0.145,0.101,
1,QNC,3,2022,3.9,0.7,3.8,,0.232,0.066,-106,82,80.0,2.7,1757,9199,,,,,,0.343,,,0.5,0.6,0.2,0.364,4207.0,0.08,0.054,0.024,0.9,0.3,2.3,5.8,2.9,-394,0.006,0.009,-104.0,,-0.202,0.9,0.8,0.054,0.6,,,,,,,,,1.9,,-0.076,0.244,
2,QNC,2,2022,6.1,1.1,3.6,,0.188,0.05,-112,51,77.0,3.2,1288,7395,,,,,,0.311,,,0.5,0.5,0.3,-0.234,4553.0,0.088,0.066,0.005,1.2,0.4,2.4,5.5,3.2,-433,0.012,0.018,-138.0,,-0.193,0.9,0.2,0.066,0.5,,,,,,,,,2.2,,-0.018,-0.023,
3,QNC,1,2022,7.5,1.7,4.3,,0.25,0.068,-98,40,65.0,4.4,1681,7572,,,,,,0.312,,,0.5,0.6,0.4,0.016,4634.0,0.114,0.088,0.067,1.2,0.4,2.4,4.0,3.2,-328,0.004,0.004,-122.0,,-0.154,0.9,1.0,0.088,0.8,,,,,,,,,2.2,,-0.113,0.052,
4,QNC,4,2021,6.4,1.5,4.5,,0.304,0.067,-132,51,85.0,11.2,1654,7201,,,,,,0.298,,,0.4,0.6,0.3,0.718,5225.0,0.269,0.199,0.19,1.2,0.4,2.5,3.7,3.4,-365,0.01,0.009,-166.0,,-0.146,0.8,1.0,0.199,1.0,,,,,,,,,2.3,,-0.005,0.205,
5,QNC,3,2021,13.6,2.2,5.0,,0.21,0.037,-129,39,112.0,-1.3,962,5978,,,,,,0.225,,,0.3,0.6,0.5,-0.176,5251.0,,,,1.6,0.4,2.5,3.0,4.4,-410,0.04,0.024,-202.0,,-0.072,0.9,,,2.2,,,,,,,,,3.4,,-0.059,-0.053,
6,QNC,2,2021,5.7,1.1,5.2,,0.244,0.044,-124,37,103.0,3.6,1169,6312,,,,,,0.231,,,0.3,0.7,0.5,-0.249,5582.0,0.105,0.09,0.078,1.5,0.3,2.4,2.6,4.3,-376,0.031,0.016,-190.0,,-0.033,0.9,1.0,0.09,0.9,,,,,,,,,3.3,,-0.159,0.071,
7,QNC,1,2021,5.1,1.4,4.1,,0.373,0.063,-131,23,91.0,4.0,1556,5895,,,,,,0.237,,,0.3,0.6,0.5,0.088,6639.0,0.171,0.138,0.089,1.7,0.4,2.1,2.5,4.2,-374,0.002,0.001,-198.0,,-0.023,0.9,1.0,0.138,0.6,,,,,,,,,3.2,,-0.125,0.606,
8,QNC,4,2020,3.5,1.4,4.5,,0.497,0.057,-135,17,98.0,8.2,1430,3670,,,,,,0.147,,,0.2,0.5,0.5,-0.262,7584.0,0.167,0.122,0.063,2.9,0.4,2.3,2.5,6.8,-510,0.06,0.019,-216.0,,-0.023,1.0,1.0,0.122,0.5,,,,,,,,,5.8,,0.029,0.154,
9,QNC,3,2020,2.7,1.7,3.7,,0.918,0.079,-141,31,106.0,0.5,1939,3180,,,,,,0.127,,,0.1,0.5,0.4,-0.101,7373.0,0.097,0.014,,3.3,0.4,2.4,2.1,7.9,-529,0.03,0.014,-216.0,,-0.043,1.0,,0.014,-1.6,,,,,,,,,6.8,,-0.026,-0.026,
