,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,QNW,4,2022,34.4,0.9,6.7,,0.026,0.023,613,96,35,-42.7,293,11135,,,,,,0.888,,,8.7,8.3,7.4,-0.408,1405,,,,0.0,0.0,0.4,0.2,1.1,118,0.104,0.116,675,0.6,-0.089,0.3,,,0.9,,,,,,,,,0.1,,0.151,-0.023,
1,QNW,3,2022,20.3,0.9,7.8,,0.043,0.038,612,111,27,23.3,496,11401,,,,,,0.888,,,8.7,8.8,7.9,-0.113,1220,0.374,0.228,0.201,0.1,0.0,0.5,0.2,1.1,123,0.116,0.132,696,0.6,-0.031,0.3,0.8,0.228,1.1,,,,,,,,,0.1,,-0.042,0.016,
2,QNW,2,2022,14.2,0.7,7.6,,0.05,0.043,578,117,39,23.8,559,11224,,,,,,0.863,,,6.8,6.2,5.5,-0.015,1274,0.37,0.236,0.201,0.1,0.0,0.5,0.2,1.2,116,0.097,0.109,657,0.6,-0.008,0.3,0.8,0.236,1.1,,,,,,,,,0.1,,0.083,-0.021,
3,QNW,1,2022,14.0,0.7,6.9,,0.05,0.044,555,116,40,25.1,568,11461,,,,,,0.891,,,9.0,8.9,7.9,0.002,1177,0.439,0.292,0.25,0.1,0.0,0.6,0.3,1.1,117,0.101,0.136,631,0.7,-0.01,0.3,0.8,0.292,1.1,,,,,,,,,0.1,,-0.008,-0.008,
4,QNW,4,2021,14.0,0.7,7.4,,0.05,0.043,567,132,55,-9.8,567,11554,,,,,,0.88,,,8.0,8.2,7.4,-0.286,1186,0.088,,,0.1,0.0,0.6,0.1,1.1,117,0.058,0.079,645,0.6,-0.004,0.3,,,0.6,,,,,,,,,0.1,,-0.168,-0.006,
5,QNW,3,2021,10.0,0.7,6.2,,0.07,0.056,606,169,45,123.7,794,11621,,,,,,0.876,,,7.7,7.5,6.6,0.192,1426,0.474,0.348,0.273,0.1,0.1,1.2,0.1,1.1,115,0.051,0.069,731,0.6,-0.009,0.3,0.8,0.348,1.0,,,,,,,,,0.1,,0.116,0.022,
6,QNW,2,2021,11.9,0.7,6.9,,0.06,0.047,564,162,53,16.4,666,11374,,,,,,0.873,,,7.5,7.0,6.2,0.056,1277,0.439,0.227,0.208,0.1,0.1,1.5,0.2,1.1,109,0.054,0.072,673,0.6,-0.028,0.3,0.8,0.227,1.2,,,,,,,,,0.1,,0.071,0.017,
7,QNW,1,2021,12.6,0.7,7.8,,0.057,0.045,522,157,53,89.7,630,11179,,,,,,0.876,,,7.6,7.3,6.3,0.207,1192,0.462,0.329,0.261,0.1,0.1,1.7,0.1,1.1,99,0.015,0.019,627,0.7,-0.015,0.3,0.8,0.329,1.0,,,,,,,,,0.1,,0.123,-0.012,
8,QNW,4,2020,15.2,0.7,9.8,,0.047,0.037,538,163,40,3.9,522,11310,,,,,,0.867,,,7.0,6.5,5.5,0.292,1062,0.314,0.13,0.163,0.1,0.1,2.0,0.2,1.2,102,0.015,0.02,661,0.7,-0.015,0.3,0.8,0.13,1.5,,,,,,,,,0.1,,0.199,0.015,
9,QNW,3,2020,19.7,0.7,11.7,,0.036,0.027,594,159,23,5.4,404,11140,,,,,,0.737,,,2.9,3.4,3.0,-0.121,885,0.325,0.169,0.112,0.2,0.2,3.6,1.1,1.4,122,0.099,0.13,729,0.6,-0.018,0.2,0.8,0.169,0.8,,,,,,,,,0.3,,-0.052,0.011,
