,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,QTP,4,2022,8.7,1.1,4.4,,0.126,0.091,77,16,20,1.5,1711,13708,,,,,,0.766,,,3.3,2.4,2.1,-0.067,4299,0.039,0.021,0.011,0.2,0.1,0.8,2.5,1.3,2173,0.004,0.004,72,4.8,-0.001,1.2,0.9,0.021,0.6,,,,,,,,,0.3,,-0.034,0.004,
1,QTP,3,2022,8.3,1.1,4.2,,0.136,0.087,84,17,18,6.9,1834,13651,,,,,,0.693,,,2.3,2.3,2.1,0.081,4451,0.075,0.068,0.047,0.3,0.2,1.1,1.1,1.4,2474,0.002,0.002,83,4.3,-0.001,1.1,0.9,0.068,0.7,,,,,,,,,0.4,,0.058,0.025,
2,QTP,2,2022,8.7,1.1,4.1,,0.128,0.081,83,23,20,9.4,1697,13323,,,,,,0.665,,,2.0,2.0,1.7,0.083,4206,0.143,0.132,0.104,0.3,0.2,1.2,1.0,1.5,2126,0.065,0.061,86,4.4,-0.001,1.0,0.9,0.132,0.8,,,,,,,,,0.5,,0.045,-0.026,
3,QTP,1,2022,10.6,1.2,5.1,,0.114,0.075,100,16,18,11.2,1567,13680,,,,,,0.691,,,2.2,2.8,2.6,0.48,4026,0.16,0.152,0.133,0.4,0.2,1.5,0.6,1.4,2487,0.006,0.005,98,3.7,-0.001,1.0,0.9,0.152,0.9,,,,,,,,,0.4,,0.139,0.014,
4,QTP,4,2021,15.8,1.2,6.7,,0.082,0.051,85,22,22,2.7,1059,13487,,,,,,0.689,,,2.2,2.7,2.3,-0.603,3534,0.067,0.053,0.036,0.4,0.2,1.9,0.5,1.5,2209,0.034,0.025,85,4.3,-0.001,0.9,0.9,0.053,0.7,,,,,,,,,0.5,,-0.18,0.013,
5,QTP,3,2021,5.4,1.1,5.7,,0.224,0.122,80,27,23,2.2,2669,13308,,,,,,0.594,,,1.5,2.0,1.8,0.139,4308,0.061,0.052,0.044,0.5,0.3,1.8,0.5,1.7,2304,0.058,0.041,83,4.6,0.0,0.8,0.9,0.052,0.9,,,,,,,,,0.7,,-0.06,0.015,
6,QTP,2,2021,5.1,0.9,4.8,,0.197,0.106,69,28,22,4.7,2344,13117,,,,,,0.601,,,1.5,2.0,1.8,0.187,4583,0.104,0.096,0.078,0.5,0.3,1.8,0.5,1.7,2062,0.005,0.005,75,5.3,0.0,0.8,0.9,0.096,0.9,,,,,,,,,0.7,,-0.018,-0.049,
7,QTP,1,2021,6.6,0.9,4.1,,0.16,0.086,83,25,27,2.9,1974,13790,,,,,,0.622,,,1.6,2.8,2.5,0.161,4666,0.101,0.09,0.065,0.5,0.3,2.0,0.3,1.6,2575,0.106,0.107,82,4.4,0.0,0.8,0.9,0.09,0.8,,,,,,,,,0.6,,-0.091,0.119,
8,QTP,4,2020,6.0,0.8,4.4,,0.146,0.073,57,24,20,14.5,1699,12328,,,,,,0.558,,,1.3,1.9,1.6,1.194,5133,0.549,0.521,0.43,0.7,0.4,2.0,0.6,1.8,1723,0.151,0.13,61,6.4,0.0,0.8,1.0,0.521,0.9,,,,,,,,,0.8,,-0.108,0.17,
9,QTP,3,2020,12.0,0.9,3.8,,0.076,0.034,33,20,15,-0.1,774,10540,,,,,,0.492,,,1.0,1.6,1.4,-0.136,5755,0.007,,,0.9,0.4,2.0,0.5,2.0,1241,0.107,0.081,38,11.2,0.0,0.9,,,9.6,,,,,,,,,1.0,,-0.041,-0.013,
