,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,RCL,4,2022,23.5,0.6,17.3,,0.027,0.015,548,759,1759.0,,570,21073,,,,,,0.612,,,1.6,1.7,1.2,-0.406,762.0,0.34,0.181,0.152,0.0,0.0,0.0,,1.6,126,0.037,0.059,-452.0,0.7,0.0,0.2,0.8,0.181,1.1,,,,,,,,,0.6,,-0.013,0.012,
1,RCL,3,2022,15.8,0.7,17.2,,0.047,0.025,454,749,502.0,,961,20830,,,,,,0.587,,,1.4,1.6,1.1,-0.04,772.0,0.343,0.087,0.101,0.0,0.0,0.0,,1.7,124,0.039,0.06,701.0,0.8,0.0,0.2,0.8,0.087,1.4,,,,,,,,,0.7,,-0.105,0.004,
2,RCL,2,2022,16.0,0.8,16.7,,0.049,0.025,409,734,464.0,,1001,20744,,,,,,0.575,,,1.4,1.6,1.0,-0.191,863.0,0.288,0.108,0.061,0.0,0.0,0.0,,1.7,122,0.041,0.059,679.0,0.9,0.0,0.2,0.8,0.108,0.7,,,,,,,,,0.7,,-0.212,-0.007,
3,RCL,1,2022,14.7,0.9,14.4,,0.06,0.029,338,658,89.0,,1238,20886,,,,,,0.553,,,1.2,1.5,1.0,0.006,1094.0,0.246,0.105,0.083,0.0,0.0,0.0,,1.8,121,0.052,0.071,907.0,1.1,0.0,0.2,0.8,0.105,1.0,,,,,,,,,0.8,,0.014,0.006,
4,RCL,4,2021,15.1,0.9,18.5,,0.06,0.028,340,724,160.0,-82.2,1231,20759,,,,,,0.511,,,1.0,1.4,0.9,0.127,1079.0,0.242,0.124,0.263,0.0,0.0,0.0,,2.0,118,0.03,0.034,904.0,1.1,0.0,0.2,0.9,0.124,2.3,,,,,,,,,1.0,,-0.004,0.031,
5,RCL,3,2021,12.5,0.7,17.4,,0.054,0.023,244,596,160.0,,1092,20132,,,,,,0.476,,,0.9,1.3,0.8,0.006,1084.0,0.268,0.115,0.091,0.0,0.0,0.0,,2.1,106,0.012,0.014,680.0,1.5,-0.187,0.3,0.8,0.115,1.0,,,,,,,,,1.1,,0.097,0.006,
6,RCL,2,2021,13.4,0.7,17.4,,0.054,0.023,247,639,161.0,102.9,1085,20006,,,,,,0.462,,,0.9,1.3,0.7,-0.03,988.0,0.227,0.106,0.099,0.0,0.0,0.0,,2.2,102,0.017,0.021,725.0,1.5,-0.185,0.3,0.8,0.106,1.2,,,,,,,,,1.2,,0.055,-0.031,
7,RCL,1,2021,14.3,0.8,,,0.054,0.023,278,754,189.0,,1118,20638,,,,,,0.442,,,0.8,1.3,0.7,0.032,936.0,0.259,0.101,0.081,0.0,0.0,0.0,,2.3,107,0.042,,844.0,1.3,-0.183,0.2,0.8,0.101,1.0,,,,,,,,,1.3,,0.237,0.006,
8,RCL,4,2020,14.9,0.8,20.0,,0.053,0.022,300,816,129.0,,1083,20524,,,,,,0.426,,,0.7,1.3,0.7,-0.007,757.0,0.143,0.05,0.082,0.0,0.0,0.0,,2.3,109,0.051,0.074,987.0,1.2,-0.149,0.2,1.1,0.05,1.5,,,,,,,,,1.3,,-0.405,0.021,
9,RCL,3,2020,13.3,0.7,17.6,,0.061,0.023,260,1144,98.0,,1091,20099,,,,,,0.391,,,0.6,1.3,0.6,0.071,1272.0,0.336,0.068,0.11,0.0,0.0,0.0,,2.6,123,0.024,0.029,1306.0,1.4,0.0,0.2,0.9,0.068,1.9,,,,,,,,,1.6,,0.146,0.006,
10,RCL,2,2020,20.4,1.0,,,0.057,0.022,264,1093,51.0,,1018,19980,,,,,,0.384,,,0.6,1.3,0.6,0.42,1110.0,0.289,0.122,0.144,0.0,0.0,0.0,,2.6,125,0.285,,1306.0,1.4,0.0,0.2,0.8,0.122,1.4,,,,,,,,,1.6,,0.464,-0.027,
11,RCL,1,2020,16.4,0.6,18.4,,0.039,0.016,498,1420,81.0,,717,20530,,,,,,0.404,,,0.7,1.3,0.6,-0.276,759.0,0.293,,0.127,0.0,0.0,0.0,,2.5,131,0.258,0.342,1837.0,0.7,0.0,0.2,0.7,,-7.5,,,,,,,,,1.5,,-0.364,-0.086,
12,RCL,4,2019,15.5,0.7,11.7,,0.05,0.02,174,1166,48.0,,991,22472,,,,,,0.402,,,0.7,1.3,0.6,0.278,1194.0,0.242,0.112,0.104,0.0,0.0,0.0,,2.5,129,0.527,0.696,1293.0,2.1,0.0,0.2,1.2,0.112,1.1,,,,,,,,,1.5,,-0.024,0.312,
13,RCL,3,2019,17.9,0.8,15.8,,0.045,0.018,210,1412,29.0,,776,17132,,,,,,0.358,,,0.6,1.2,0.4,-0.13,1223.0,0.209,-0.019,0.049,0.0,0.0,0.0,,2.8,59,0.182,0.212,1593.0,1.7,0.0,0.2,1.1,-0.019,-2.8,,,,,,,,,1.8,,-0.172,0.003,
14,RCL,2,2019,18.2,1.0,13.2,,0.052,0.023,211,1317,13.0,,891,17081,,,,,,0.374,,,0.6,1.2,0.4,0.015,1477.0,0.246,0.053,0.063,0.0,0.0,0.0,,2.7,59,0.202,0.228,1515.0,1.7,0.0,0.2,1.1,0.053,1.3,,,,,,,,,1.7,,0.134,-0.044,
15,RCL,1,2019,18.6,0.9,12.4,,0.049,0.024,210,1376,6.0,,878,17863,,,,,,0.407,,,0.7,1.5,0.5,0.005,1303.0,0.294,0.173,0.155,0.0,0.0,0.0,,2.5,164,0.171,0.239,1580.0,1.7,0.0,0.2,1.3,0.173,1.2,,,,,,,,,1.5,,0.283,0.017,
16,RCL,4,2018,21.5,1.1,11.7,,0.05,0.025,149,1158,8.0,,874,17569,,,,,,0.409,,,0.7,1.5,0.6,-0.33,1015.0,0.22,0.125,0.113,0.0,0.0,0.0,,2.4,160,0.343,0.471,1299.0,2.4,0.0,0.2,1.6,0.125,1.5,,,,,,,,,1.4,,0.461,0.02,
17,RCL,3,2018,13.7,1.0,22.5,,0.077,0.04,110,952,9.0,,1304,17232,,,,,,0.438,,,0.8,1.6,0.7,0.078,695.0,0.319,0.096,0.155,0.0,0.0,0.0,,2.3,155,0.329,0.376,1053.0,3.3,0.0,0.2,1.2,0.096,2.0,,,,,,,,,1.3,,0.165,0.01,
18,RCL,2,2018,13.1,0.9,26.9,,0.072,0.043,103,757,5.0,,1209,17065,,,,,,0.509,,,1.0,1.7,0.7,-0.002,597.0,0.149,-0.019,0.056,0.0,0.0,0.3,,2.0,153,0.206,0.227,854.0,3.6,-0.01,0.3,1.2,-0.019,-3.7,,,,,,,,,1.0,,0.211,-0.055,
19,RCL,1,2018,11.3,0.8,36.6,,0.068,0.047,160,745,7.0,,1212,18057,,,,,,0.605,,,1.5,2.2,0.9,0.016,493.0,0.137,0.062,0.126,0.0,0.0,0.0,,1.7,180,0.132,0.181,898.0,2.3,-0.02,0.3,1.3,0.062,2.6,,,,,,,,,0.7,,-0.354,0.026,
20,RCL,4,2017,12.7,0.9,24.0,,0.068,0.048,81,783,8.0,,1192,17605,,,,,,0.632,,,1.7,2.3,0.8,0.489,763.0,0.107,0.05,0.231,0.0,0.0,0.0,,1.6,172,0.159,0.214,856.0,4.5,-0.019,0.3,1.3,0.05,5.8,,,,,,,,,0.6,,-0.204,0.046,
21,RCL,3,2017,16.9,0.8,15.7,,0.047,0.033,102,1151,9.0,65.5,801,16838,,,,,,0.639,,,1.8,2.5,0.7,0.077,959.0,0.207,0.021,0.051,0.0,0.0,0.6,,1.6,175,0.123,0.187,1244.0,3.6,-0.022,0.2,1.3,0.021,3.1,,,,,,,,,0.6,,-0.111,0.004,
22,RCL,2,2017,18.3,0.8,18.1,,0.049,0.034,90,903,26.0,-895.4,743,16766,,,,,,0.724,,,2.6,2.9,0.9,-0.099,1078.0,0.175,-0.159,0.131,0.0,0.0,0.2,,1.4,151,0.134,0.191,967.0,4.1,-0.012,0.3,1.3,-0.159,-1.1,,,,,,,,,0.4,,-0.14,-0.044,
23,RCL,1,2017,18.4,0.9,13.7,,0.053,0.038,133,752,17.0,,826,17547,,,,,,0.804,,,4.1,4.6,1.9,-0.077,1253.0,0.234,0.111,0.098,0.0,0.0,0.3,,1.2,190,0.233,0.323,868.0,2.7,-0.013,0.3,1.3,0.111,1.1,,,,,,,,,0.2,,1.66,0.015,
24,RCL,4,2016,17.4,0.9,42.2,,0.057,0.041,142,1146,13.0,120.9,895,17285,,,,,,0.78,,,3.5,4.5,1.5,0.224,471.0,0.47,0.262,0.33,0.0,0.0,0.0,,1.3,192,0.199,0.255,1276.0,2.6,-0.016,0.2,1.2,0.262,1.5,,,,,,,,,0.3,,-2.226,0.022,
25,RCL,3,2016,18.3,0.8,-58.6,,0.047,0.032,131,848,22.0,12.9,731,16917,,,,,,0.739,,,2.8,3.6,1.4,-0.174,-384.0,0.174,0.004,0.007,0.0,0.0,-1.7,,1.4,164,0.234,0.271,957.0,2.8,-0.022,0.2,1.5,0.004,2.8,,,,,,,,,0.4,,2.344,0.216,
26,RCL,2,2016,13.4,0.9,-265.2,,0.063,0.041,149,1099,33.0,-8.4,885,13912,,,,,,0.674,,,2.1,3.4,0.9,-0.351,-115.0,0.205,-0.018,0.154,0.0,0.0,0.0,,1.5,146,0.094,0.097,1215.0,2.4,0.036,0.2,1.2,-0.018,-10.6,,,,,,,,,0.5,,-1.078,0.012,
27,RCL,1,2016,10.1,1.0,13.9,,0.096,0.062,123,888,31.0,,1364,13749,,,,,,0.645,,,1.8,3.2,1.2,-0.076,1468.0,0.355,-0.201,0.825,0.0,0.0,0.3,,1.6,147,0.271,0.321,979.0,3.0,-0.022,0.3,1.3,-0.201,-5.2,,,,,,,,,0.6,,-0.508,-0.038,
28,RCL,4,2015,9.7,1.0,2.9,,0.104,0.066,85,448,36.0,,1477,14294,,,,,,0.655,,,1.9,3.2,1.6,-0.035,2983.0,0.147,-0.08,0.119,0.0,0.0,0.0,,1.5,146,0.394,0.621,497.0,4.3,-0.019,0.4,1.2,-0.08,-1.8,,,,,,,,,0.5,,-0.211,0.008,
29,RCL,3,2015,9.1,1.0,3.4,,0.109,0.067,51,402,18.0,,1531,14184,,,,,,0.623,,,1.7,3.2,1.5,-0.172,3779.0,0.298,0.113,0.124,0.0,0.0,0.0,,1.6,152,0.383,0.513,435.0,7.2,-0.011,0.5,1.3,0.113,1.4,,,,,,,,,0.6,,-0.22,-0.005,
30,RCL,2,2015,7.6,1.0,2.6,,0.134,0.079,41,345,18.0,,1849,14260,,,,,,0.625,,,1.7,3.3,1.5,0.048,4845.0,0.409,0.266,0.274,0.0,0.0,0.0,,1.6,156,0.368,0.51,368.0,8.9,-0.069,0.6,1.3,0.266,1.3,,,,,,,,,0.6,,0.007,-0.02,
31,RCL,1,2015,7.9,1.0,2.6,,0.125,0.076,44,335,21.0,,1764,14549,,,,,,0.635,,,1.7,3.7,1.7,0.035,4811.0,0.208,0.118,0.1,0.0,0.0,0.0,,1.6,163,0.381,0.523,358.0,8.3,0.0,0.7,1.3,0.118,1.1,,,,,,,,,0.6,,0.043,0.029,
32,RCL,4,2014,,,2.6,,0.124,0.071,50,353,44.0,,1705,14134,,,,,,0.608,,,1.6,3.2,1.5,-0.061,4614.0,0.204,0.055,0.078,0.0,0.0,0.0,,1.6,159,0.36,0.471,360.0,7.3,0.0,0.7,1.3,0.055,1.8,,,,,,,,,0.6,,0.033,0.018,
33,RCL,3,2014,,,2.7,,0.135,0.077,36,290,17.0,1124.9,1815,13886,,,,,,0.601,,,1.5,3.3,1.5,0.117,4467.0,0.232,0.125,0.105,0.0,0.0,0.0,,1.7,158,0.431,0.599,309.0,10.1,0.0,0.8,1.3,0.125,1.1,,,,,,,,,0.7,,0.162,0.036,
34,RCL,2,2014,,,3.7,,0.122,0.069,47,316,10.0,,1626,13406,,,,,,0.556,,,1.3,3.3,1.3,0.005,3844.0,0.342,0.203,0.184,0.0,0.0,0.0,,1.8,168,0.39,0.583,353.0,7.8,0.0,0.7,1.3,0.203,1.1,,,,,,,,,0.8,,0.106,-0.027,
35,RCL,1,2014,,,6.0,,0.12,0.07,43,329,14.0,,1618,13775,,,,,,0.584,,,1.4,3.1,0.9,0.041,3476.0,0.206,0.095,0.082,0.0,0.0,0.0,,1.7,150,0.234,0.328,359.0,8.4,-0.004,0.7,1.3,0.095,1.1,,,,,,,,,0.7,,0.06,0.03,
36,RCL,4,2013,,,4.7,,0.118,0.068,51,408,24.0,,1554,13380,,,,,,0.536,,,1.2,2.2,0.7,-0.035,3279.0,0.129,0.022,0.064,0.0,0.0,0.0,,1.9,133,0.144,0.25,434.0,7.2,-0.004,0.6,1.3,0.022,3.8,,,,,,,,,0.9,,-0.249,0.03,
37,RCL,3,2013,,,2.7,,0.127,0.072,72,523,21.0,,1610,12987,,,,,,0.533,,,1.1,2.0,0.5,0.023,4369.0,0.22,0.106,0.095,0.0,0.0,0.0,,1.9,113,0.144,0.27,574.0,5.1,-0.006,0.5,1.3,0.106,1.2,,,,,,,,,0.9,,-0.022,-0.025,
38,RCL,2,2013,,,2.7,,0.123,0.072,87,559,19.0,2745.4,1573,13322,,,,,,0.575,,,1.4,2.5,0.8,-0.091,4468.0,0.308,0.153,0.213,0.0,0.0,0.0,,1.7,130,0.189,0.359,627.0,4.2,-0.012,0.5,1.3,0.153,1.8,,,,,,,,,0.7,,-0.249,0.008,
39,RCL,1,2013,,,2.8,,0.137,0.08,90,639,37.0,,1731,13214,,,,,,0.578,,,1.4,2.2,0.7,-0.059,5948.0,0.286,0.156,0.135,0.0,0.0,0.0,,1.7,115,0.194,0.383,691.0,4.1,-0.008,0.5,1.3,0.156,1.1,,,,,,,,,0.7,,-0.084,0.026,
40,RCL,4,2012,,,3.0,,0.15,0.089,76,561,40.0,22.6,1840,12879,,,,,,0.622,,,1.6,2.2,0.5,0.099,6494.0,0.273,0.166,0.132,0.0,0.0,0.0,,1.6,102,0.064,0.116,596.0,4.8,-0.009,0.5,1.3,0.166,1.1,,,,,,,,,0.6,,-0.16,0.034,
41,RCL,3,2012,,,2.3,,0.14,0.085,79,495,31.0,90.7,1674,12457,,,,,,0.605,,,1.5,1.9,0.5,-0.112,7732.0,0.328,0.181,0.128,0.0,0.0,0.1,,1.7,89,0.019,0.037,544.0,4.6,-0.008,0.6,1.3,0.181,0.9,,,,,,,,,0.7,,-0.093,0.021,
42,RCL,2,2012,,,2.0,,0.162,0.098,53,413,26.0,,1886,12197,,,,,,0.598,,,1.5,1.9,0.5,0.111,8525.0,0.607,0.419,0.358,0.0,0.0,0.1,,1.7,86,0.021,0.039,440.0,6.9,-0.001,0.7,1.3,0.419,1.1,,,,,,,,,0.7,,0.192,0.01,
43,RCL,1,2012,,,2.5,,0.147,0.089,57,346,28.0,,1697,12077,,,,,,0.593,,,1.5,2.1,0.6,-0.16,7151.0,0.292,0.184,0.14,0.0,0.0,0.0,,1.7,96,0.03,0.054,375.0,6.4,-0.001,0.7,1.3,0.184,1.0,,,,,,,,,0.7,,-0.111,0.038,
44,RCL,4,2011,,,2.0,,0.185,0.105,64,377,42.0,74.9,2020,11638,,,,,,0.562,,,1.3,1.9,0.5,-0.32,8047.0,0.335,0.216,0.058,0.0,0.0,0.0,,1.8,77,0.033,0.066,399.0,5.7,-0.001,0.6,3.0,0.216,0.8,,,,,,,,,0.8,,-0.235,0.015,
45,RCL,3,2011,,,2.2,,0.291,0.163,78,329,23.0,13.9,2970,11467,,,,,,0.603,,,1.5,1.8,0.5,-0.033,10519.0,0.268,0.173,0.125,0.0,0.0,0.0,,1.7,73,0.041,0.067,384.0,4.7,0.0,0.7,1.3,0.173,0.9,,,,,,,,,0.7,,-0.019,0.041,
46,RCL,2,2011,,,2.4,,0.306,0.177,59,389,24.0,89.8,3071,11019,,,,,,0.606,,,1.5,1.7,0.4,-0.159,10727.0,0.408,0.205,0.315,0.0,0.0,0.0,,1.6,61,0.042,0.059,424.0,6.2,-0.005,0.7,1.2,0.205,1.9,,,,,,,,,0.6,,-0.309,-0.001,
47,RCL,1,2011,,,2.5,,0.369,0.216,57,336,33.0,870.1,3652,11029,,,,,,0.617,,,1.6,1.8,0.8,0.044,15517.0,0.592,0.419,0.356,0.0,0.0,0.0,,1.6,65,0.066,0.06,359.0,6.5,-0.005,0.7,1.3,0.419,1.1,,,,,,,,,0.6,,0.052,0.075,
48,RCL,4,2010,,,3.5,,0.377,0.211,30,337,30.0,76.5,3498,10260,,,,,,0.575,,,1.4,1.7,0.8,-0.265,14749.0,0.355,0.235,0.23,0.0,0.0,0.9,,1.7,60,0.142,0.088,337.0,12.0,-0.005,0.7,1.3,0.235,1.2,,,,,,,,,0.7,,-0.382,0.146,
49,RCL,3,2010,,,2.1,,0.617,0.277,47,455,25.0,142.8,4762,8951,,,,,,0.516,,,1.1,1.6,0.9,-0.04,23880.0,0.45,0.297,0.238,0.0,0.0,1.0,,1.9,55,0.268,0.17,477.0,7.7,-0.005,0.7,1.3,0.297,1.1,,,,,,,,,0.9,,-0.038,-0.009,
50,RCL,2,2010,,,3.2,,0.682,0.3,81,384,20.0,,4959,9032,,,,,,0.549,,,1.2,1.8,0.9,0.127,24811.0,0.716,0.627,0.474,0.0,0.0,1.0,,1.8,56,0.325,0.147,445.0,4.5,-0.001,0.7,1.3,0.627,1.0,,,,,,,,,0.8,,0.067,0.031,
