,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,RDP,4,2022,24.7,0.7,8.5,,0.028,0.005,26,113,23,1.2,252,9373,,,,,,0.187,,,0.4,1.2,0.5,0.209,4342,0.083,0.042,0.0,1.9,0.5,6.0,2.9,5.4,259,0.074,0.166,116,13.9,-0.03,1.2,0.0,0.042,0.2,,,,,,,,,2.6,,-0.004,0.001,
1,RDP,3,2022,40.5,0.9,8.6,,0.023,0.004,29,119,41,1.4,208,9365,,,,,,0.181,,,0.4,1.2,0.5,-0.554,4361,0.074,0.039,0.001,1.9,0.5,6.0,2.7,5.5,261,0.046,0.094,107,12.7,-0.032,1.1,0.1,0.039,0.2,,,,,,,,,2.7,,0.153,0.002,
2,RDP,2,2022,16.6,0.8,8.3,,0.052,0.01,22,117,37,1.4,467,9349,,,,,,0.199,,,0.3,1.1,0.5,-0.232,3782,0.108,0.054,0.01,2.1,0.5,6.6,2.2,5.0,176,0.048,0.076,102,16.8,-0.024,1.1,0.6,0.054,0.3,,,,,,,,,3.3,,-0.19,0.012,
3,RDP,1,2022,27.3,1.8,8.0,,0.069,0.013,17,95,32,1.6,608,9238,,,,,,0.199,,,0.3,1.1,0.5,-0.161,4671,0.076,0.038,0.008,2.2,0.5,5.8,2.1,5.0,170,0.048,0.053,80,21.5,-0.047,1.3,0.7,0.038,0.3,,,,,,,,,3.3,,-0.006,0.036,
4,RDP,4,2021,17.8,1.4,9.2,,0.074,0.016,18,97,30,1.1,725,8917,,,,,,0.196,,,0.3,1.1,0.5,0.175,4697,0.085,0.046,,2.4,0.6,6.2,2.2,5.1,152,0.056,0.05,85,20.1,-0.023,1.2,,0.046,0.1,,,,,,,,,3.4,,0.073,-0.004,
5,RDP,3,2021,19.9,1.4,9.6,,0.063,0.012,24,93,59,1.0,617,8953,,,,,,0.19,,,0.3,1.1,0.6,0.444,4378,0.067,0.031,0.02,2.4,0.5,6.8,2.0,5.3,158,0.079,0.077,58,15.0,-0.115,1.1,0.7,0.031,0.9,,,,,,,,,3.5,,-0.158,0.036,
6,RDP,2,2021,22.6,1.1,8.9,,0.044,0.009,16,86,31,1.9,427,8643,,,,,,0.184,,,0.3,1.1,0.6,0.576,5198,0.074,0.047,0.014,2.5,0.5,5.9,2.0,5.4,123,0.046,0.035,71,22.6,0.005,1.2,0.6,0.047,0.5,,,,,,,,,3.7,,-0.012,0.03,
7,RDP,1,2021,44.2,1.4,8.7,,0.029,0.006,18,81,35,1.7,271,8391,,,,,,0.186,,,0.3,1.1,0.5,2.078,5262,0.117,0.073,0.021,2.6,0.6,6.2,2.0,5.4,95,0.051,0.05,64,19.9,-0.013,1.2,0.8,0.073,0.4,,,,,,,,,3.6,,-0.017,-0.206,
8,RDP,4,2020,89.4,0.7,9.2,,0.008,0.002,23,72,37,1.0,88,10563,,,,,,0.234,,,0.4,1.1,0.6,-0.923,5354,0.075,0.037,,1.9,0.6,6.2,1.9,4.3,118,0.04,0.053,58,15.8,-0.014,1.2,,0.037,-0.1,,,,,,,,,2.4,,-0.279,-0.013,
9,RDP,3,2020,6.2,0.7,6.4,,0.112,0.024,19,67,48,1.0,1151,10707,,,,,,0.196,,,0.3,1.1,0.7,-0.029,7430,0.066,0.032,0.006,2.0,0.5,4.5,1.4,5.1,222,0.113,0.222,38,18.9,0.067,1.2,0.8,0.032,0.2,,,,,,,,,3.1,,0.086,0.007,
10,RDP,2,2020,6.3,0.7,7.0,,0.117,0.027,12,73,25,0.8,1186,10637,,,,,,0.226,,,0.4,1.1,0.6,0.088,6843,0.062,0.031,0.007,2.0,0.6,5.0,1.8,4.4,131,0.105,0.229,60,29.7,-0.048,1.3,0.8,0.031,0.3,,,,,,,,,2.5,,0.117,0.009,
