,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,RTB,4,2022,9.0,1.2,7.1,,0.136,0.07,132,134,16,7.0,2225,16491,,,,,,0.528,,,4.0,2.1,1.4,-0.12,4027,0.358,0.204,0.085,0.1,0.1,1.0,0.2,1.9,325,0.076,0.095,249,2.8,-0.092,0.3,0.4,0.204,1.1,,,,,,,,,0.2,,-0.073,-0.032,
1,RTB,3,2022,10.0,1.5,7.0,,0.147,0.078,180,99,15,5.1,2529,17034,,,,,,0.536,,,3.9,2.4,1.7,-0.343,4346,0.267,0.148,0.023,0.1,0.1,1.1,0.1,1.9,373,0.12,0.14,264,2.0,-0.116,0.3,0.2,0.148,0.6,,,,,,,,,0.3,,-0.173,0.0,
2,RTB,2,2022,7.7,1.7,6.7,,0.234,0.119,140,106,24,13.4,3850,17036,,,,,,0.523,,,3.4,2.0,1.5,0.036,5257,0.394,0.318,0.393,0.1,0.1,0.9,0.1,1.9,379,0.153,0.145,222,2.6,-0.049,0.4,0.8,0.318,1.6,,,,,,,,,0.3,,0.075,0.003,
3,RTB,1,2022,7.3,1.6,7.3,,0.232,0.117,173,102,9,10.2,3715,16982,,,,,,0.531,,,3.6,2.6,1.9,0.151,4889,0.358,0.277,0.266,0.2,0.1,1.2,0.1,1.9,437,0.14,0.129,266,2.1,-0.119,0.3,0.6,0.277,1.6,,,,,,,,,0.3,,0.107,0.049,
4,RTB,4,2021,8.3,1.6,8.8,,0.205,0.099,150,120,20,9.3,3229,16195,,,,,,0.501,,,2.9,2.0,1.3,-0.112,4417,0.511,0.345,0.188,0.2,0.1,1.4,0.1,2.0,353,0.123,0.102,250,2.4,-0.057,0.3,0.6,0.345,1.0,,,,,,,,,0.3,,0.021,-0.063,
5,RTB,3,2021,4.3,0.9,8.1,,0.226,0.112,202,93,17,14.7,3635,17280,,,,,,0.526,,,3.1,3.8,3.1,0.326,4327,0.498,0.414,0.456,0.2,0.2,1.6,0.0,1.9,561,0.147,0.142,279,1.8,-0.042,0.3,0.7,0.414,1.6,,,,,,,,,0.3,,0.358,0.086,
6,RTB,2,2021,4.7,0.8,9.7,,0.18,0.085,171,108,27,9.7,2740,15912,,,,,,0.496,,,2.5,2.5,2.0,0.264,3186,0.358,0.279,0.485,0.3,0.2,2.2,0.0,2.0,409,0.14,0.152,252,2.1,-0.037,0.3,0.8,0.279,2.2,,,,,,,,,0.4,,0.381,0.055,
7,RTB,1,2021,5.8,0.8,11.2,,0.148,0.069,205,86,12,1.9,2169,15080,,,,,,0.481,,,2.3,3.8,3.2,0.169,2307,0.291,0.172,0.112,0.3,0.2,3.4,0.0,2.1,461,0.145,0.217,279,1.8,-0.036,0.3,0.6,0.172,1.1,,,,,,,,,0.4,,0.215,-0.015,
8,RTB,4,2020,5.9,0.7,13.3,,0.125,0.057,221,96,31,6.6,1856,15304,,,,,,0.464,,,2.1,2.4,2.0,0.501,1899,0.503,0.363,0.375,0.3,0.2,4.1,0.1,2.2,377,0.18,0.297,285,1.7,-0.041,0.2,0.7,0.363,1.4,,,,,,,,,0.5,,0.574,0.028,
9,RTB,3,2020,6.3,0.5,18.3,,0.082,0.039,270,83,22,1.6,1236,14879,,,,,,0.468,,,2.1,3.2,2.6,0.473,1207,0.144,0.068,0.184,0.4,0.2,6.6,0.0,2.1,394,0.128,0.268,331,1.4,-0.044,0.2,0.7,0.068,3.6,,,,,,,,,0.5,,0.179,0.019,
