,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,S74,1,2021,-26.3,0.5,,,-0.02,-0.017,302152.0,,,,-364,17931,,,,,,0.879,,,7.3,2.5,2.0,0.099,-427.0,1.0,,,0.0,0.0,-0.5,,1.1,23,0.001,,,0.0,0.0,0.0,,,1.0,,,,,,,,,0.1,,0.064,-0.003,
1,S74,4,2020,-13.3,0.2,-24.9,,-0.018,-0.015,,,,,-331,17986,,,,,,0.878,,,7.2,2.5,2.0,-6.982,-401.0,,,,0.0,0.0,-1.0,,1.1,24,0.002,0.003,,0.0,0.0,0.0,,,0.5,,,,,,,,,0.1,,-3.343,-0.007,
2,S74,3,2020,77.5,0.2,,,0.003,0.002,299.0,275.0,11566.0,,55,18112,,,,,,0.851,,,5.7,2.2,1.8,0.36,171.0,,,,0.0,0.0,3.2,,1.2,25,0.001,,-10993.0,1.2,0.0,0.2,,,1.0,,,,,,,,,0.2,,-0.266,-0.004,
3,S74,2,2020,105.5,0.2,,,0.002,0.002,303.0,269.0,2442.0,-5.1,40,18177,,,,,,0.849,,,5.6,2.2,1.8,0.693,233.0,,,,0.0,0.0,8.1,,1.2,25,0.0,,-1870.0,1.2,-2.396,0.2,,,2.0,,,,,,,,,0.2,,-0.076,-0.007,
4,S74,1,2020,178.5,0.2,,,0.001,0.001,310.0,268.0,2272.0,-3.4,24,18296,,,,,,0.827,,,4.8,2.0,1.7,-0.611,252.0,,,,0.0,0.0,8.3,,1.2,26,0.003,,-1694.0,1.2,0.0,0.2,,,0.6,,,,,,,,,0.2,,-0.048,-0.029,
5,S74,4,2019,75.8,0.2,18.4,,0.003,0.002,413.0,273.0,8152.0,10.8,61,18833,,,,,,0.813,,,4.3,2.0,1.8,-1.323,265.0,0.067,0.06,0.054,0.0,0.0,9.5,,1.2,29,0.0,0.001,-7466.0,0.9,0.0,0.2,1.0,0.06,0.9,,,,,,,,,0.2,,3.036,0.014,
6,S74,3,2019,-25.1,0.3,,,-0.01,-0.007,1229.0,1855.0,3233.0,-0.5,-191,18571,,,,,,0.736,,,2.8,1.6,0.8,-0.179,66.0,,,,0.1,0.0,47.3,,1.4,27,0.001,,-150.0,0.3,0.0,0.1,1.0,,3.1,,,,,,,,,0.4,,-0.407,-0.004,
7,S74,2,2019,-18.9,0.2,,,-0.012,-0.008,1022.0,1417.0,3026.0,-0.3,-233,18651,,,,,,0.718,,,2.5,1.6,0.8,4.56,111.0,0.0,-1.971,-7.955,0.2,0.1,41.0,,1.4,28,0.001,,-587.0,0.4,1.028,0.1,1.0,-1.971,4.0,,,,,,,,,0.4,,-0.75,-0.007,
8,S74,1,2019,-123.9,0.3,19.5,,-0.002,-0.001,610.0,893.0,949.0,-0.5,-41,18787,,,,,,0.716,,,2.5,1.6,0.8,-2.901,444.0,,,,0.2,0.1,12.1,,1.4,28,0.0,0.002,554.0,0.6,0.0,0.1,1.0,,-0.4,,,,,,,,,0.4,,-0.442,-0.008,
9,S74,4,2018,194.8,0.2,7.6,,0.001,0.001,351.0,541.0,504.0,0.8,22,18945,,,,,,0.698,,,2.3,1.6,0.9,-2.554,795.0,0.114,0.072,0.006,0.2,0.2,7.5,,1.4,29,0.032,0.12,388.0,1.0,0.0,0.2,1.0,0.072,0.1,,,,,,,,,0.4,,0.205,-0.003,
