,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,S99,4,2022,12.6,0.5,8.9,,0.049,0.015,95,111,127.0,1.7,617,15017,,,,,,0.341,,,0.6,1.5,1.2,-0.11,3212.0,0.143,0.058,0.05,1.0,0.4,6.3,0.4,2.9,523,0.143,0.311,79.0,3.8,-1.004,0.5,0.8,0.058,1.1,,,,,,,,,1.6,,-0.163,0.0,
1,S99,3,2022,13.0,0.6,7.5,,0.056,0.013,122,104,257.0,0.2,694,15010,,,,,,0.329,,,0.6,1.5,1.2,-0.309,3839.0,0.07,0.008,,1.1,0.4,5.9,0.4,3.0,670,0.267,0.549,-31.0,3.0,-0.769,0.4,,0.008,-4.1,,,,,,,,,1.7,,-0.309,0.294,
2,S99,2,2022,8.7,0.8,7.1,,0.095,0.019,41,86,62.0,1.7,1005,11600,,,,,,0.277,,,0.5,1.3,0.9,0.275,5557.0,0.086,0.058,0.058,1.3,0.4,6.6,0.7,3.6,425,0.142,0.276,65.0,9.0,-0.602,1.1,0.7,0.058,1.5,,,,,,,,,2.1,,-0.096,0.029,
3,S99,1,2022,22.4,1.6,7.5,,0.073,0.015,34,42,35.0,1.9,788,11273,,,,,,0.273,,,0.5,1.3,0.9,-0.385,6144.0,0.202,0.116,0.032,1.5,0.5,5.1,1.0,3.7,411,0.217,0.277,42.0,10.7,-0.446,1.4,0.5,0.116,0.5,,,,,,,,,2.2,,-0.234,0.093,
4,S99,4,2021,16.4,2.0,4.9,,0.132,0.029,29,30,24.0,3.2,1281,10310,,,,,,0.254,,,0.4,1.3,0.9,-0.204,8016.0,0.103,0.136,0.066,1.3,0.4,3.2,0.7,3.9,419,0.357,0.5,35.0,12.4,-0.379,1.7,0.7,0.136,0.7,,,,,,,,,2.3,,-0.202,0.054,
5,S99,3,2021,10.5,1.7,4.2,,0.175,0.032,28,29,50.0,0.8,1610,9784,,,,,,0.167,,,0.2,1.2,1.0,-0.085,10050.0,0.019,0.006,0.005,1.6,0.3,2.7,1.0,6.0,536,0.446,0.48,7.0,13.2,-0.425,1.6,0.5,0.006,1.4,,,,,,,,,4.1,,-0.03,0.013,
6,S99,2,2021,10.8,2.0,4.8,,0.198,0.034,42,113,40.0,1.8,1759,9658,,,,,,0.151,,,0.2,1.2,0.7,-0.189,10357.0,0.042,0.031,0.007,2.3,0.4,3.4,2.0,6.6,635,0.561,0.444,115.0,8.7,-0.455,0.8,0.3,0.031,0.8,,,,,,,,,4.3,,-0.112,-0.059,
7,S99,1,2021,11.8,2.5,4.3,,0.255,0.05,97,120,73.0,5.5,2170,10259,,,,,,0.17,,,0.3,1.2,1.0,0.186,11659.0,0.18,0.158,0.066,1.4,0.3,2.4,1.1,5.9,710,0.316,0.454,144.0,3.8,-0.515,0.6,0.5,0.158,0.8,,,,,,,,,3.2,,-0.044,0.126,
8,S99,4,2020,9.3,1.9,4.5,,0.239,0.051,108,114,56.0,6.4,1829,9113,,,,,,0.192,,,0.3,1.3,1.1,0.819,12195.0,0.275,0.202,0.069,1.3,0.3,2.1,0.7,5.2,619,0.224,0.183,166.0,3.4,-0.463,0.5,0.5,0.202,0.7,,,,,,,,,2.9,,0.445,0.054,
9,S99,3,2020,18.3,2.1,5.4,,0.134,0.031,144,244,64.0,1.6,1005,8648,,,,,,0.209,,,0.4,1.3,1.0,0.409,8442.0,0.283,0.174,0.125,1.3,0.3,2.8,0.7,4.8,499,0.123,0.137,323.0,2.5,-0.357,0.3,0.7,0.174,1.1,,,,,,,,,2.7,,0.046,0.066,
10,S99,2,2020,17.4,1.5,5.8,,0.099,0.022,85,240,94.0,3.3,713,8111,,,,,,0.212,,,0.4,1.1,0.9,0.985,8074.0,0.443,0.354,0.187,1.4,0.4,2.9,0.9,4.7,190,0.282,0.279,231.0,4.3,-0.158,0.3,0.6,0.354,0.9,,,,,,,,,2.6,,0.069,0.204,
11,S99,1,2020,18.5,1.0,5.9,,0.056,0.013,82,177,182.0,6.2,359,6737,,,,,,0.264,,,0.6,1.6,1.2,-0.24,7554.0,0.568,0.481,0.083,1.3,0.5,3.0,0.5,3.8,406,0.126,0.121,76.0,4.5,-0.141,0.5,0.5,0.481,0.3,,,,,,,,,1.8,,0.347,-0.333,
12,S99,4,2019,18.0,0.8,6.1,,0.048,0.012,90,91,51.0,-0.1,473,10108,,,,,,0.248,,,0.5,1.4,1.1,-0.549,5607.0,0.119,-0.033,-0.103,1.4,0.5,3.9,0.5,4.0,316,0.152,0.297,130.0,4.1,-0.397,0.6,2.3,-0.033,7.3,,,,,,,,,2.0,,-0.096,-0.024,
13,S99,3,2019,8.0,0.8,5.6,,0.106,0.027,61,80,37.0,0.4,1047,10358,,,,,,0.274,,,0.6,1.3,0.9,-0.086,6201.0,0.121,0.104,0.018,1.3,0.5,3.7,0.8,3.7,203,0.16,0.355,105.0,6.0,-0.803,0.7,1.7,0.104,0.3,,,,,,,,,1.7,,0.081,0.007,
14,S99,2,2019,7.0,0.8,4.1,,0.117,0.029,51,96,45.0,2.4,1146,10290,,,,,,0.23,,,0.5,1.2,0.9,0.085,5735.0,0.14,0.109,0.037,1.2,0.4,3.7,0.6,4.3,214,0.685,1.404,102.0,7.2,-1.006,0.7,1.8,0.109,0.6,,,,,,,,,2.2,,0.318,0.032,
15,S99,1,2019,6.5,0.7,8.2,,0.111,0.026,116,140,97.0,2.9,1057,9970,,,,,,0.203,,,0.4,1.1,0.7,0.211,4350.0,0.114,0.089,0.035,1.3,0.4,4.7,0.7,4.9,84,0.067,0.145,160.0,3.2,-0.851,0.5,1.9,0.089,0.8,,,,,,,,,2.6,,0.53,0.026,
16,S99,4,2018,7.7,0.7,10.2,,0.094,0.025,140,137,87.0,5.7,873,9720,,,,,,0.237,,,0.5,1.1,0.7,0.671,2843.0,0.154,0.116,0.052,1.2,0.4,6.3,0.5,4.2,73,0.144,0.334,190.0,2.6,-2.291,0.4,1.9,0.116,0.9,,,,,,,,,2.1,,0.516,0.033,
17,S99,3,2018,10.6,0.6,16.1,,0.057,0.016,89,155,58.0,0.8,522,9405,,,,,,0.244,,,0.5,1.1,0.7,5.314,1875.0,0.168,0.109,0.053,1.3,0.4,9.3,0.8,4.1,66,0.252,0.538,186.0,4.1,-1.743,0.4,1.7,0.109,0.8,,,,,,,,,2.1,,0.509,0.018,
18,S99,2,2018,62.5,0.6,32.0,,0.009,0.003,95,151,54.0,2.5,82,9236,,,,,,0.273,,,0.6,1.1,0.7,-1.882,1242.0,0.2,0.129,0.082,1.2,0.5,13.6,0.7,3.7,84,0.1,0.232,192.0,3.8,-2.681,0.5,1.8,0.129,1.2,,,,,,,,,1.7,,0.297,0.026,
19,S99,1,2018,-50.2,0.5,23.3,,-0.011,-0.004,85,124,59.0,0.6,-93,9007,,,,,,0.294,,,0.6,1.0,0.7,-0.609,957.0,0.093,0.03,0.047,1.1,0.4,13.8,0.8,3.4,30,0.048,0.139,150.0,4.3,-2.884,0.5,1.3,0.03,2.0,,,,,,,,,1.5,,0.068,0.012,
20,S99,4,2017,-20.0,0.5,19.1,,-0.028,-0.01,123,130,72.0,-0.2,-240,8903,,,,,,0.294,,,0.6,1.4,1.0,0.093,897.0,0.039,-0.007,-0.006,1.0,0.4,13.7,0.5,3.4,215,0.089,0.264,180.0,3.0,-2.407,0.5,3.7,-0.007,3.4,,,,,,,,,1.5,,-0.074,-0.004,
21,S99,3,2017,-28.9,0.7,17.4,,-0.025,-0.01,134,213,51.0,-0.6,-219,8941,,,,,,0.332,,,0.8,1.4,0.9,-2.989,968.0,0.042,-0.036,-0.115,0.8,0.4,9.8,0.8,3.0,223,0.064,0.199,295.0,2.7,-2.178,0.4,0.7,-0.036,2.2,,,,,,,,,1.2,,0.016,0.056,
22,S99,2,2017,52.5,0.7,15.3,,0.013,0.005,174,249,52.0,0.9,110,8468,,,,,,0.331,,,0.6,1.1,0.8,-0.516,953.0,0.154,0.085,0.028,1.0,0.4,10.2,1.4,3.0,90,0.329,0.755,371.0,2.1,-2.157,0.3,1.2,0.085,0.4,,,,,,,,,1.7,,1.317,0.007,
23,S99,1,2017,19.9,0.5,37.5,,0.027,0.013,148,257,46.0,0.5,228,8405,,,,,,0.433,,,1.0,1.6,1.0,-0.237,411.0,0.252,0.071,-0.008,0.7,0.3,18.1,1.6,2.3,220,0.037,0.072,358.0,2.5,-1.82,0.3,1.8,0.071,-0.2,,,,,,,,,1.1,,1.195,-0.002,
24,S99,4,2016,14.8,0.5,63.3,,0.036,0.017,202,222,74.0,0.5,299,8418,,,,,,0.452,,,1.0,1.8,1.3,-0.495,187.0,0.134,0.018,-0.006,0.6,0.3,37.4,1.5,2.2,265,0.127,0.334,350.0,1.8,-1.306,0.3,3.7,0.018,-1.2,,,,,,,,,1.0,,-1.363,-0.002,
25,S99,3,2016,6.7,0.5,-19.7,,0.073,0.047,169,157,22.0,-0.7,592,8439,,,,,,0.517,,,1.4,2.5,1.8,0.059,-516.0,0.091,-0.076,0.059,0.5,0.3,-6.3,0.8,1.9,332,0.071,0.2,305.0,2.2,-1.565,0.4,0.2,-0.076,-0.1,,,,,,,,,0.7,,-0.092,0.006,
26,S99,2,2016,8.0,0.5,-17.4,,0.069,0.044,184,182,22.0,-1.2,559,8385,,,,,,0.512,,,1.4,2.6,1.9,0.207,-569.0,0.15,-0.099,0.127,0.5,0.3,-6.1,1.0,2.0,377,0.137,0.347,345.0,2.0,-0.762,0.3,1.3,-0.099,-1.7,,,,,,,,,0.7,,-0.273,0.021,
27,S99,1,2016,11.6,0.7,-21.0,,0.082,0.047,236,232,22.0,-0.6,463,8214,,,,,,0.516,,,1.4,2.9,2.2,-0.054,-782.0,0.282,-0.079,0.093,0.4,0.3,-6.2,0.8,1.9,406,0.059,0.145,446.0,1.5,-0.28,0.3,1.4,-0.079,-1.6,,,,,,,,,0.7,,-0.101,0.014,
28,S99,4,2015,10.2,0.6,-18.1,,0.088,0.048,365,228,38.0,-3.2,489,8102,,,,,,0.498,,,1.3,2.5,2.0,0.501,-870.0,-0.016,-0.099,0.165,0.4,0.2,-5.3,0.9,2.0,381,0.067,0.152,555.0,1.0,-0.251,0.2,1.3,-0.099,-2.2,,,,,,,,,0.8,,-65.345,0.035,
29,S99,3,2015,20.1,0.8,549.3,,0.061,0.051,426,225,25.0,-4.2,326,7830,,,,,,0.881,,,7.4,6.5,5.7,-0.252,14.0,0.094,-0.207,0.168,0.0,0.0,11.6,0.0,1.1,295,0.027,0.057,627.0,0.9,-0.273,0.2,1.3,-0.207,-1.0,,,,,,,,,0.1,,-0.913,0.003,
