,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SAP,3,2018,157.7,1.4,-256.7,,0.009,0.006,48,24,26,9.2,58,6609,,,,,,0.742,,,2.9,1.2,0.9,-1.111,-30.0,0.324,0.088,0.088,0.1,0.1,-23.1,,1.3,0,0.02,0.018,45,7.6,0.0,0.8,1.0,0.088,1.0,,,,,,,,,0.3,,-0.944,0.02,
1,SAP,2,2018,-12.3,1.0,-15.7,,-0.078,-0.055,41,24,15,9.9,-527,6482,,,,,,0.674,,,2.1,0.9,0.8,-0.368,-542.0,0.312,0.104,0.13,0.1,0.1,-1.6,,1.5,0,0.082,0.062,51,8.9,0.0,0.8,1.0,0.104,1.2,,,,,,,,,0.5,,-0.216,0.058,
2,SAP,1,2018,-7.8,1.1,-9.2,,-0.128,-0.086,61,32,39,9.3,-834,6125,,,,,,0.651,,,1.9,0.8,0.6,-0.128,-692.0,0.298,0.065,0.058,0.2,0.1,-1.3,,1.5,-1,0.041,0.044,54,6.0,0.0,0.7,1.0,0.065,0.9,,,,,,,,,0.5,,-0.083,0.022,
3,SAP,4,2017,-6.3,1.0,-9.5,,-0.147,-0.103,34,31,32,-20.4,-957,5994,,,,,,0.682,,,2.1,0.6,0.4,0.639,-755.0,0.009,-0.394,-0.372,0.2,0.1,-1.2,,1.5,-1,0.076,0.07,32,10.8,0.0,0.7,1.0,-0.394,0.9,,,,,,,,,0.5,,1.154,-0.084,
4,SAP,3,2017,-15.9,1.4,-17.2,,-0.085,-0.061,36,32,27,-29.9,-584,6545,,,,,,0.674,,,2.1,0.8,0.6,0.958,-350.0,-0.001,-0.247,-0.294,0.1,0.1,-2.2,,1.5,0,0.06,0.071,41,10.0,0.0,0.7,1.0,-0.247,1.2,,,,,,,,,0.5,,1.624,-0.066,
5,SAP,2,2017,-43.9,1.9,-76.0,,-0.042,-0.03,44,33,17,5.1,-298,7004,,,,,,0.73,,,2.7,1.0,0.7,-0.174,-134.0,0.322,0.073,0.027,0.1,0.1,-5.4,,1.4,0,0.067,0.048,61,8.3,0.0,0.7,1.0,0.073,0.4,,,,,,,,,0.4,,-0.425,0.007,
6,SAP,1,2017,-44.5,2.3,-53.4,,-0.05,-0.036,65,37,28,5.7,-361,6954,,,,,,0.695,,,2.3,1.0,0.7,0.065,-232.0,0.304,0.039,0.001,0.1,0.1,-3.6,,1.4,0,0.045,0.027,74,5.6,0.0,0.7,1.0,0.039,0.0,,,,,,,,,0.4,,0.081,-0.007,
7,SAP,4,2016,-29.8,1.4,-77.4,,-0.047,-0.034,37,37,27,-9.8,-339,7003,,,,,,0.711,,,2.5,1.2,0.9,-0.319,-215.0,0.174,-0.104,-0.103,0.1,0.1,-4.1,,1.4,0,0.045,0.02,46,10.0,0.0,0.8,1.0,-0.104,1.0,,,,,,,,,0.4,,0.182,-0.025,
8,SAP,3,2016,-20.3,1.4,-75.1,,-0.067,-0.052,12,28,11,-17.7,-498,7180,,,,,,0.76,,,3.2,1.0,0.7,-0.582,-182.0,0.084,-0.113,-0.116,0.1,0.1,-1.8,,1.3,0,0.054,0.029,30,29.4,2.218,0.8,1.0,-0.113,1.0,,,,,,,,,0.3,,-0.794,-0.024,
9,SAP,2,2016,-9.6,1.6,-11.8,,-0.15,-0.117,31,34,13,1.9,-1192,7353,,,,,,0.726,,,2.7,1.0,0.8,-0.447,-883.0,0.254,0.018,-0.006,0.1,0.1,-0.4,,1.4,0,0.041,0.03,52,12.0,0.0,0.6,1.0,0.018,-0.3,,,,,,,,,0.4,,-0.532,-0.002,
10,SAP,1,2016,-5.1,1.5,-6.4,,-0.255,-0.198,95,46,32,9.2,-2154,7366,,,,,,0.713,,,2.5,1.9,1.4,-0.207,-1886.0,0.26,0.036,0.009,0.1,0.1,-0.2,0.0,1.4,1,0.014,0.009,109,3.8,0.0,0.4,1.0,0.036,0.3,,,,,,,,,0.4,,-0.214,0.003,
11,SAP,4,2015,-4.0,1.5,-5.3,,-0.296,-0.24,54,75,26,-18.4,-2717,7342,,,,,,0.731,,,2.7,1.0,0.6,-0.086,-2399.0,0.153,-0.092,-0.211,0.1,0.1,-0.2,,1.4,0,0.045,0.028,103,6.7,0.0,0.3,0.5,-0.092,1.2,,,,,,,,,0.4,,-0.137,-0.044,
12,SAP,3,2015,-3.4,1.3,-3.9,,-0.31,-0.26,78,68,14,,-2973,7679,,,,,,0.791,,,3.8,1.4,0.8,0.651,-2778.0,-2.82,-12.549,-12.509,0.0,0.0,0.0,,1.3,0,0.02,0.014,132,4.7,-3.209,0.1,1.0,-12.549,1.0,,,,,,,,,0.3,,0.338,-0.101,
13,SAP,2,2015,-7.2,1.5,-4.8,,-0.183,-0.149,226,46,6,,-1800,8546,,,,,,0.832,,,5.0,3.4,2.4,2.207,-2077.0,-68.067,-118.921,-120.416,0.0,0.0,-0.1,,1.2,2,0.015,0.013,266,1.6,-2.197,0.2,1.0,-118.921,1.0,,,,,,,,,0.2,,1.443,-0.102,
14,SAP,1,2015,-17.8,1.1,-10.7,,-0.055,-0.046,148,28,29,,-561,9521,,,,,,0.834,,,5.0,1.9,1.7,-3.182,-850.0,-0.17,-0.418,-0.44,0.0,0.0,0.0,,1.2,2,0.207,0.178,148,2.5,-1.453,0.5,1.0,-0.418,1.1,,,,,,,,,0.2,,5.46,-0.136,
15,SAP,4,2014,,,-73.0,,0.023,0.019,93,32,23,,257,11023,,,,,,0.876,,,7.0,3.0,2.5,-0.804,-132.0,-0.581,-1.353,-1.525,0.0,0.0,0.0,,1.1,4,0.206,0.161,102,3.9,-1.358,0.6,1.3,-1.353,1.5,,,,,,,,,0.1,,-1.233,-0.039,
16,SAP,3,2014,,,25.7,,0.115,0.099,35,18,4,,1315,11471,,,,,,0.872,,,6.8,4.0,3.6,0.228,565.0,0.033,-0.142,0.258,0.0,0.0,0.0,,1.1,6,0.391,0.301,49,10.4,0.0,0.8,1.4,-0.142,-2.5,,,,,,,,,0.1,,-0.297,0.027,
17,SAP,2,2014,,,11.1,,0.094,0.076,111,16,13,,1071,11166,,,,,,0.807,,,4.2,2.7,2.5,-0.121,803.0,0.268,0.087,0.087,0.0,0.0,0.3,,1.2,6,0.073,0.075,114,3.3,0.0,0.7,1.4,0.087,1.4,,,,,,,,,0.2,,-0.092,0.016,
18,SAP,1,2014,,,11.1,,0.108,0.091,108,49,11,,1219,10994,,,,,,0.83,,,4.9,3.2,3.1,-0.009,885.0,0.279,0.102,0.095,0.0,0.0,0.3,,1.2,6,0.177,0.189,145,3.4,-0.012,0.8,1.1,0.102,1.0,,,,,,,,,0.2,,0.05,-0.067,
19,SAP,4,2013,,,15.6,,0.104,0.09,63,46,17,,1230,11779,,,,,,0.813,,,4.3,2.4,2.3,0.671,843.0,0.17,0.058,0.158,0.0,0.0,0.0,,1.2,5,0.238,0.175,92,5.8,-0.011,0.9,1.1,0.058,3.1,,,,,,,,,0.2,,0.919,0.036,
20,SAP,3,2013,,,28.6,,0.063,0.05,80,49,62,,736,11366,,,,,,0.84,,,5.3,2.5,2.4,-0.092,439.0,0.211,0.042,0.037,0.0,0.0,0.0,,1.2,4,0.334,0.238,67,4.5,-0.012,0.7,1.7,0.042,1.5,,,,,,,,,0.2,,0.182,-0.019,
21,SAP,2,2013,,,43.7,,0.069,0.05,168,51,123,,811,11591,,,,,,0.806,,,4.1,2.4,2.3,-0.058,372.0,0.294,0.091,0.109,0.0,0.0,0.0,,1.2,5,0.296,0.186,95,2.2,-0.011,0.6,1.2,0.091,1.4,,,,,,,,,0.2,,-0.21,-0.005,
22,SAP,1,2013,,,17.1,,0.073,0.051,168,100,160,,861,11650,,,,,,0.853,,,5.8,3.8,2.9,0.082,471.0,0.27,0.079,0.09,0.0,0.0,0.6,,1.2,7,0.238,0.235,108,2.2,-0.002,0.5,1.2,0.079,1.3,,,,,,,,,0.2,,0.489,-0.025,
23,SAP,4,2012,,,39.4,,0.067,0.047,81,99,215,,795,11947,,,,,,0.931,,,13.5,7.3,5.1,-0.126,316.0,-0.007,-0.236,-0.029,0.0,0.0,0.0,,1.1,7,0.314,0.232,-35,4.5,-0.002,0.6,2.1,-0.236,0.3,,,,,,,,,0.1,,0.004,-0.011,
24,SAP,3,2012,,,46.0,,0.077,0.048,61,119,252,,910,12075,,,,,,0.769,,,3.3,2.5,2.0,0.178,315.0,0.265,0.002,0.091,0.0,0.0,0.0,,1.3,7,0.355,0.277,-73,6.0,0.0,0.9,1.2,0.002,62.6,,,,,,,,,0.3,,0.887,0.011,
25,SAP,2,2012,,,27.1,,0.065,0.036,153,126,353,,773,11939,,,,,,0.671,,,2.0,1.9,1.6,0.145,167.0,0.338,0.132,0.137,0.0,0.0,0.0,,1.5,7,0.085,0.102,-74,2.4,0.037,0.8,1.3,0.132,1.4,,,,,,,,,0.5,,-0.323,-0.007,
26,SAP,1,2012,,,3.4,,0.057,0.029,113,116,345,,675,12021,,,,,,0.6,,,1.5,1.6,1.4,0.047,247.0,0.211,0.028,0.062,0.0,0.0,0.0,,1.7,6,0.455,0.869,-116,3.2,0.0,0.9,1.2,0.028,2.7,,,,,,,,,0.7,,-0.387,0.019,
27,SAP,4,2011,,,-0.1,,0.055,0.029,51,95,222,,644,11795,,,,,,0.552,,,1.2,1.5,1.3,0.02,402.0,0.053,-0.029,0.011,0.0,0.0,0.0,,1.8,6,0.702,1.69,-76,7.1,0.0,1.2,0.4,-0.029,-0.1,,,,,,,,,0.8,,-0.444,0.007,
28,SAP,3,2011,,,5.8,,0.054,0.028,40,155,193,,632,11708,,,,,,0.522,,,1.1,1.4,0.7,-0.155,723.0,0.066,-0.086,-0.001,0.0,0.0,0.0,,1.9,5,0.421,0.85,2,9.2,0.0,1.0,1.0,-0.086,0.0,,,,,,,,,0.9,,-0.28,-0.001,
29,SAP,2,2011,,,4.6,,0.063,0.028,122,148,226,,748,11723,,,,,,0.455,,,0.8,1.3,0.7,0.11,1004.0,0.161,0.064,0.044,0.0,0.0,0.0,,2.2,5,0.135,0.255,43,3.0,-0.03,0.9,1.4,0.064,1.0,,,,,,,,,1.2,,0.15,-0.008,
