,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SCJ,4,2022,50.4,0.5,7.4,,0.01,0.002,-112,63,50.0,1.1,83,8187,,,,,,0.239,,,0.3,0.4,0.2,-0.582,6161.0,0.107,0.083,,2.9,0.7,5.8,0.9,4.2,-453,0.029,0.057,-100.0,,0.051,0.6,,0.083,0.1,,,,,,,,,3.2,,0.048,-0.013,
1,SCJ,3,2022,18.5,0.4,7.8,,0.024,0.006,-101,83,50.0,1.4,198,8294,,,,,,0.227,,,0.3,0.6,0.2,1.232,5882.0,0.171,0.13,0.026,3.1,0.7,6.4,0.8,4.4,-353,0.005,0.01,-69.0,,0.04,0.5,0.8,0.13,0.3,,,,,,,,,3.4,,0.063,0.017,
2,SCJ,2,2022,48.2,0.5,7.9,,0.011,0.002,-98,93,55.0,1.1,89,8155,,,,,,0.219,,,0.3,0.6,0.2,-0.555,5535.0,0.213,0.147,0.01,3.3,0.7,7.0,0.7,4.6,-313,0.009,0.036,-60.0,,-0.004,0.5,0.8,0.147,0.1,,,,,,,,,3.6,,0.009,0.005,
3,SCJ,1,2022,67.8,1.7,7.2,,0.025,0.006,-97,61,75.0,1.0,200,8115,,,,,,0.22,,,0.3,0.5,0.2,-0.179,5485.0,0.166,0.114,0.003,2.9,0.6,5.5,0.5,4.5,-349,0.008,0.022,-112.0,,0.042,0.6,0.8,0.114,0.0,,,,,,,,,3.5,,0.055,-0.018,
4,SCJ,4,2021,47.4,1.4,8.6,,0.03,0.008,-22,50,33.0,1.1,243,8260,,,,,,0.234,,,0.3,0.5,0.2,0.445,5197.0,0.1,0.082,0.002,2.8,0.7,5.7,0.4,4.3,-285,0.004,0.006,-4.0,,0.0,0.7,0.5,0.082,0.0,,,,,,,,,3.3,,-0.041,0.001,
5,SCJ,3,2021,51.4,1.1,8.4,,0.021,0.005,-26,47,41.0,1.1,168,8251,,,,,,0.231,,,0.3,0.6,0.3,-0.117,5419.0,0.132,0.096,0.006,2.9,0.7,5.5,0.4,4.3,-248,0.005,0.007,-21.0,,0.0,0.7,0.8,0.096,0.1,,,,,,,,,3.3,,0.165,0.003,
6,SCJ,2,2021,20.9,0.5,10.9,,0.023,0.006,-17,59,55.0,1.5,191,8222,,,,,,0.225,,,0.3,0.6,0.3,4.529,4651.0,0.123,0.107,0.027,2.9,0.7,6.5,0.4,4.4,-257,0.006,0.005,-13.0,,-0.003,0.6,0.8,0.107,0.3,,,,,,,,,3.4,,0.138,0.019,
7,SCJ,1,2021,132.9,0.6,7.0,,0.004,0.001,-29,58,98.0,1.2,34,8071,,,,,,0.255,,,0.3,0.6,0.5,0.296,4086.0,0.066,0.057,0.008,2.0,0.5,5.9,0.4,3.9,-272,0.005,0.018,-69.0,,-0.111,0.5,0.8,0.057,0.2,,,,,,,,,2.9,,0.024,-0.333,
8,SCJ,4,2020,109.2,0.2,6.9,,0.002,0.001,57,71,47.0,1.2,26,12104,,,,,,0.286,,,0.4,1.3,1.0,-0.902,3991.0,0.149,0.139,,1.9,0.6,5.9,0.4,3.5,126,0.006,0.016,81.0,6.4,0.0,0.5,,0.139,0.1,,,,,,,,,2.5,,0.196,-0.008,
9,SCJ,3,2020,8.7,0.2,8.1,,0.022,0.006,39,84,70.0,1.2,272,12204,,,,,,0.288,,,0.4,1.2,0.9,-0.199,3337.0,0.133,0.119,0.016,1.9,0.5,6.8,0.4,3.5,78,0.003,0.009,53.0,9.3,0.043,0.4,0.8,0.119,0.2,,,,,,,,,2.5,,-0.103,-0.014,
