,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SD7,4,2018,89.6,0.7,1.6,,0.007,0.003,1154,435,960.0,,84,11317,,,,,,0.478,,,0.9,1.6,1.3,2.238,2105.0,0.33,0.238,0.156,0.0,0.0,1.2,,2.1,71,0.001,0.004,628.0,0.3,0.0,0.2,1.0,0.238,0.7,,,,,,,,,1.1,,0.055,0.037,
1,SD7,3,2018,126.0,0.3,2.2,,0.002,0.001,641,230,281.0,,26,10914,,,,,,0.36,,,0.6,1.3,1.0,-0.95,1995.0,,,,0.1,0.0,2.8,,2.8,51,0.016,0.048,589.0,0.6,0.0,0.3,1.0,,1.3,,,,,,,,,1.8,,-0.378,-0.016,
2,SD7,2,2018,7.3,0.3,1.3,,0.045,0.013,392,220,341.0,24.0,519,11088,,,,,,0.332,,,0.5,1.2,1.0,183.841,3209.0,0.732,0.67,0.015,0.2,0.1,2.0,,3.0,53,0.014,0.051,271.0,0.9,0.0,0.5,1.0,0.67,0.0,,,,,,,,,2.0,,1.378,0.004,
3,SD7,1,2018,1102.5,0.3,4.5,,0.0,0.0,409,216,307.0,-1.0,2,11048,,,,,,0.306,,,0.4,1.1,0.9,-0.194,1349.0,0.059,-0.114,-0.205,0.4,0.1,6.2,,3.3,33,0.127,0.468,317.0,0.9,0.0,0.4,1.0,-0.114,1.8,,,,,,,,,2.3,,0.241,-0.143,
4,SD7,4,2017,1061.0,0.3,11.9,,0.0,0.0,474,207,369.0,1.3,3,12896,,,,,,0.33,,,0.5,1.1,1.0,-1.0,1087.0,0.076,0.056,0.039,0.4,0.1,8.1,,3.0,40,0.007,0.034,312.0,0.8,0.0,0.4,1.0,0.056,0.7,,,,,,,,,2.0,,9.7,-0.002,
5,SD7,3,2017,-0.3,0.2,144.0,,-0.619,-0.135,446,253,519.0,5.4,-11816,12922,,,,,,0.281,,,0.4,1.1,0.9,-0.141,102.0,0.174,0.147,0.043,0.8,0.2,346.4,,3.6,41,0.008,0.024,179.0,0.8,0.0,0.2,1.0,0.147,0.3,,,,,,,,,2.6,,-1.082,0.056,
6,SD7,2,2017,-0.3,0.3,-11.2,,-0.662,-0.143,592,480,551.0,-0.9,-13760,12232,,,,,,0.251,,,0.3,1.1,0.7,-0.248,-1233.0,0.207,-0.179,-0.438,0.9,0.2,-31.1,,4.0,29,0.002,0.007,522.0,0.6,0.0,0.2,1.0,-0.179,2.4,,,,,,,,,3.0,,3.227,-0.038,
7,SD7,1,2017,-0.3,0.4,-53.1,,-0.77,-0.18,459,447,978.0,-1.5,-18293,12709,,,,,,0.273,,,0.4,1.2,0.7,-0.015,-292.0,-0.444,-0.805,-0.337,1.0,0.3,-136.4,,3.7,61,0.006,0.022,-72.0,0.8,-0.086,0.2,1.0,-0.805,0.4,,,,,,,,,2.7,,-1.129,-0.041,
8,SD7,4,2016,-0.3,0.4,8.0,,-0.798,-0.174,364,346,820.0,-1.9,-18574,13246,,,,,,0.275,,,0.4,1.1,0.7,1.686,2259.0,0.066,-0.058,-1.177,1.0,0.3,19.4,,3.6,51,0.01,0.033,-110.0,1.0,-0.085,0.3,1.0,-0.058,20.3,,,,,,,,,2.6,,-0.599,-0.476,
9,SD7,3,2016,-0.8,0.2,12.3,,-0.238,-0.046,231,320,897.0,-0.3,-6915,25284,,,,,,0.197,,,0.3,1.0,0.7,0.097,5631.0,0.24,-0.082,-0.519,2.1,0.5,12.4,0.4,5.1,-4,0.025,0.149,-346.0,1.6,-0.084,0.3,1.2,-0.082,7.5,,,,,,,,,3.6,,-0.331,-0.139,
10,SD7,2,2016,-1.2,0.2,8.9,,-0.2,-0.038,177,258,353.0,-0.1,-6307,29353,,,,,,0.204,,,0.4,0.9,0.6,1.817,8417.0,0.259,-0.017,-0.813,1.7,0.5,8.7,0.6,4.9,-40,0.042,0.309,82.0,2.1,-0.09,0.3,1.0,-0.017,50.2,,,,,,,,,2.7,,-0.233,-0.156,
11,SD7,1,2016,-3.9,0.3,6.6,,-0.065,-0.013,142,220,186.0,0.8,-2238,34774,,,,,,0.221,,,0.4,1.0,0.6,0.419,10974.0,0.182,0.125,-0.051,1.5,0.4,6.8,0.6,4.5,-16,0.06,0.334,176.0,2.6,-0.05,0.4,1.2,0.125,-0.5,,,,,,,,,2.5,,-0.226,0.044,
12,SD7,4,2015,-6.1,0.3,6.2,,-0.047,-0.009,147,198,163.0,1.2,-1577,33320,,,,,,0.201,,,0.3,1.0,0.6,-0.279,14185.0,0.136,0.084,0.009,1.6,0.4,5.8,0.7,5.0,-42,0.017,0.097,182.0,2.5,-0.063,0.4,0.9,0.084,0.1,,,,,,,,,2.9,,0.082,0.018,
13,SD7,3,2015,-5.0,0.3,6.7,,-0.065,-0.012,126,209,131.0,0.7,-2187,32746,,,,,,0.188,,,0.3,0.9,0.5,1.347,13113.0,0.12,0.06,-0.052,1.6,0.4,6.4,0.7,5.3,-62,0.07,0.39,204.0,2.9,-0.041,0.5,1.2,0.06,-1.0,,,,,,,,,3.1,,-0.011,-0.027,
14,SD7,2,2015,-10.5,0.3,6.7,,-0.027,-0.005,138,238,125.0,1.0,-932,33646,,,,,,0.182,,,0.3,0.9,0.5,-2.834,13263.0,0.145,0.083,-0.043,1.6,0.4,6.4,0.7,5.5,-73,0.069,0.382,251.0,2.6,-0.098,0.4,1.1,0.083,-0.6,,,,,,,,,3.1,,0.152,0.477,
15,SD7,1,2015,20.5,0.5,8.9,,0.015,0.003,149,261,142.0,1.4,508,22777,,,,,,0.121,,,0.2,0.9,0.5,-0.255,11516.0,0.212,0.143,0.011,2.1,0.4,7.3,0.8,8.2,-87,0.127,0.436,268.0,2.4,-0.126,0.4,2.2,0.143,0.2,,,,,,,,,4.2,,0.309,0.0,
16,SD7,4,2014,,,10.9,,0.02,0.004,166,254,170.0,1.0,681,22776,,,,,,0.122,,,0.2,0.9,0.5,-0.561,8799.0,0.119,0.069,-0.017,2.1,0.4,9.6,0.8,8.2,-90,0.098,0.35,250.0,2.2,-0.184,0.4,0.9,0.069,-0.2,,,,,,,,,4.1,,-0.01,-0.028,
