,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SDG,4,2022,4.2,0.5,8.5,,0.113,0.037,25,45,21,1.9,3424,31609,,,,,,0.326,,,1.0,1.3,0.9,-0.254,7647,0.083,0.029,0.012,0.6,0.3,4.0,75.4,3.1,116,0.031,0.105,48,14.9,-0.149,1.6,0.8,0.029,0.5,,,,,,,,,1.0,,-0.303,0.015,
1,SDG,3,2022,4.4,0.6,6.6,,0.157,0.048,22,54,15,5.4,4591,31128,,,,,,0.309,,,0.9,1.2,0.8,1.272,10975,0.13,0.071,0.029,0.7,0.4,3.4,76.4,3.2,125,0.034,0.077,60,16.8,-0.077,1.6,0.5,0.071,0.9,,,,,,,,,1.1,,0.918,0.039,
2,SDG,2,2022,12.1,0.8,11.2,,0.069,0.021,20,55,19,4.7,2020,29965,,,,,,0.312,,,0.9,1.2,0.8,-0.289,5723,0.115,0.057,0.031,0.7,0.3,6.4,94.3,3.2,99,0.058,0.15,56,18.4,-0.05,1.4,0.6,0.057,0.9,,,,,,,,,1.1,,-0.27,-0.02,
3,SDG,1,2022,9.5,0.9,8.8,,0.095,0.032,24,42,15,3.8,2842,30570,,,,,,0.33,,,1.1,1.3,0.9,0.698,7837,0.108,0.043,0.017,0.6,0.3,3.8,47.2,3.0,108,0.02,0.04,51,15.2,-0.076,1.5,0.5,0.043,0.8,,,,,,,,,1.0,,0.014,0.048,
4,SDG,4,2021,15.4,0.9,12.4,,0.061,0.019,19,43,11,9.5,1674,29184,,,,,,0.323,,,1.1,1.2,0.8,0.01,7731,0.176,0.109,0.04,0.7,0.3,4.6,28.3,3.1,93,0.025,0.04,51,19.0,-0.057,1.5,0.4,0.109,0.9,,,,,,,,,0.9,,1.041,0.064,
5,SDG,3,2021,22.5,1.4,24.5,,0.063,0.02,13,43,7,-4.5,1658,27421,,,,,,0.297,,,0.8,1.1,0.7,-0.62,3787,,,,0.9,0.4,9.8,45.5,3.4,62,0.015,0.024,49,28.1,-0.056,1.6,,,1.1,,,,,,,,,1.2,,-0.658,-0.049,
6,SDG,2,2021,7.1,1.1,9.5,,0.16,0.051,9,37,6,5.7,4363,28830,,,,,,0.304,,,0.9,1.1,0.8,-0.179,11083,0.122,0.066,0.044,0.9,0.4,3.5,56.9,3.3,44,0.037,0.046,40,40.0,-0.109,1.9,0.7,0.066,1.0,,,,,,,,,1.1,,-0.219,-0.008,
7,SDG,1,2021,8.0,1.5,7.1,,0.204,0.066,13,30,6,-2.2,5313,29072,,,,,,0.344,,,1.2,1.2,0.9,-0.177,14194,0.037,,,0.7,0.4,2.5,27.9,2.9,75,0.025,0.03,37,27.8,-0.087,2.0,,,1.4,,,,,,,,,0.9,,-0.312,0.113,
8,SDG,4,2020,5.8,1.4,5.4,,0.265,0.089,9,29,5,2.9,6454,26122,,,,,,0.316,,,1.1,1.1,0.8,0.259,20636,0.108,0.026,0.037,0.7,0.4,1.7,22.7,3.2,49,0.053,0.064,32,42.0,-0.091,2.3,0.8,0.026,1.7,,,,,,,,,0.9,,-0.06,0.022,
9,SDG,3,2020,3.4,0.7,5.1,,0.216,0.074,5,28,6,5.9,5125,25561,,,,,,0.332,,,1.3,1.1,0.8,-0.047,21964,0.146,0.066,0.033,0.6,0.3,0.9,12.4,3.0,36,0.031,0.037,27,66.7,-0.09,2.2,0.5,0.066,1.0,,,,,,,,,0.8,,-0.026,-0.004,
