,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SED,4,2022,4.3,0.6,3.2,,0.138,0.077,69,116,38,9.8,4088,30556,,,,,,0.575,,,1.4,1.8,0.8,-0.313,5544,0.358,0.116,0.066,0.2,0.1,1.4,,1.7,171,0.215,0.378,147,5.3,-0.027,1.8,0.6,0.116,0.9,,,,,,,,,0.7,,-0.3,0.024,
1,SED,3,2022,3.4,0.7,2.4,,0.206,0.076,48,96,92,18.5,5950,29853,,,,,,0.399,,,0.7,1.4,0.8,-0.004,7923,0.226,0.053,0.037,0.2,0.1,1.2,11.4,2.5,167,0.185,0.291,52,7.7,-0.032,1.8,0.8,0.053,0.9,,,,,,,,,1.5,,0.015,0.054,
2,SED,2,2022,3.5,0.7,3.1,,0.219,0.072,49,145,112,10.5,5974,28316,,,,,,0.3,,,0.4,1.3,0.6,0.006,7807,0.229,0.047,0.034,0.5,0.2,1.6,23.2,3.3,153,0.239,0.37,82,7.5,-0.291,1.4,0.8,0.047,0.9,,,,,,,,,2.3,,-0.016,-0.007,
3,SED,1,2022,3.8,0.8,3.3,,0.216,0.101,54,133,54,8.8,5941,28507,,,,,,0.415,,,0.7,1.4,0.4,0.001,7932,0.395,0.103,0.073,0.4,0.2,1.3,18.9,2.4,154,0.139,0.194,132,6.8,-0.14,1.9,0.8,0.103,0.9,,,,,,,,,1.4,,-0.003,-0.006,
4,SED,4,2021,3.6,0.7,3.3,,0.215,0.124,57,87,32,10.2,5936,28669,,,,,,0.535,,,1.1,1.8,0.8,0.571,7956,0.245,0.076,0.051,0.4,0.2,1.0,7.5,1.9,172,0.251,0.3,112,6.4,-0.128,2.4,0.7,0.076,0.9,,,,,,,,,0.9,,0.735,0.027,
5,SED,3,2021,5.3,0.7,5.9,,0.14,0.057,89,162,113,22.2,3779,27914,,,,,,0.345,,,0.5,1.3,0.8,-0.145,4585,0.271,0.086,0.066,0.5,0.2,1.9,9.2,2.9,166,0.337,0.376,139,4.1,-0.025,1.0,0.8,0.086,1.0,,,,,,,,,1.9,,-0.182,0.059,
6,SED,2,2021,3.6,0.6,5.1,,0.175,0.069,73,175,105,19.8,4419,26353,,,,,,0.366,,,0.6,1.3,0.7,0.05,5605,0.278,0.062,0.041,0.5,0.2,2.3,13.7,2.7,145,0.194,0.225,144,5.0,-0.659,1.2,0.7,0.062,0.9,,,,,,,,,1.7,,0.054,-0.005,
7,SED,1,2021,3.9,0.6,3.4,,0.17,0.091,85,174,75,6.6,4207,26477,,,,,,0.542,,,1.2,1.8,0.8,0.036,5318,0.373,0.102,0.07,0.4,0.2,1.8,5.6,1.8,152,0.296,0.475,184,4.3,-0.036,1.4,0.8,0.102,0.8,,,,,,,,,0.8,,0.017,-0.006,
8,SED,4,2020,3.6,0.5,3.3,,0.154,0.094,96,135,37,-0.5,4061,26632,,,,,,0.631,,,1.7,2.2,1.0,0.074,5230,,0.026,0.066,0.3,0.2,1.6,3.0,1.6,157,0.323,0.486,195,3.8,-0.041,1.5,0.7,0.026,3.6,,,,,,,,,0.6,,0.022,0.016,
9,SED,3,2020,3.3,0.5,3.3,,0.144,0.075,103,151,60,5.7,3780,26223,,,,,,0.513,,,1.1,1.6,0.9,0.838,5118,0.304,0.094,0.066,0.2,0.1,0.9,,2.0,145,0.156,0.23,194,3.6,-0.119,1.2,0.8,0.094,0.9,,,,,,,,,1.0,,0.687,0.092,
