,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SFI,4,2022,3.6,1.0,3.7,,0.311,0.219,71,6.0,51,,9769,35019,,,,,,0.751,,,3.1,2.5,2.4,-0.234,8744.0,0.14,0.072,0.057,0.0,0.0,0.0,,1.3,386,0.204,0.203,26.0,5.1,0.004,1.8,0.7,0.072,1.1,,,,,,,,,0.3,,-0.079,-0.002,
1,SFI,3,2022,3.0,1.1,3.7,,0.432,0.314,55,11.0,39,,12745,35078,,,,,,0.7,,,2.4,2.2,1.9,0.132,9495.0,0.155,0.088,0.144,0.0,0.0,0.0,,1.4,382,0.185,0.177,27.0,6.6,-0.272,2.2,0.8,0.088,2.0,,,,,,,,,0.4,,-0.103,0.07,
2,SFI,2,2022,3.3,1.2,3.5,,0.404,0.289,46,6.0,40,155569115.5,11264,32773,,,,,,0.711,,,2.5,2.0,1.8,0.155,10587.0,0.129,0.087,0.175,0.0,0.0,0.0,,1.4,292,0.201,0.199,11.0,8.0,-0.164,2.3,0.8,0.087,2.5,,,,,,,,,0.4,,-0.048,0.066,
3,SFI,1,2022,5.0,1.6,3.8,,0.365,0.25,56,0.0,45,24460.2,9753,30733,,,,,,0.686,,,2.2,2.4,2.4,0.246,11122.0,0.131,0.08,0.127,0.0,0.0,0.0,,1.5,418,0.432,0.315,11.0,6.5,-0.004,2.3,0.8,0.08,2.0,,,,,,,,,0.5,,0.106,0.102,
4,SFI,4,2021,5.4,1.5,6.4,,0.316,0.211,47,0.0,52,7237.7,7827,27895,,,,,,0.655,,,1.9,2.0,2.0,0.798,10060.0,0.125,0.075,0.133,0.0,0.0,0.0,,1.5,312,0.325,0.178,-5.0,7.8,0.0,2.3,0.8,0.075,2.2,,,,,,,,,0.5,,0.28,0.169,
5,SFI,3,2021,7.4,1.3,6.7,,0.195,0.149,45,0.0,35,,4353,23866,,,,,,0.769,,,3.4,2.4,2.4,-0.098,7858.0,0.118,0.062,0.057,0.0,0.0,0.0,,1.3,219,0.258,0.143,9.0,8.2,0.0,2.4,0.8,0.062,1.1,,,,,,,,,0.3,,-0.048,0.037,
6,SFI,2,2021,5.1,1.1,6.0,,0.215,0.163,49,0.0,38,,4825,23005,,,,,,0.721,,,2.6,2.0,2.0,0.117,8258.0,0.136,0.095,0.091,0.0,0.0,0.0,,1.4,197,0.301,0.169,12.0,7.4,-0.103,2.4,0.8,0.095,1.2,,,,,,,,,0.4,,0.134,0.015,
7,SFI,1,2021,5.7,1.1,4.8,,0.2,0.146,52,0.0,49,,4321,22654,,,,,,0.681,,,2.1,1.8,1.8,0.177,7282.0,0.123,0.062,0.052,0.0,0.0,0.0,,1.5,186,0.268,0.203,3.0,7.1,-0.04,2.1,0.8,0.062,1.0,,,,,,,,,0.5,,0.063,0.043,
8,SFI,4,2020,5.3,0.9,4.0,,0.176,0.13,52,1.0,50,,3672,21711,,,,,,0.688,,,2.2,1.8,1.8,0.188,6848.0,0.111,0.033,0.045,0.0,0.0,0.0,,1.5,162,0.283,0.27,4.0,7.0,-0.039,2.0,0.9,0.033,1.6,,,,,,,,,0.4,,-0.013,0.042,
9,SFI,3,2020,3.9,0.6,3.7,,0.152,0.117,59,0.0,47,180170.2,3091,20839,,,,,,0.755,,,3.1,2.1,2.1,0.434,6941.0,0.146,0.077,0.096,0.0,0.0,0.0,,1.3,165,0.22,0.212,12.0,6.2,0.034,1.8,0.8,0.077,1.5,,,,,,,,,0.3,,0.127,-0.045,
