,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SGH,4,2022,46.3,2.3,174.5,,0.051,0.047,1874,6,7.0,,723,14408,,,,,,0.905,,,9.5,10.2,10.2,0.367,190.0,0.418,0.183,0.329,0.0,0.0,0.0,,1.1,150,0.632,0.272,1874.0,0.2,0.0,0.1,0.8,0.183,2.2,,,,,,,,,0.1,,-3.239,0.016,
1,SGH,3,2022,56.5,2.1,-832.2,,0.038,0.034,2643,7,14.0,,529,14181,,,,,,0.907,,,9.8,10.5,10.4,-0.001,-85.0,0.439,0.232,0.391,0.0,0.0,0.0,,1.1,147,0.023,0.005,2637.0,0.1,0.0,0.1,0.8,0.232,2.1,,,,,,,,,0.1,,0.199,0.016,
2,SGH,2,2022,52.8,2.0,-377.3,,0.039,0.036,2372,7,6.0,,529,13952,,,,,,0.914,,,10.7,11.4,11.4,0.209,-71.0,0.223,,0.193,0.0,0.0,0.0,,1.1,142,0.027,0.014,2373.0,0.2,0.003,0.1,0.7,,-3.2,,,,,,,,,0.1,,-0.632,0.007,
3,SGH,1,2022,91.3,2.9,-142.4,,0.032,0.03,2737,8,8.0,,438,13856,,,,,,0.924,,,12.2,13.1,13.1,0.224,-193.0,0.082,,0.321,0.0,0.0,0.0,,1.1,141,0.019,0.01,2737.0,0.1,0.0,0.1,0.9,,-1.2,,,,,,,,,0.1,,-0.307,0.006,
4,SGH,4,2021,153.7,4.0,-131.9,,0.026,0.024,2767,7,6.0,,357,13770,,,,,,0.921,,,11.7,12.3,12.3,-0.125,-278.0,,,0.628,0.0,0.0,0.0,,1.1,139,0.004,0.002,2769.0,0.1,0.0,0.1,1.3,,-0.4,,,,,,,,,0.1,,0.418,-0.002,
5,SGH,3,2021,91.9,2.7,,,0.03,0.028,2314,7,11.0,,409,13791,,,,,,0.903,,,9.3,9.6,9.6,1.127,-196.0,0.482,0.215,0.334,0.0,0.0,0.0,,1.1,139,0.024,,2310.0,0.2,0.0,0.1,0.8,0.215,2.0,,,,,,,,,0.1,,-0.618,0.021,
6,SGH,2,2021,212.6,3.0,-106.7,,0.014,0.013,3462,9,4.0,,192,13508,,,,,,0.928,,,13.0,13.2,13.2,0.367,-514.0,,,0.018,0.0,0.0,0.0,,1.1,133,0.013,0.003,3467.0,0.1,-0.003,0.1,0.7,,0.0,,,,,,,,,0.1,,-0.135,0.0,
7,SGH,1,2021,289.3,3.0,-58.8,,0.01,0.01,4038,10,9.0,,140,13503,,,,,,0.934,,,14.1,14.2,14.2,-0.639,-594.0,,,0.023,0.0,0.0,0.0,,1.1,133,0.015,0.006,4039.0,0.1,0.0,0.1,0.7,,0.0,,,,,,,,,0.1,,0.907,-0.002,
8,SGH,4,2020,143.5,4.1,-176.0,,0.028,0.026,2775,9,12.0,,389,13532,,,,,,0.932,,,13.7,13.7,13.6,-0.373,-312.0,0.13,,0.314,0.0,0.0,0.0,,1.1,133,0.013,0.003,2773.0,0.1,0.0,0.1,0.9,,-2.8,,,,,,,,,0.1,,-3.297,0.009,
9,SGH,3,2020,59.6,2.8,333.6,,0.046,0.043,1725,7,6.0,,621,13416,,,,,,0.928,,,12.9,12.7,12.7,-0.33,136.0,,,0.23,0.0,0.0,0.0,,1.1,131,0.011,0.003,1725.0,0.2,-0.001,0.2,1.1,,-0.4,,,,,,,,,0.1,,-0.762,-0.048,
