,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SGS,4,2022,4.0,0.8,2.7,,0.21,0.17,204,1,25,213.3,3087,16093,,,,,,0.813,,,5.4,5.8,5.8,0.0,3883.0,0.2,0.105,0.112,0.0,0.0,0.0,0.5,1.2,166,0.077,0.103,181,1.8,-0.063,1.0,0.7,0.105,1.4,,,,,,,,,0.2,,0.028,0.023,
1,SGS,3,2022,4.3,0.8,3.1,,0.216,0.169,209,2,32,1118.4,3085,15736,,,,,,0.788,,,4.5,4.8,4.8,0.136,3777.0,0.274,0.225,0.181,0.0,0.0,0.0,0.1,1.3,159,0.175,0.207,179,1.7,-0.06,0.9,0.8,0.225,1.0,,,,,,,,,0.2,,0.133,0.054,
2,SGS,2,2022,6.1,1.1,3.2,,0.199,0.153,220,2,40,,2716,14936,,,,,,0.798,,,4.9,5.0,5.0,0.245,3333.0,0.315,0.273,0.237,0.0,0.0,0.0,,1.3,148,0.24,0.27,182,1.7,-0.021,0.8,0.8,0.273,1.1,,,,,,,,,0.2,,0.206,0.069,
3,SGS,1,2022,8.5,1.3,4.9,,0.158,0.129,239,2,30,,2181,13978,,,,,,0.82,,,5.9,5.9,5.9,0.102,2763.0,0.248,0.199,0.165,0.0,0.0,0.0,,1.2,131,0.164,0.156,211,1.5,-0.013,0.8,0.8,0.199,1.1,,,,,,,,,0.2,,0.096,0.046,
4,SGS,4,2021,8.9,1.3,6.4,,0.149,0.121,221,2,29,,1979,13362,,,,,,0.808,,,5.4,5.2,5.2,0.005,2521.0,0.215,0.124,0.158,0.0,0.0,0.0,,1.2,120,0.141,0.11,194,1.6,-0.013,0.8,0.8,0.124,1.5,,,,,,,,,0.2,,-0.042,0.036,
5,SGS,3,2021,9.2,1.4,6.0,,0.153,0.12,203,1,28,,1970,12894,,,,,,0.777,,,4.3,4.1,4.1,0.061,2632.0,0.28,0.223,0.173,0.0,0.0,0.0,,1.3,112,0.173,0.132,176,1.8,-1.322,0.9,0.8,0.223,1.0,,,,,,,,,0.2,,0.145,0.04,
6,SGS,2,2021,8.4,1.3,7.0,,0.141,0.11,219,2,30,,1857,12404,,,,,,0.742,,,3.5,3.3,3.3,-0.029,2299.0,0.264,0.201,0.162,0.0,0.0,0.0,,1.3,105,0.248,0.172,191,1.7,-1.275,0.8,0.8,0.201,1.1,,,,,,,,,0.3,,0.068,-0.09,
7,SGS,1,2021,8.6,1.2,7.6,,0.142,0.114,241,2,38,,1913,13632,,,,,,0.819,,,5.6,5.4,5.4,-0.095,2152.0,0.188,0.134,0.113,0.0,0.0,0.0,,1.2,120,0.15,0.112,205,1.5,-1.249,0.8,0.8,0.134,1.1,,,,,,,,,0.2,,-0.059,0.033,
8,SGS,4,2020,7.3,1.2,6.1,,0.163,0.13,233,2,36,,2113,13196,,,,,,0.821,,,5.7,5.3,5.3,0.029,2285.0,0.194,0.077,0.102,0.0,0.0,0.0,,1.2,112,0.136,0.128,200,1.6,-1.31,0.8,1.1,0.077,1.2,,,,,,,,,0.2,,0.085,0.022,
9,SGS,3,2020,7.3,1.2,6.6,,0.163,0.127,288,3,55,,2054,12910,,,,,,0.793,,,4.7,5.2,5.2,0.044,2107.0,0.253,0.181,0.199,0.0,0.0,0.0,,1.3,127,0.082,0.076,237,1.3,-0.28,0.7,0.8,0.181,1.4,,,,,,,,,0.2,,0.037,-0.068,
