,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SHA,4,2022,7.5,0.3,8.9,,0.045,0.018,62,149,42,1.1,542,12002,,,,,,0.387,,,0.6,1.3,0.6,-0.23,1958,0.139,0.042,0.015,1.2,0.5,7.3,312.6,2.6,183,0.108,0.321,168,5.9,-0.166,1.1,0.9,0.042,0.4,,,,,,,,,1.6,,-0.075,0.01,
1,SHA,3,2022,6.9,0.4,8.5,,0.06,0.023,62,136,39,1.5,704,11882,,,,,,0.366,,,0.6,1.3,0.7,0.289,2118,0.134,0.043,0.016,1.3,0.5,6.8,268.3,2.7,177,0.13,0.38,159,5.9,-0.201,1.1,0.9,0.043,0.4,,,,,,,,,1.7,,0.152,0.012,
2,SHA,2,2022,8.8,0.4,9.7,,0.047,0.019,68,144,28,1.4,546,11743,,,,,,0.378,,,0.6,1.3,0.6,-0.016,1839,0.133,0.041,0.017,1.3,0.5,7.8,230.1,2.6,177,0.125,0.345,183,5.4,-0.152,1.0,0.9,0.041,0.5,,,,,,,,,1.6,,0.041,-0.031,
3,SHA,1,2022,13.5,0.6,10.6,,0.047,0.02,68,136,25,1.6,555,12121,,,,,,0.407,,,0.7,1.3,0.7,0.038,1768,0.13,0.039,0.019,1.2,0.5,7.5,351.3,2.5,183,0.103,0.229,178,5.4,-0.224,1.1,0.9,0.039,0.5,,,,,,,,,1.5,,0.034,0.013,
4,SHA,4,2021,14.9,0.7,11.0,,0.046,0.019,79,143,40,2.4,535,11969,,,,,,0.389,,,0.6,1.3,0.7,-0.058,1710,0.152,0.06,0.035,1.1,0.4,7.8,91.4,2.6,188,0.113,0.181,182,4.6,-0.276,1.0,0.9,0.06,0.7,,,,,,,,,1.6,,-0.16,0.024,
5,SHA,3,2021,13.5,0.7,9.9,,0.05,0.022,80,137,24,0.6,568,11687,,,,,,0.416,,,0.7,1.4,0.8,-0.259,2036,0.115,0.021,,1.1,0.5,6.4,83.6,2.4,195,0.174,0.262,192,4.6,-0.366,1.1,,0.021,-0.3,,,,,,,,,1.4,,-0.067,-0.002,
6,SHA,2,2021,8.1,0.5,8.7,,0.068,0.029,75,130,22,1.3,767,11706,,,,,,0.426,,,0.7,1.4,0.8,-0.014,2184,0.119,0.032,0.017,1.1,0.5,6.1,53.0,2.3,193,0.305,0.443,183,4.9,-0.365,1.1,0.8,0.032,0.6,,,,,,,,,1.3,,-0.016,0.011,
7,SHA,1,2021,7.5,0.5,7.0,,0.069,0.03,77,136,27,1.6,778,11583,,,,,,0.443,,,0.8,1.4,0.8,0.018,2218,0.146,0.048,0.023,1.0,0.5,5.8,50.3,2.3,191,0.277,0.561,185,4.8,-0.279,1.1,0.9,0.048,0.5,,,,,,,,,1.3,,-0.057,0.011,
8,SHA,4,2020,5.5,0.4,7.2,,0.068,0.03,79,129,23,2.7,764,11461,,,,,,0.432,,,0.8,1.4,0.9,-0.021,2353,0.146,0.065,0.037,1.1,0.5,5.6,42.4,2.3,212,0.319,0.618,185,4.6,-0.175,1.1,0.9,0.065,0.6,,,,,,,,,1.3,,0.129,0.028,
9,SHA,3,2020,4.8,0.3,7.5,,0.072,0.033,76,132,21,2.0,781,11146,,,,,,0.45,,,0.8,1.5,0.8,-0.059,2084,0.154,0.054,0.027,1.0,0.5,5.9,51.0,2.2,214,0.188,0.488,188,4.8,-0.03,1.2,0.9,0.054,0.6,,,,,,,,,1.2,,-0.07,0.016,
