,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SID,4,2022,9.2,0.3,-32.1,,0.034,0.032,2005,18,9,,790,23447,,,,,,0.944,,,17.1,21.0,21.0,0.028,-111,0.66,,0.996,0.0,0.0,0.0,,1.1,416,0.033,0.106,2014,0.2,-0.052,0.0,1.0,,-5.4,,,,,,,,,0.1,,3.391,0.009,
1,SID,3,2022,14.3,0.5,-160.1,,0.034,0.032,1883,17,13,,769,23238,,,,,,0.94,,,15.7,14.3,14.3,0.761,-25,0.565,,1.294,0.0,0.0,0.0,,1.1,413,0.161,0.481,1888,0.2,-0.081,0.0,1.0,,-4.5,,,,,,,,,0.1,,0.847,0.008,
2,SID,2,2022,26.6,0.5,-438.0,,0.019,0.018,1961,20,13,,436,23049,,,,,,0.942,,,16.4,17.7,17.7,0.317,-14,0.617,,1.229,0.0,0.0,0.0,,1.1,399,0.14,0.35,1968,0.2,-0.056,0.0,0.9,,-7.1,,,,,,,,,0.1,,-1.201,0.009,
3,SID,1,2022,50.1,0.7,121.1,,0.015,0.014,1943,16,17,,331,22833,,,,,,0.942,,,16.6,20.6,20.6,0.112,68,0.653,0.048,0.808,0.0,0.0,0.0,,1.1,408,0.143,0.284,1942,0.2,-0.052,0.0,1.0,0.048,17.1,,,,,,,,,0.1,,56.923,0.008,
4,SID,4,2021,63.0,0.8,12429.9,,0.013,0.012,2005,15,10,,298,22645,,,,,,0.942,,,16.6,22.1,22.0,0.063,1,0.789,0.188,0.785,0.0,0.0,0.0,,1.1,401,0.129,0.168,2010,0.2,-0.064,0.0,1.0,0.188,4.1,,,,,,,,,0.1,,-0.838,0.008,
5,SID,3,2021,53.1,0.7,2120.5,,0.013,0.012,1784,17,13,,280,22469,,,,,,0.939,,,15.7,15.4,15.4,-0.501,7,0.508,,,0.0,0.0,0.0,,1.1,384,0.126,0.155,1787,0.2,-0.058,0.0,,,2.9,,,,,,,,,0.1,,-0.69,-0.005,
6,SID,2,2021,24.2,0.6,586.0,,0.025,0.024,1679,17,12,,562,22588,,,,,,0.941,,,16.2,17.3,17.2,0.072,23,0.737,0.213,0.424,0.0,0.0,0.0,,1.1,384,0.127,0.173,1684,0.2,-0.043,0.0,0.8,0.213,2.4,,,,,,,,,0.1,,-1.408,0.005,
7,SID,1,2021,29.0,0.7,-206.6,,0.024,0.022,2016,12,18,,524,22487,,,,,,0.942,,,16.6,23.9,23.8,-0.116,-57,0.519,,0.951,0.0,0.0,0.0,,1.1,443,0.131,0.2,2011,0.2,-0.061,0.0,1.0,,-2.3,,,,,,,,,0.1,,-1.668,0.009,
8,SID,4,2020,26.3,0.7,127.5,,0.027,0.025,1650,10,16,,593,22289,,,,,,0.939,,,15.8,14.6,14.6,0.001,86,0.79,0.055,0.557,0.0,0.0,0.0,,1.1,406,0.108,0.193,1644,0.2,-0.036,0.0,1.0,0.055,10.2,,,,,,,,,0.1,,0.3,0.008,
9,SID,3,2020,16.0,0.4,201.9,,0.027,0.026,1741,11,19,,593,22119,,,,,,0.94,,,16.0,15.7,15.7,-0.018,66,0.583,,0.995,0.0,0.0,0.0,,1.1,398,0.071,0.105,1733,0.2,-0.032,0.0,1.0,,-7.8,,,,,,,,,0.1,,-0.3,0.007,
10,SID,2,2020,15.6,0.4,83.6,,0.028,0.026,1709,10,13,,604,21958,,,,,,0.941,,,16.4,18.6,18.6,-0.091,95,0.541,,0.427,0.0,0.0,0.0,,1.1,392,0.051,0.124,1706,0.2,-0.04,0.0,0.9,,-2.3,,,,,,,,,0.1,,2.934,0.002,
11,SID,1,2020,13.8,0.4,279.4,,0.03,0.028,1678,8,15,,664,21903,,,,,,0.942,,,16.6,19.7,19.7,-0.01,24,0.701,0.209,0.792,0.0,0.0,0.0,,1.1,389,0.065,0.175,1671,0.2,-0.023,0.0,0.9,0.209,4.2,,,,,,,,,0.1,,0.397,0.009,
12,SID,4,2019,17.4,0.5,,,0.031,0.029,95,6,13,,671,21717,,,,,,0.938,,,15.6,14.7,14.6,0.038,17,0.768,0.094,0.51,0.0,0.0,0.0,,1.1,378,0.09,,88,3.8,-0.022,0.0,1.1,0.094,6.2,,,,,,,,,0.1,,1.003,0.008,
13,SID,3,2019,19.3,0.6,1085.6,,0.03,0.028,12,5,12,,647,21547,,,,,,0.94,,,16.4,22.7,22.7,-0.082,9,0.533,-0.173,1.035,0.0,0.0,0.0,,1.1,455,0.077,0.152,6,30.2,-0.013,0.1,1.0,-0.173,-5.9,,,,,,,,,0.1,,-0.377,0.008,
14,SID,2,2019,22.0,0.7,857.4,,0.034,0.03,161,4,9,,704,21373,,,,,,0.913,,,11.1,6.5,6.5,-0.244,14,0.25,-0.443,0.547,0.0,0.0,0.0,,1.1,449,0.07,0.114,156,2.3,0.325,0.1,1.0,-0.443,-1.2,,,,,,,,,0.1,,-0.888,-0.022,
15,SID,1,2019,16.5,0.7,109.4,,0.043,0.04,103,3,12,,931,21855,,,,,,0.92,,,12.3,8.6,8.6,0.113,124,0.534,0.106,0.563,0.0,0.0,0.0,,1.1,509,0.072,0.106,94,3.5,-0.036,0.1,1.1,0.106,5.9,,,,,,,,,0.1,,0.014,0.039,
16,SID,4,2018,23.0,0.9,112.9,,0.04,0.036,126,2,13,,837,21043,,,,,,0.912,,,10.9,7.7,7.7,-0.106,122,0.692,0.037,0.238,0.0,0.0,1.5,,1.1,549,0.07,0.093,116,2.9,-0.139,0.1,1.2,0.037,7.6,,,,,,,,,0.1,,-0.358,0.007,
17,SID,3,2018,16.6,0.7,77.8,,0.045,0.041,7,1,10,,937,20897,,,,,,0.916,,,11.6,8.6,8.6,-0.03,190,0.453,0.036,0.667,0.0,0.0,1.1,,1.1,533,0.112,0.139,-2,49.3,-0.045,0.1,1.1,0.036,20.0,,,,,,,,,0.1,,-0.182,0.011,
18,SID,2,2018,17.2,0.8,64.2,,0.047,0.041,88,1,33,-3.6,965,20666,,,,,,0.891,,,8.6,5.5,5.5,0.299,232,0.223,0.013,0.509,0.0,0.0,0.9,,1.1,528,0.062,0.081,56,4.1,0.279,0.1,1.1,0.013,41.2,,,,,,,,,0.1,,0.201,-0.018,
19,SID,1,2018,23.5,0.8,81.8,,0.035,0.032,82,2,40,11.6,743,21050,,,,,,0.915,,,11.5,10.3,10.3,-0.143,193,0.509,0.123,0.289,0.0,0.0,1.2,,1.1,546,0.033,0.042,43,4.5,-0.05,0.1,1.0,0.123,2.4,,,,,,,,,0.1,,-0.225,0.003,
