,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SIP,4,2022,8.2,2.5,7.5,,0.31,0.05,431,34,14,28.2,10118,32856,,,,,,0.157,,,0.2,4.6,4.3,0.106,11162,0.188,0.168,0.168,0.2,0.0,0.6,,6.3,6970,0.112,0.055,451,0.8,-0.996,0.3,0.6,0.168,1.6,,,,,,,,,4.2,,0.173,-0.111,
1,SIP,3,2022,11.9,2.9,9.4,,0.268,0.046,444,37,12,19.1,9148,36958,,,,,,0.18,,,0.2,4.5,4.2,0.032,9515,0.121,0.103,0.127,0.2,0.0,0.5,82.5,5.5,7129,0.175,0.077,469,0.8,-0.773,0.3,0.8,0.103,1.6,,,,,,,,,4.2,,-0.017,-0.001,
2,SIP,2,2022,11.4,2.7,12.4,,0.264,0.044,473,36,10,26.0,8863,37008,,,,,,0.178,,,0.2,4.1,3.9,-0.081,9675,0.13,0.113,0.159,0.3,0.1,0.8,263.0,5.6,7318,0.17,0.063,499,0.8,-0.883,0.3,0.8,0.113,1.8,,,,,,,,,4.3,,-0.095,0.047,
3,SIP,1,2022,13.6,3.7,12.7,,0.305,0.049,458,38,12,52.8,9647,35345,,,,,,0.172,,,0.2,4.7,4.5,0.052,10687,0.162,0.145,0.156,0.2,0.0,0.6,135.4,5.8,7699,0.239,0.075,485,0.8,-0.676,0.3,0.8,0.145,1.4,,,,,,,,,4.3,,0.067,0.09,
4,SIP,4,2021,15.0,4.2,12.7,,0.314,0.048,440,35,13,34.9,9167,32418,,,,,,0.166,,,0.2,5.7,5.4,-0.23,10017,0.088,0.069,0.106,0.1,0.0,0.5,40.8,6.0,7276,0.19,0.058,463,0.8,-0.603,0.3,0.8,0.069,2.0,,,,,,,,,4.4,,-0.187,0.038,
5,SIP,3,2021,11.1,4.2,12.4,,0.443,0.067,324,34,9,58.7,11899,31242,,,,,,0.161,,,0.2,5.8,5.5,-0.063,12322,0.137,0.116,0.146,0.1,0.0,0.3,24.8,6.2,7566,0.212,0.055,349,1.1,-2.521,0.4,0.7,0.116,1.7,,,,,,,,,4.2,,-0.124,0.033,
6,SIP,2,2021,11.3,4.7,12.4,,0.5,0.073,295,29,9,375.8,12700,30235,,,,,,0.158,,,0.2,5.6,5.4,-0.022,14067,0.197,0.183,0.197,0.1,0.0,0.4,40.0,6.3,7377,0.263,0.066,316,1.2,-2.48,0.4,0.8,0.183,1.4,,,,,,,,,4.3,,0.091,0.085,
7,SIP,1,2021,12.2,5.7,15.1,,0.57,0.078,298,31,12,55.0,12989,27861,,,,,,0.149,,,0.2,4.6,4.3,0.144,12900,0.123,0.104,0.14,0.1,0.0,0.4,,6.7,6673,0.168,0.036,317,1.2,-4.137,0.4,0.7,0.104,1.9,,,,,,,,,4.7,,0.099,0.07,
8,SIP,4,2020,12.7,5.5,14.9,,0.531,0.068,286,31,13,186.8,11359,26028,,,,,,0.141,,,0.2,4.7,4.5,0.457,11741,0.181,0.163,0.242,0.2,0.0,0.5,,7.1,6184,0.348,0.071,304,1.3,-4.818,0.3,0.8,0.163,2.0,,,,,,,,,5.0,,0.402,0.155,
9,SIP,3,2020,8.4,2.9,26.2,,0.406,0.051,242,31,12,37.6,7797,22528,,,,,,0.138,,,0.2,1.6,1.5,0.078,8376,0.118,0.1,0.193,0.1,0.0,0.4,,7.2,2723,0.53,0.073,261,1.5,-3.044,0.3,0.8,0.1,2.5,,,,,,,,,5.4,,-0.052,0.097,
10,SIP,2,2020,8.2,2.9,12.4,,0.418,0.05,192,31,9,47.4,7235,20544,,,,,,0.131,,,0.2,1.4,1.3,0.499,8836,0.118,0.161,0.324,0.2,0.0,0.5,,7.7,2150,0.226,0.066,214,1.9,-2.854,0.3,0.8,0.161,2.6,,,,,,,,,5.7,,0.338,0.158,
