,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SJE,4,2022,9.5,1.0,10.2,,0.11,0.031,11,99,50.0,1.2,2850,26572,,,,,,0.303,,,0.6,1.0,0.7,-0.106,7135.0,0.183,0.096,,1.4,0.5,6.5,0.5,3.3,14,0.096,0.112,59.0,32.9,-0.001,0.4,,0.096,0.1,,,,,,,,,1.8,,-0.057,-0.007,
1,SJE,3,2022,8.0,1.0,9.5,,0.123,0.034,16,110,44.0,2.3,3189,26750,,,,,,0.295,,,0.5,1.1,0.7,0.094,7568.0,0.286,0.221,0.099,1.4,0.5,6.4,0.4,3.4,42,0.107,0.132,82.0,22.4,0.0,0.4,0.8,0.221,0.6,,,,,,,,,1.9,,0.028,0.037,
2,SJE,2,2022,9.2,1.0,10.6,,0.116,0.031,10,134,74.0,1.3,2915,25792,,,,,,0.283,,,0.5,1.0,0.7,0.346,7359.0,0.278,0.136,0.08,1.5,0.5,6.7,0.5,3.5,10,0.037,0.04,70.0,37.7,-0.002,0.4,0.5,0.136,1.1,,,,,,,,,2.0,,0.025,0.007,
3,SJE,1,2022,11.9,1.0,12.5,,0.086,0.023,23,132,43.0,2.6,2166,25615,,,,,,0.272,,,0.5,1.1,0.7,0.119,7178.0,0.332,0.262,0.133,1.6,0.5,7.3,0.5,3.7,43,0.038,0.032,112.0,16.1,-0.001,0.4,0.9,0.262,0.6,,,,,,,,,2.1,,0.03,0.011,
4,SJE,4,2021,14.4,1.1,12.0,,0.078,0.02,35,140,68.0,1.5,1935,25335,,,,,,0.262,,,0.4,1.1,0.8,0.076,6972.0,0.286,0.192,0.02,1.7,0.5,7.7,0.4,3.8,41,0.129,0.134,107.0,10.4,0.0,0.3,0.3,0.192,0.4,,,,,,,,,2.2,,-0.13,0.006,
5,SJE,3,2021,10.2,0.7,11.2,,0.073,0.018,31,137,58.0,1.9,1799,25188,,,,,,0.262,,,0.4,1.0,0.8,0.332,8014.0,0.428,0.326,0.116,1.8,0.5,7.5,0.4,3.8,32,0.055,0.06,110.0,11.9,-0.004,0.4,0.8,0.326,0.5,,,,,,,,,2.2,,0.031,0.028,
6,SJE,2,2021,12.2,0.7,10.5,,0.056,0.014,14,134,97.0,1.1,1350,24504,,,,,,0.248,,,0.4,1.0,0.8,-0.163,7772.0,0.245,0.102,0.007,1.8,0.5,7.5,0.4,4.0,29,0.143,0.188,51.0,26.2,-0.011,0.4,0.3,0.102,0.2,,,,,,,,,2.4,,-0.029,-0.019,
7,SJE,1,2021,10.1,0.6,10.2,,0.065,0.016,30,152,72.0,2.0,1613,24975,,,,,,0.26,,,0.4,1.1,0.8,1.24,8004.0,0.472,0.366,0.165,1.8,0.6,7.4,0.4,3.8,54,0.061,0.104,110.0,12.0,-0.016,0.3,0.9,0.366,0.5,,,,,,,,,2.2,,0.13,0.038,
8,SJE,4,2020,25.6,0.8,12.0,,0.03,0.007,40,135,83.0,1.5,720,24062,,,,,,0.244,,,0.4,1.2,0.9,-0.666,7085.0,0.235,0.168,0.002,2.0,0.6,8.8,0.3,4.1,95,0.072,0.117,92.0,9.1,-0.02,0.3,0.1,0.168,0.2,,,,,,,,,2.4,,-0.217,-0.002,
9,SJE,3,2020,8.5,0.8,10.3,,0.092,0.021,5,212,165.0,1.4,2154,24114,,,,,,0.242,,,0.4,1.2,0.8,-0.064,9048.0,0.35,0.258,0.036,2.0,0.6,7.2,0.3,4.1,100,0.064,0.102,51.0,74.0,-0.017,0.3,0.6,0.258,0.2,,,,,,,,,2.5,,-0.014,0.01,
