,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SJF,4,2022,-31.4,0.3,-16.3,,-0.01,-0.007,902,102,170,-1.0,-101,10442,,,,,,0.789,,,4.0,3.6,3.3,-2.348,-299,,,0.077,0.1,0.1,-5.3,1.6,1.3,423,0.018,0.059,834,0.4,0.0,0.2,0.8,,-1.0,,,,,,,,,0.2,,0.125,0.003,
1,SJF,3,2022,71.8,0.5,-19.3,,0.007,0.005,289,55,134,1.1,75,10407,,,,,,0.745,,,3.1,2.9,2.7,-0.286,-266,0.055,0.036,0.072,0.2,0.1,-7.6,2.0,1.3,416,0.009,0.029,210,1.3,0.0,0.3,1.0,0.036,2.1,,,,,,,,,0.3,,-0.15,0.008,
2,SJF,2,2022,60.8,0.6,-18.2,,0.01,0.007,309,66,169,-4.9,105,10321,,,,,,0.741,,,3.0,2.5,2.3,-0.606,-313,,,,0.2,0.1,-6.7,6.7,1.3,378,0.015,0.038,206,1.2,0.0,0.2,,,0.8,,,,,,,,,0.3,,3.29,-0.021,
3,SJF,1,2022,59.1,1.5,-117.5,,0.026,0.018,170,36,61,-1.7,267,10547,,,,,,0.73,,,2.9,2.4,2.2,0.156,-73,,,0.059,0.2,0.1,-29.9,7.1,1.4,392,0.024,0.036,144,2.1,-0.001,0.4,0.8,,-0.2,,,,,,,,,0.3,,5.958,0.0,
4,SJF,4,2021,52.2,1.1,-1464.7,,0.022,0.016,179,35,76,-0.2,231,10546,,,,,,0.713,,,2.6,2.5,2.4,3.519,-10,0.007,,0.095,0.2,0.1,-208.8,2.0,1.4,417,0.037,0.03,138,2.0,-0.001,0.4,1.0,,-30.8,,,,,,,,,0.4,,-1.215,0.02,
5,SJF,3,2021,145.7,0.7,301.7,,0.005,0.003,59,36,83,-0.1,51,10336,,,,,,0.647,,,1.9,1.2,1.1,-1.608,49,0.014,,0.229,0.2,0.2,52.4,8.0,1.5,75,0.044,0.037,12,6.2,-0.001,0.4,1.0,,-27.1,,,,,,,,,0.5,,-0.488,0.011,
6,SJF,2,2021,-43.7,0.4,144.5,,-0.008,-0.005,47,38,99,-0.3,-84,10220,,,,,,0.656,,,2.0,1.1,1.0,-0.761,95,0.002,,,0.2,0.2,27.6,5.8,1.5,54,0.054,0.049,-14,7.7,0.014,0.4,,,3.5,,,,,,,,,0.5,,0.643,-0.006,
7,SJF,1,2021,-8.9,0.3,116.0,,-0.034,-0.023,155,93,155,0.4,-351,10286,,,,,,0.699,,,2.5,1.2,1.1,0.081,58,0.228,0.109,,0.3,0.2,46.0,4.6,1.4,62,0.024,0.061,93,2.4,-0.004,0.2,,0.109,-1.5,,,,,,,,,0.4,,-0.507,-0.005,
8,SJF,4,2020,-7.7,0.2,51.4,,-0.031,-0.021,81,58,94,0.9,-325,10342,,,,,,0.693,,,2.4,1.2,1.1,-0.228,118,0.039,0.027,0.016,0.3,0.2,23.0,3.7,1.4,69,0.034,0.105,45,4.5,-0.004,0.3,1.0,0.027,0.6,,,,,,,,,0.4,,0.536,0.003,
9,SJF,3,2020,-5.5,0.2,65.2,,-0.04,-0.025,174,84,344,0.8,-421,10310,,,,,,0.714,,,2.7,1.3,1.1,-0.132,77,0.268,0.16,,0.3,0.2,35.1,2.8,1.4,78,0.023,0.105,-87,2.1,-0.005,0.2,,0.16,-0.4,,,,,,,,,0.4,,0.886,-0.002,
10,SJF,2,2020,-5.0,0.2,117.7,,-0.046,-0.029,107,55,181,-0.7,-485,10329,,,,,,0.67,,,2.2,1.2,1.1,7.251,41,,,,0.3,0.2,67.5,3.7,1.5,64,0.025,0.124,-20,3.4,-0.019,0.3,,,5.4,,,,,,,,,0.5,,-0.811,-0.032,
11,SJF,1,2020,-19.7,0.1,18.2,,-0.006,-0.003,85,39,102,1.4,-58,10671,,,,,,0.652,,,2.0,1.3,1.2,-1.863,215,0.046,0.037,,0.2,0.2,12.7,1.9,1.5,120,0.046,0.332,22,4.3,-0.001,0.5,,0.037,0.2,,,,,,,,,0.5,,-0.331,-0.001,
12,SJF,4,2019,32.0,0.2,13.7,,0.006,0.004,137,37,70,,68,10677,,,,,,0.689,,,2.4,1.3,1.1,-0.646,321,0.054,0.016,-0.089,0.3,0.2,8.8,1.8,1.5,95,0.042,0.252,104,2.7,-0.001,0.5,1.1,0.016,-6.3,,,,,,,,,0.4,,-0.288,-0.005,
13,SJF,3,2019,13.4,0.2,9.2,,0.018,0.011,157,30,99,,192,10736,,,,,,0.557,,,1.4,1.3,1.2,-0.557,450,0.018,0.003,-0.046,0.2,0.1,6.3,1.8,1.8,182,0.043,0.306,88,2.3,0.012,0.6,1.1,0.003,-14.9,,,,,,,,,0.7,,-0.379,-0.008,
14,SJF,2,2019,6.2,0.2,7.4,,0.041,0.026,144,27,81,1.3,434,10819,,,,,,0.603,,,1.7,1.4,1.2,-0.361,725,0.045,0.038,0.03,0.2,0.2,4.3,2.7,1.7,167,0.032,0.169,90,2.5,0.012,0.6,1.1,0.038,0.9,,,,,,,,,0.6,,-0.143,0.011,
15,SJF,1,2019,5.9,0.4,7.3,,0.065,0.041,146,30,82,4.1,679,10702,,,,,,0.616,,,1.8,1.4,1.2,0.166,845,0.075,0.066,0.044,0.3,0.2,3.8,2.0,1.6,167,0.037,0.141,95,2.5,0.013,0.5,1.1,0.066,0.7,,,,,,,,,0.6,,0.208,0.007,
16,SJF,4,2018,14.8,0.8,10.8,,0.056,0.036,169,35,86,1.7,583,10623,,,,,,0.651,,,2.0,1.6,1.4,0.006,700,0.071,0.059,0.025,0.3,0.2,4.6,2.3,1.5,197,0.039,0.103,118,2.2,0.011,0.4,1.1,0.059,0.5,,,,,,,,,0.5,,0.006,0.006,
17,SJF,3,2018,37.8,2.1,10.9,,0.056,0.039,76,35,23,3.9,579,10559,,,,,,0.688,,,2.5,1.7,1.5,0.3,696,0.113,0.101,0.073,0.3,0.2,4.8,2.1,1.5,194,0.046,0.12,89,4.8,-0.002,0.5,1.0,0.101,0.7,,,,,,,,,0.4,,0.269,0.015,
18,SJF,2,2018,46.4,2.0,63.6,,0.044,0.03,76,19,38,1.9,445,10405,,,,,,0.661,,,2.2,1.6,1.4,0.446,548,0.174,0.159,0.237,0.3,0.2,5.3,2.1,1.5,177,0.081,0.033,57,4.8,-0.091,0.6,1.1,0.159,1.6,,,,,,,,,0.5,,0.792,0.034,
