,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SJM,1,2014,,,-2.4,,-0.837,-0.18,486,258,637.0,-1.9,-5808,4076,,,,,,0.132,,,0.2,0.8,0.7,0.004,-5555.0,0.16,-2.22,-3.433,2.9,0.4,-1.9,0.3,7.6,-16,0.067,0.137,106.0,0.8,-0.691,0.2,1.0,-2.22,1.5,,,,,,,,,6.6,,0.003,-0.047,
1,SJM,4,2013,,,-2.4,,-0.811,-0.187,480,234,558.0,-143.3,-5786,4276,,,,,,0.142,,,0.2,0.9,0.7,12.662,-5536.0,-0.785,-5.803,-5.867,2.7,0.4,-1.7,0.3,7.0,-10,0.029,0.044,155.0,0.8,-0.841,0.2,1.0,-5.803,1.0,,,,,,,,,6.0,,8.108,-0.566,
2,SJM,3,2013,,,-19.7,,-0.043,-0.012,158,151,171.0,-1.1,-423,9862,,,,,,0.277,,,0.4,1.2,0.9,-0.595,-608.0,0.028,-0.057,0.006,1.1,0.3,-18.7,0.4,3.6,15,0.041,0.405,137.0,2.3,-1.046,0.5,1.0,-0.057,-0.1,,,,,,,,,2.6,,-0.22,0.001,
3,SJM,2,2013,,,-14.1,,-0.103,-0.029,186,159,168.0,1.7,-1044,9848,,,,,,0.273,,,0.4,1.2,1.0,-0.569,-779.0,0.127,0.074,0.017,1.1,0.3,-14.6,0.5,3.7,21,0.002,0.007,178.0,2.0,-0.611,0.5,1.2,0.074,0.3,,,,,,,,,2.7,,-0.319,0.004,
4,SJM,1,2013,,,-8.2,,-0.225,-0.068,183,165,148.0,-1.0,-2423,9805,,,,,,0.291,,,0.4,1.2,0.9,0.05,-1144.0,0.073,-0.11,-0.174,0.9,0.3,-8.9,0.8,3.4,24,0.009,0.047,201.0,2.0,-0.308,0.5,1.0,-0.11,1.6,,,,,,,,,2.4,,0.285,-0.018,
5,SJM,4,2012,,,-11.5,,-0.209,-0.066,183,158,143.0,2.6,-2307,9987,,,,,,0.313,,,0.5,1.3,0.9,-0.357,-890.0,-0.039,-0.053,-0.024,0.8,0.2,-11.0,1.2,3.2,26,0.013,0.053,198.0,2.0,0.0,0.6,1.2,-0.053,0.6,,,,,,,,,2.2,,0.169,0.031,
6,SJM,3,2012,,,-18.1,,-0.305,-0.091,267,316,142.0,-0.8,-3586,9688,,,,,,0.261,,,0.4,1.3,0.8,0.283,-761.0,-0.096,-0.247,-0.456,1.2,0.3,-15.3,2.6,3.8,30,0.441,1.876,441.0,1.4,0.208,0.3,0.9,-0.247,1.7,,,,,,,,,2.8,,3.444,-0.059,
7,SJM,2,2012,,,-84.1,,-0.234,-0.076,223,230,101.0,-0.2,-2795,10295,,,,,,0.281,,,0.4,1.2,0.7,0.92,-171.0,0.078,-0.054,-0.342,1.1,0.3,-70.8,3.1,3.6,18,0.032,0.109,352.0,1.6,-0.38,0.5,1.0,-0.054,6.0,,,,,,,,,2.5,,-1.26,-0.12,
8,SJM,1,2012,,,21.6,,-0.115,-0.041,131,215,100.0,0.6,-1455,11695,,,,,,0.314,,,0.5,1.2,0.7,0.054,658.0,0.121,0.046,-0.028,1.0,0.3,16.0,4.1,3.2,27,0.031,0.103,246.0,2.8,-0.239,0.6,0.7,0.046,-0.5,,,,,,,,,2.2,,0.064,-0.03,
9,SJM,4,2011,,,17.5,,-0.107,-0.041,162,183,70.0,-0.6,-1380,12056,,,,,,0.315,,,0.5,1.3,0.8,-12.684,619.0,0.024,-0.093,-0.256,1.0,0.3,14.2,3.2,3.2,31,0.107,0.462,275.0,2.2,-0.245,0.6,1.0,-0.093,2.7,,,,,,,,,2.2,,-0.279,-0.116,
10,SJM,3,2011,,,17.0,,0.009,0.003,109,179,54.0,4.6,118,13640,,,,,,0.328,,,0.5,1.3,0.9,6.323,858.0,0.096,0.051,0.036,0.8,0.3,9.3,3.1,3.1,42,0.234,0.746,234.0,3.4,-0.116,0.7,1.3,0.051,0.9,,,,,,,,,2.0,,0.167,0.013,
11,SJM,2,2011,,,16.7,,0.001,0.001,103,157,49.0,1.0,16,13462,,,,,,0.368,,,0.6,1.4,0.9,-0.901,735.0,0.164,0.071,0.001,0.9,0.3,10.5,3.3,2.7,43,0.161,0.464,211.0,3.5,-0.227,0.8,9.7,0.071,0.1,,,,,,,,,1.7,,0.983,0.001,
12,SJM,1,2011,,,42.7,,0.018,0.006,97,183,54.0,0.6,162,13453,,,,,,0.398,,,0.7,1.6,0.9,-0.25,371.0,0.111,0.047,0.005,0.7,0.3,30.5,2.4,2.5,53,0.131,0.222,226.0,3.8,-0.272,0.8,1.6,0.047,0.2,,,,,,,,,1.5,,-0.289,-0.014,
13,SJM,4,2010,,,37.2,,0.024,0.009,82,125,25.0,-1.6,216,13646,,,,,,0.462,,,0.9,1.6,1.1,-0.561,521.0,0.026,-0.025,-0.008,0.4,0.2,25.8,3.8,2.2,45,0.241,0.322,182.0,4.5,-0.253,0.9,4.6,-0.025,1.4,,,,,,,,,1.1,,-0.436,-0.011,
14,SJM,3,2010,,,26.3,,0.055,0.024,101,210,25.0,1.4,492,13802,,,,,,0.496,,,1.0,1.8,0.9,-0.253,924.0,0.171,0.059,0.025,0.3,0.2,11.8,3.6,2.0,49,0.107,0.108,286.0,3.6,-0.456,0.8,1.5,0.059,0.6,,,,,,,,,1.0,,-0.188,0.006,
15,SJM,2,2010,,,44.6,,0.075,0.036,70,183,61.0,1.6,660,13721,,,,,,0.542,,,1.2,1.9,1.1,0.064,1138.0,0.161,0.05,0.042,0.2,0.1,2.9,1.8,1.8,50,0.063,0.031,193.0,5.2,-0.188,0.9,1.4,0.05,1.1,,,,,,,,,0.8,,-0.521,2.253,
16,SJM,1,2010,,,40.7,,0.155,0.046,102,152,31.0,-1.5,620,4217,,,,,,0.242,,,0.3,1.1,0.6,-0.063,2377.0,0.178,0.077,0.021,1.3,0.3,7.7,3.3,4.1,4,0.124,0.022,224.0,3.6,0.0,1.0,1.4,0.077,0.4,,,,,,,,,3.1,,,0.001,
17,SJM,4,2009,,,,,0.167,0.05,84,149,,-0.2,661,4215,,,,,,0.262,,,0.4,1.1,0.6,0.115,,0.063,-0.001,0.034,2.8,0.7,,8.1,3.8,5,0.204,0.083,,4.4,,0.9,1.1,-0.001,-25.3,,,,,,,,,2.8,,,0.024,
18,SJM,3,2009,,,,,0.149,0.046,190,212,,,593,4115,,,,,,0.304,,,0.4,1.2,0.8,0.349,,0.145,0.098,0.073,2.3,0.7,,543.9,3.3,11,0.472,0.138,,1.9,,0.8,1.2,0.098,0.9,,,,,,,,,2.3,,,0.058,
19,SJM,2,2009,,,,,0.115,0.04,202,246,78.0,6.9,439,3888,,,,,,0.353,,,0.5,1.3,0.6,-0.179,,0.212,0.104,0.074,0.4,0.1,,,2.8,11,0.059,0.052,369.0,1.8,,0.7,1.3,0.104,1.0,,,,,,,,,1.8,,,0.028,
20,SJM,1,2009,,,,,0.141,0.051,174,187,172.0,,536,3782,,,,,,0.401,,,0.7,1.4,0.7,-0.089,,0.191,0.119,0.08,1.5,0.6,,,2.5,11,0.015,0.01,189.0,2.1,,0.9,1.3,0.119,0.9,,,,,,,,,1.5,,,0.022,
21,SJM,4,2008,,,,,0.16,0.054,185,177,74.0,,588,3699,,,,,,0.351,,,0.5,1.5,0.9,-0.069,,0.049,0.018,0.034,1.8,0.6,,,2.8,16,0.134,,288.0,2.0,,0.9,1.4,0.018,2.6,,,,,,,,,1.8,,,-0.042,
22,SJM,3,2008,,,,,0.327,0.105,124,165,,,632,3860,,,,,,0.319,,,0.5,1.4,0.7,0.176,,0.202,0.144,0.064,2.1,0.7,,,3.1,15,0.001,,,2.9,,1.3,1.4,0.144,0.6,,,,,,,,,2.1,,,0.022,
23,SJM,2,2008,,,,,0.285,0.1,143,151,,,537,3776,,,,,,0.353,,,0.5,1.4,0.8,0.643,,0.146,0.115,0.071,1.8,0.6,,,2.8,15,0.096,,,2.6,,1.2,1.4,0.115,0.9,,,,,,,,,1.8,,,-0.008,
