,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SPD,4,2022,18.4,1.1,20.4,,0.063,0.016,15,96,8,0.1,625,10259.0,,,,,,0.262,,,0.4,1.1,0.3,0.151,1187,0.089,0.002,0.002,1.9,0.5,13.6,15.0,3.8,39,0.187,0.166,103,24.6,-0.194,2.0,1.0,0.002,1.2,,,,,,,,,2.8,,-0.121,0.003,
1,SPD,3,2022,18.4,1.0,18.0,,0.055,0.014,17,102,11,0.8,543,10224.0,,,,,,0.245,,,0.3,1.1,0.4,0.059,1349,0.092,0.016,0.006,1.7,0.4,13.4,17.4,4.1,43,0.432,0.384,109,21.6,-0.038,2.0,1.0,0.016,0.4,,,,,,,,,3.1,,0.075,0.011,
2,SPD,2,2022,12.1,0.6,16.1,,0.052,0.013,16,77,8,1.7,513,10109.0,,,,,,0.236,,,0.3,1.1,0.7,1.787,1256,0.099,0.024,0.012,1.5,0.3,12.6,14.5,4.2,41,0.596,0.524,86,22.4,-0.144,1.9,1.0,0.024,0.5,,,,,,,,,3.2,,0.212,0.027,
3,SPD,1,2022,60.2,1.1,20.5,,0.019,0.006,16,72,8,1.2,184,9843.0,,,,,,0.285,,,0.4,1.1,0.5,7.71,1036,0.087,0.019,0.012,1.6,0.4,12.0,13.6,3.5,37,0.338,0.358,80,22.6,-0.155,2.3,1.0,0.019,0.6,,,,,,,,,2.5,,0.118,0.022,
4,SPD,4,2021,543.7,1.2,31.2,,0.002,0.001,17,81,10,0.6,21,9634.0,,,,,,0.255,,,0.3,1.1,0.6,-1.012,927,0.079,0.009,,1.4,0.3,16.2,10.4,3.9,34,0.676,0.587,88,21.7,-0.215,2.0,,0.009,-0.2,,,,,,,,,2.9,,272.829,-0.005,
5,SPD,3,2021,-5.0,0.9,8527.1,,-0.167,-0.049,24,124,13,0.6,-1757,9680.0,,,,,,0.261,,,0.4,1.1,0.4,0.066,3,0.073,0.014,0.006,2.0,0.5,5752.6,11.2,3.8,45,0.118,0.104,135,15.1,-0.673,1.7,1.0,0.014,0.4,,,,,,,,,2.8,,-0.915,,
6,SPD,2,2021,-5.7,,494.1,,-0.159,-0.05,23,88,15,1.6,-1648,,,,,,,,,,0.4,1.1,0.6,0.055,40,0.067,0.015,,1.8,0.5,386.0,19.2,,40,0.708,0.707,95,16.1,-0.391,1.9,,0.015,0.4,,,,,,,,,2.8,,-1.334,,
7,SPD,1,2021,-5.4,0.9,-121.0,,-0.15,-0.053,25,86,16,1.0,-1562,9659.0,,,,,,0.313,,,0.5,1.2,0.6,0.0,-119,0.095,0.02,0.004,1.0,0.3,-97.3,13.9,3.2,41,0.399,0.443,95,14.6,-0.462,2.0,1.0,0.02,0.2,,,,,,,,,2.2,,0.0,0.014,
8,SPD,4,2020,-5.4,0.9,-241.1,,-0.151,-0.055,27,89,10,-2.5,-1562,9530.0,,,,,,0.321,,,0.5,1.2,0.5,-9.61,-119,0.084,,,1.8,0.6,-130.3,23.4,3.1,41,0.341,0.361,105,13.8,-0.556,2.1,,,2.5,,,,,,,,,2.1,,-1.175,-0.161,
9,SPD,3,2020,42.4,0.7,42.9,,0.016,0.005,32,133,8,0.9,181,11355.0,,,,,,0.331,,,0.5,1.2,0.4,0.627,680,0.079,0.015,0.012,1.8,0.6,30.6,21.5,3.0,53,0.024,0.029,157,11.4,-0.003,1.6,1.0,0.015,0.8,,,,,,,,,2.0,,-0.128,0.017,
10,SPD,2,2020,49.3,0.5,24.1,,0.01,0.003,31,106,29,0.7,111,11162.0,,,,,,0.376,,,0.6,1.3,0.5,0.204,780,0.079,0.01,0.001,1.2,0.5,21.2,16.0,2.7,55,0.244,0.353,108,11.7,-0.228,1.7,0.6,0.01,0.2,,,,,,,,,1.7,,0.008,-0.001,
11,SPD,1,2020,59.3,0.5,24.0,,0.008,0.003,32,81,11,1.0,92,11175.0,,,,,,0.398,,,0.7,1.3,0.5,-0.336,774,0.095,0.02,0.004,1.2,0.5,20.0,18.9,2.5,56,0.05,0.101,101,11.4,-0.159,2.0,1.0,0.02,0.2,,,,,,,,,1.5,,-0.134,0.005,
12,SPD,4,2019,43.0,0.5,29.0,,0.012,0.004,76,81,16,0.3,139,11120.0,,,,,,0.409,,,0.7,1.3,0.5,-1.694,893,0.128,0.005,-0.006,1.3,0.5,18.9,17.1,2.4,62,0.129,0.261,141,4.8,0.0,2.0,1.2,0.005,-1.5,,,,,,,,,1.4,,1.028,-0.007,
