,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SSG,2,2015,-5.7,41.3,42.3,,-1.529,-0.062,,17,51,2.8,-2027,280,,,,,,0.009,,,0.0,0.2,0.1,0.0,575,0.228,0.177,0.0,84.7,0.8,42.9,0.9,112.5,-76,1.315,0.369,,,0.0,0.5,,0.177,0.0,,,,,,,,,111.5,,0.35,4.421,
1,SSG,1,2015,-0.8,30.9,58.8,,-1.737,-0.061,2.0,16,87,1.5,-2027,51,,,,,,0.002,,,0.0,0.1,0.1,0.0,426,0.188,0.124,0.0,466.7,0.8,58.5,0.9,617.4,-83,1.238,0.064,-69.0,193.6,0.0,0.5,,0.124,0.0,,,,,,,,,616.4,,-1.246,0.094,
2,SSG,4,2014,,,,,-2.453,-0.056,,26,98,-2.9,-2027,47,,,,,,0.001,,,0.0,0.1,0.1,-0.57,-1730,-0.145,-0.216,-0.324,525.4,0.7,-15.6,1.0,704.2,-88,11.035,,,,0.0,0.4,1.0,-0.216,1.5,,,,,,,,,703.2,,-0.559,-0.97,
3,SSG,3,2014,,,-7.0,,-1.415,-0.124,11.0,35,78,-1.7,-4713,1567,,,,,,0.045,,,0.0,0.2,0.1,-0.056,-3924,-0.087,-0.169,-0.158,16.3,0.7,-7.0,1.0,22.3,-82,0.125,0.089,-32.0,33.2,0.0,0.4,1.0,-0.169,0.9,,,,,,,,,21.3,,0.041,-0.339,
4,SSG,2,2014,,,-7.4,,-1.206,-0.134,,20,53,2.1,-4994,2371,,,,,,0.071,,,0.1,0.1,0.1,-0.227,-3770,0.299,0.205,0.0,10.8,0.8,-7.3,1.0,14.1,-81,0.112,0.115,,,0.0,0.5,,0.205,0.0,,,,,,,,,13.1,,0.102,0.039,
5,SSG,1,2014,,,-9.3,,-1.342,-0.165,2.0,23,65,-2.4,-6464,2281,,,,,,0.066,,,0.1,0.1,0.1,-0.072,-3421,-0.122,-0.194,0.0,11.3,0.7,-8.1,1.1,15.2,-87,0.041,0.033,-40.0,230.6,0.0,0.5,,-0.194,0.0,,,,,,,,,14.2,,0.275,0.421,
6,SSG,4,2013,,,-11.7,,-1.473,-0.167,,32,79,-83.2,-6963,1605,,,,,,0.041,,,0.0,0.1,0.1,1.252,-2684,-0.629,-0.705,-0.921,18.3,0.8,-11.0,1.4,24.1,-106,0.174,0.103,,,0.0,0.4,1.0,-0.705,1.3,,,,,,,,,23.1,,-5.407,-0.685,
7,SSG,3,2013,,,53.7,,-0.47,-0.072,,36,73,-1.1,-3092,5095,,,,,,0.123,,,0.1,0.3,0.2,0.32,609,-0.033,-0.095,-0.183,5.8,0.7,48.7,0.5,8.1,-56,0.149,0.216,,,0.0,0.4,1.0,-0.095,1.9,,,,,,,,,7.1,,-0.581,-0.138,
8,SSG,2,2013,,,22.8,,-0.335,-0.055,,34,62,-1.4,-2343,5908,,,,,,0.143,,,0.2,0.2,0.1,3.184,1454,-0.05,-0.116,-0.303,5.0,0.7,20.6,0.5,7.0,-58,0.054,0.092,,,0.0,0.5,1.0,-0.116,2.6,,,,,,,,,6.0,,0.175,-0.196,
9,SSG,1,2013,,,26.5,,-0.075,-0.013,,39,78,-0.3,-560,7351,,,,,,0.169,,,0.2,0.3,0.1,0.497,1238,0.042,-0.03,-0.12,4.1,0.7,24.7,0.5,5.9,-61,0.006,0.011,,,0.0,0.5,1.0,-0.03,4.0,,,,,,,,,4.9,,-0.474,-0.064,
10,SSG,4,2012,,,13.9,,-0.048,-0.008,9.0,32,71,0.3,-374,7850,,,,,,0.176,,,0.2,0.3,0.1,-0.414,2353,0.093,0.02,-0.055,3.8,0.7,13.1,0.5,5.7,-64,0.07,0.144,-30.0,38.6,0.0,0.5,1.0,0.02,-2.7,,,,,,,,,4.7,,-0.075,-0.028,
