,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SSM,4,2022,-3.1,0.5,-7.7,,-0.147,-0.073,100,141,59.0,-0.6,-1866,11749,,,,,,0.577,,,1.4,2.0,0.5,0.454,-1313.0,0.153,,,0.4,0.2,-4.2,,1.7,43,0.065,0.131,183.0,3.6,0.0,1.3,,,2.4,,,,,,,,,0.7,,0.601,-0.015,
1,SSM,3,2022,-4.7,0.5,-10.0,,-0.102,-0.061,70,79,17.0,-10.8,-1283,11927,,,,,,0.509,,,1.0,1.8,1.0,1.021,-820.0,,,,0.6,0.3,-5.5,,2.0,45,0.092,0.296,132.0,5.2,-0.002,2.3,,,1.1,,,,,,,,,1.0,,1.757,-0.077,
2,SSM,2,2022,-8.8,0.4,-37.7,,-0.048,-0.032,90,82,7.0,1.9,-635,12922,,,,,,0.545,,,1.2,1.9,1.0,-0.581,-298.0,0.077,0.017,0.008,0.7,0.4,-14.8,,1.8,49,0.107,0.289,165.0,4.0,-0.002,2.0,1.0,0.017,0.5,,,,,,,,,0.8,,-0.753,0.009,
3,SSM,1,2022,-5.2,0.6,-7.3,,-0.112,-0.072,114,147,32.0,-6.7,-1517,12811,,,,,,0.515,,,1.1,1.8,0.4,1.142,-1206.0,,,,0.4,0.2,-1.7,,1.9,47,0.037,0.085,228.0,3.2,-0.002,1.5,,,1.1,,,,,,,,,0.9,,1.203,-0.06,
4,SSM,4,2021,-11.4,0.6,-17.3,,-0.051,-0.026,116,145,59.0,6.2,-708,13636,,,,,,0.445,,,0.8,1.6,0.8,0.088,-547.0,0.081,0.028,0.024,0.6,0.3,-9.1,,2.2,50,0.123,0.202,202.0,3.2,-0.002,1.2,1.0,0.028,0.9,,,,,,,,,1.2,,0.022,0.032,
5,SSM,3,2021,-10.8,0.5,-14.9,,-0.048,-0.028,161,169,19.0,-19.6,-651,13210,,,,,,0.7,,,2.3,2.7,0.7,4.631,-536.0,0.041,,,0.3,0.2,-7.2,,1.4,47,0.098,0.194,311.0,2.3,0.0,1.0,,,1.1,,,,,,,,,0.4,,-3.11,-0.026,
6,SSM,2,2021,-60.5,0.5,23.5,,-0.008,-0.004,102,127,29.0,-219.0,-115,13557,,,,,,0.845,,,5.4,4.9,2.3,-1.105,254.0,,,,0.1,0.0,31.4,,1.2,49,0.093,0.175,201.0,3.6,-0.157,1.3,,,1.0,,,,,,,,,0.2,,-0.845,-0.054,
7,SSM,1,2021,7.2,0.6,3.8,,0.08,0.037,95,148,45.0,1.2,1100,14329,,,,,,0.822,,,4.6,4.4,1.7,-0.189,1637.0,0.046,0.005,0.001,0.0,0.0,4.8,,1.2,52,0.218,0.474,198.0,3.8,-0.15,1.3,1.0,0.005,0.2,,,,,,,,,0.2,,-0.255,0.0,
8,SSM,4,2020,4.3,0.4,5.0,,0.099,0.042,70,141,56.0,18.8,1356,14323,,,,,,0.617,,,1.6,2.2,0.9,-0.116,2198.0,0.189,0.077,0.073,0.2,0.1,4.2,,1.6,51,0.02,0.036,156.0,5.2,-0.145,1.5,1.0,0.077,1.0,,,,,,,,,0.6,,-0.157,0.033,
9,SSM,3,2020,3.8,0.4,3.5,,0.117,0.038,55,127,103.0,1.6,1534,13861,,,,,,0.516,,,1.1,1.8,1.2,-0.308,2606.0,0.1,0.036,0.012,0.4,0.2,3.9,,1.9,48,0.051,0.126,78.0,6.7,-0.297,1.5,1.0,0.036,0.3,,,,,,,,,0.9,,-0.178,0.014,
