,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,STT,1,2018,-3.5,36.2,-14.1,,-1.125,-0.26,195,3,11,-1.3,-1331,127,,,,,,0.025,,,0.0,0.5,0.5,-0.444,-740,0.063,-0.053,-0.088,10.0,0.2,-0.9,0.0,40.5,-15,0.551,0.007,187,1.9,-0.942,0.7,1.0,-0.053,1.7,,,,,,,,,39.5,,-0.339,-0.368,
1,STT,4,2017,-4.2,49.7,-8.5,,-1.282,-0.425,176,2,37,-4.8,-2393,201,,,,,,0.038,,,0.0,0.5,0.5,0.636,-1119,-0.006,-0.202,-1.548,6.7,0.3,-0.6,0.0,26.7,-15,1.18,0.029,141,2.1,-0.907,0.7,1.0,-0.202,7.7,,,,,,,,,25.7,,-0.603,-0.905,
2,STT,3,2017,-6.8,4.7,-3.8,,-0.483,-0.262,200,2,11,-3.8,-1463,2114,,,,,,0.455,,,0.6,1.0,1.0,0.374,-2818,-0.035,-0.178,-0.157,0.7,0.3,-0.3,0.0,2.2,0,0.12,0.027,190,1.8,-1.164,0.8,1.0,-0.178,0.9,,,,,,,,,1.7,,-0.049,0.141,
3,STT,2,2017,-8.8,5.1,-3.8,,-0.388,-0.18,120,2,7,-37.9,-1064,1853,,,,,,0.325,,,0.5,0.8,0.8,-0.29,-2963,-0.085,-0.714,0.188,0.8,0.3,-0.3,0.3,3.1,-5,0.312,0.056,115,3.0,-0.923,0.9,1.0,-0.714,-0.3,,,,,,,,,2.1,,0.155,-0.173,
4,STT,1,2017,-6.0,4.0,-5.0,,-0.489,-0.267,110,2,14,-97.6,-1500,2241,,,,,,0.442,,,1.0,1.2,1.2,1.287,-2565,-0.141,-0.393,-0.989,0.0,0.0,0.0,,2.3,3,0.288,0.048,99,3.3,-0.459,1.1,1.0,-0.393,2.5,,,,,,,,,1.0,,0.063,-0.366,
5,STT,4,2016,-14.3,2.7,-2.3,,-0.167,-0.107,141,2,23,-460.2,-656,3533,,,,,,0.598,,,1.5,1.5,1.4,-0.037,-2412,-0.06,-0.302,-0.215,0.0,0.0,0.0,,1.7,7,0.343,0.179,121,2.6,-0.434,1.0,1.0,-0.302,0.7,,,,,,,,,0.7,,-0.004,-0.104,
6,STT,3,2016,-16.3,2.8,-3.4,,-0.156,-0.096,188,3,11,-1135.1,-681,3944,,,,,,0.605,,,1.5,1.9,1.9,-0.496,-2421,-0.031,-0.204,0.154,0.0,0.0,-0.1,,1.7,15,0.17,0.075,180,1.9,-0.375,0.8,1.0,-0.204,-0.8,,,,,,,,,0.7,,-0.055,0.085,
7,STT,2,2016,-8.4,3.1,-4.2,,-0.309,-0.189,156,3,8,,-1353,3636,,,,,,0.595,,,1.5,1.5,1.5,-0.49,-2563,-0.056,-0.208,-0.164,0.0,0.0,-0.2,,1.7,8,0.225,0.071,151,2.3,-0.308,0.8,1.0,-0.208,0.8,,,,,,,,,0.7,,-0.22,-0.067,
8,STT,1,2016,-1.4,0.9,-1.1,,-0.502,-0.342,155,2,14,-1597.7,-2655,3896,,,,,,0.631,,,1.7,2.1,2.1,0.111,-3288,-0.057,-0.247,-0.221,0.0,0.0,0.0,,1.6,15,0.485,0.45,144,2.3,0.0,0.8,1.0,-0.247,0.9,,,,,,,,,0.6,,0.13,-0.097,
9,STT,4,2015,-1.5,0.8,-3.4,,-0.429,-0.294,174,2,5,-236.1,-2390,4314,,,,,,0.682,,,2.1,1.6,1.6,1.637,-2909,-0.082,-0.944,-0.282,0.0,0.0,-0.2,,1.5,9,0.13,0.053,171,2.1,0.0,0.9,1.0,-0.944,0.3,,,,,,,,,0.5,,0.863,-0.099,
10,STT,3,2015,-4.2,0.8,-2.0,,-0.172,-0.103,118,2,9,-12.5,-906,4786,,,,,,0.62,,,1.6,1.3,1.3,0.232,-1561,-0.026,-0.257,-0.258,0.1,0.1,-0.4,,1.6,8,0.058,0.093,111,3.1,0.0,0.9,1.0,-0.257,1.0,,,,,,,,,0.6,,0.268,-0.064,
11,STT,2,2015,-6.7,1.0,-3.3,,-0.133,-0.085,94,2,3,-135.2,-735,5115,,,,,,0.625,,,1.7,1.4,1.4,-2.588,-1231,0.029,-0.416,-0.86,0.2,0.1,-0.8,,1.6,10,0.145,0.2,93,3.9,0.0,1.2,1.0,-0.416,2.1,,,,,,,,,0.6,,1.809,-0.234,
12,STT,1,2015,10.6,0.7,-10.0,,0.071,0.049,100,2,9,-29.2,463,6677,,,,,,0.713,,,2.5,1.8,1.8,0.793,-438,0.014,-0.095,-0.01,0.0,0.0,-1.0,,1.4,16,0.069,0.095,93,3.6,0.0,1.1,1.0,-0.095,0.1,,,,,,,,,0.4,,-0.36,-0.021,
13,STT,4,2014,,,-8.2,,0.035,0.024,118,2,10,-33.2,258,6817,,,,,,0.685,,,2.2,1.6,1.6,-1.222,-685,-0.156,-0.375,0.464,0.1,0.1,-1.3,,1.5,15,0.067,0.088,110,3.1,0.0,0.9,1.0,-0.375,-1.2,,,,,,,,,0.5,,0.576,0.19,
14,STT,3,2014,,,-13.0,,-0.166,-0.108,89,2,9,-9.0,-1166,5730,,,,,,0.577,,,1.4,1.0,1.0,0.101,-435,0.031,-0.058,-0.071,0.2,0.1,-2.2,,1.7,1,0.057,0.065,82,4.1,-0.01,0.9,1.0,-0.058,1.2,,,,,,,,,0.7,,0.165,-0.039,
15,STT,2,2014,,,-11.7,,-0.146,-0.102,92,2,4,-10.2,-1059,5964,,,,,,0.655,,,1.9,1.1,1.1,0.306,-373,0.037,-0.131,-0.165,0.2,0.1,-2.7,,1.5,2,0.044,0.071,91,4.0,-0.017,0.8,0.8,-0.131,1.0,,,,,,,,,0.5,,2.833,-0.057,
16,STT,1,2014,,,-50.7,,-0.109,-0.073,103,3,15,-7.5,-811,6328,,,,,,0.657,,,1.9,1.5,1.5,0.175,-97,0.05,-0.114,-0.118,0.1,0.1,-10.1,0.0,1.5,9,0.027,0.041,91,3.5,-0.023,0.8,1.0,-0.114,1.0,,,,,,,,,0.5,,0.114,-0.208,
17,STT,4,2013,,,-45.8,,-0.076,-0.055,93,3,13,-10.9,-691,7992,,,,,,0.704,,,2.4,2.1,2.0,-0.628,-87,0.067,-0.163,-0.168,0.1,0.1,-11.7,0.1,1.4,20,0.024,0.056,83,3.9,-0.023,0.8,1.0,-0.163,1.0,,,,,,,,,0.4,,-0.938,-0.041,
18,STT,3,2013,,,-2.1,,-0.186,-0.139,87,3,9,-3.8,-1857,8330,,,,,,0.717,,,2.5,2.2,2.1,0.081,-1406,0.094,-0.062,-0.061,0.1,0.1,-0.8,0.2,1.4,21,0.05,0.16,81,4.2,-0.012,0.7,1.0,-0.062,1.0,,,,,,,,,0.4,,0.005,-0.029,
19,STT,2,2013,,,-3.0,,-0.17,-0.128,71,2,3,-2.6,-1717,8583,,,,,,0.733,,,2.8,2.3,2.3,0.011,-1399,0.07,-0.041,-0.042,0.1,0.1,-0.8,0.4,1.4,21,0.087,0.191,71,5.1,-0.006,0.8,1.0,-0.041,1.0,,,,,,,,,0.4,,-0.241,0.001,
20,STT,1,2013,,,-2.1,,-0.167,-0.122,73,3,10,-3.0,-1698,8571,,,,,,0.684,,,2.2,2.0,1.9,0.084,-1843,0.063,-0.043,-0.04,0.1,0.1,-0.6,0.4,1.5,22,0.093,0.199,66,5.0,0.0,0.8,1.0,-0.043,0.9,,,,,,,,,0.5,,0.046,-0.155,
21,STT,4,2012,,,-2.9,,-0.135,-0.104,76,3,10,-39.6,-1567,10140,,,,,,0.726,,,2.6,2.5,2.5,205.967,-1761,-0.026,-0.801,-0.718,0.1,0.1,-0.6,0.0,1.4,29,0.12,0.265,69,4.8,0.0,0.7,1.0,-0.801,0.9,,,,,,,,,0.4,,3.059,-0.128,
22,STT,3,2012,,,-6.3,,-0.001,0.0,74,4,11,-2.6,-7,11634,,,,,,0.773,,,3.4,3.3,3.3,-1.024,-434,0.1,-0.037,0.004,0.1,0.1,-2.6,0.0,1.3,38,0.057,0.229,68,4.9,-0.001,0.6,1.5,-0.037,-0.2,,,,,,,,,0.3,,13.991,0.001,
23,STT,2,2012,,,-139.5,,0.026,0.02,60,5,1,-9.0,317,11621,,,,,,0.77,,,3.3,3.1,3.1,-0.329,-29,0.085,-0.154,-0.032,0.1,0.1,-38.9,0.0,1.3,36,0.112,0.283,64,6.1,-0.012,0.6,1.7,-0.154,0.3,,,,,,,,,0.3,,-1.067,-0.008,
24,STT,1,2012,,,11.6,,0.039,0.031,65,5,6,-2.5,473,11717,,,,,,0.767,,,3.3,3.0,3.0,-0.026,432,0.129,-0.064,0.01,0.1,0.1,2.9,0.0,1.3,36,0.144,0.286,63,5.6,-0.02,0.6,1.3,-0.064,-0.2,,,,,,,,,0.3,,-0.289,-0.103,
