,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SVG,4,2022,48.0,0.5,10.3,,0.01,0.007,26,61,22,2.0,108,10401,,,,,,0.685,,,2.2,1.2,0.9,-0.074,885,0.195,0.077,0.03,0.3,0.2,4.4,9.7,1.5,25,0.041,0.082,64,14.2,-0.002,0.6,0.8,0.077,0.5,,,,,,,,,0.5,,-0.19,0.007,
1,SVG,3,2022,51.3,0.6,8.2,,0.011,0.007,22,66,19,0.9,116,10326,,,,,,0.656,,,1.9,1.2,0.8,-0.005,1093,0.177,0.035,0.007,0.4,0.3,3.9,5.9,1.5,28,0.03,0.062,68,16.5,-0.004,0.6,0.8,0.035,0.3,,,,,,,,,0.5,,-0.208,0.002,
2,SVG,2,2022,55.3,0.6,6.8,,0.011,0.008,17,56,8,1.1,117,10310,,,,,,0.648,,,1.8,1.2,0.8,-0.012,1380,0.187,0.043,0.001,0.4,0.3,3.1,7.0,1.5,26,0.039,0.076,65,21.2,0.002,0.7,0.4,0.043,0.0,,,,,,,,,0.5,,0.03,-0.002,
3,SVG,1,2022,100.9,1.2,8.2,,0.012,0.008,11,51,12,1.2,118,10329,,,,,,0.637,,,1.8,1.1,0.8,0.01,1340,0.178,0.036,0.006,0.4,0.3,3.1,9.1,1.6,19,0.038,0.056,50,34.3,-0.006,0.7,0.8,0.036,0.2,,,,,,,,,0.6,,0.03,0.002,
4,SVG,4,2021,160.7,1.8,10.6,,0.011,0.008,5,46,17,2.2,117,10309,,,,,,0.63,,,1.7,1.1,0.8,0.183,1300,0.213,0.056,0.024,0.4,0.3,3.0,11.4,1.6,13,0.05,0.054,35,70.3,-0.018,0.7,0.8,0.056,0.6,,,,,,,,,0.6,,0.089,0.008,
5,SVG,3,2021,229.2,2.2,15.2,,0.01,0.006,5,58,18,1.3,99,10226,,,,,,0.63,,,1.7,1.1,0.8,0.179,1194,0.14,0.033,0.006,0.4,0.3,3.6,9.9,1.6,9,0.021,0.015,45,68.3,-0.012,0.6,0.8,0.033,0.2,,,,,,,,,0.6,,0.056,0.002,
6,SVG,2,2021,90.0,0.7,22.1,,0.008,0.006,2,56,13,1.0,84,10209,,,,,,0.678,,,2.1,1.0,0.7,0.001,1131,0.145,0.035,0.001,0.4,0.3,3.5,6.8,1.5,5,0.031,0.015,45,225.0,-0.04,0.6,0.8,0.035,0.0,,,,,,,,,0.5,,0.002,-0.001,
7,SVG,1,2021,74.7,0.6,10.6,,0.008,0.006,-3,48,8,1.0,84,10214,,,,,,0.685,,,2.2,1.0,0.7,-0.006,1129,0.19,0.034,0.007,0.4,0.3,3.4,7.5,1.5,0,0.022,0.028,37,,-0.023,0.6,0.8,0.034,0.2,,,,,,,,,0.5,,-0.038,0.001,
8,SVG,4,2020,63.6,0.5,8.3,,0.008,0.006,-12,49,11,0.8,84,10200,,,,,,0.688,,,2.2,1.0,0.7,0.11,1173,0.128,0.029,0.026,0.4,0.2,3.2,9.4,1.5,-4,0.032,0.055,26,,-0.028,0.6,0.8,0.029,1.1,,,,,,,,,0.5,,0.12,0.006,
9,SVG,3,2020,84.9,0.6,9.3,,0.008,0.005,-8,56,11,1.0,76,10135,,,,,,0.667,,,2.0,1.0,0.7,-0.242,1047,0.187,0.039,0.001,0.4,0.3,4.0,5.4,1.5,0,0.036,0.061,37,,-0.03,0.6,0.8,0.039,0.0,,,,,,,,,0.5,,-0.065,0.0,
10,SVG,2,2020,102.4,1.0,8.6,,0.01,0.007,-14,52,15,0.9,100,10133,,,,,,0.676,,,2.1,1.0,0.7,-0.178,1120,0.155,0.035,0.001,0.4,0.3,3.6,6.4,1.5,-3,0.032,0.052,22,,-0.02,0.6,0.8,0.035,0.1,,,,,,,,,0.5,,-0.081,-0.007,
11,SVG,1,2020,139.3,1.7,11.4,,0.012,0.008,-17,47,8,1.2,122,10205,,,,,,0.687,,,2.2,1.0,0.7,-0.012,1219,0.175,0.04,0.007,0.4,0.3,3.2,6.5,1.5,-5,0.018,0.017,22,,-0.028,0.6,0.8,0.04,0.2,,,,,,,,,0.5,,-0.056,0.002,
12,SVG,4,2019,137.6,1.7,,,0.012,0.008,74,47,13,1.9,124,10182,,,,,,0.676,,,2.1,0.9,0.6,0.197,1291,0.189,0.067,0.023,0.4,0.2,2.9,7.8,1.5,-12,0.037,,108,4.9,-0.023,0.6,1.5,0.067,0.5,,,,,,,,,0.5,,0.271,0.005,
