,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SVH,4,2022,2.7,0.6,4.1,,0.229,0.11,-193,,397,3.8,2219,10800,,,,,,0.483,,,0.9,1.4,1.4,-0.194,2963,0.666,0.588,0.411,0.9,0.4,2.9,0.3,2.1,24,0.059,0.106,,,0.0,0.2,0.9,0.588,0.7,,,,,,,,,1.1,,-0.114,0.052,
1,SVH,3,2022,2.2,0.6,3.6,,0.311,0.151,-280,,423,1.5,2752,10263,,,,,,0.546,,,1.2,1.1,1.1,0.044,3344,0.446,0.375,0.131,0.7,0.4,2.2,0.5,1.8,6,0.056,0.096,,,0.0,0.3,1.0,0.375,0.4,,,,,,,,,0.8,,0.042,0.008,
2,SVH,2,2022,2.3,0.6,3.4,,0.299,0.14,-314,,470,6.2,2636,10178,,,,,,0.531,,,1.1,1.0,1.0,0.332,3208,0.78,0.751,0.62,0.7,0.4,2.5,0.6,1.9,1,0.228,0.386,,,-0.04,0.2,0.9,0.751,0.9,,,,,,,,,0.9,,0.259,0.087,
3,SVH,1,2022,3.0,0.6,4.6,,0.238,0.106,-653,,475,6.8,1979,9359,,,,,,0.493,,,1.0,0.4,0.4,0.188,2549,0.786,0.753,0.61,0.8,0.4,2.8,,2.0,-81,0.228,0.355,,,0.0,0.2,1.0,0.753,0.9,,,,,,,,,1.0,,0.129,0.093,
4,SVH,4,2021,3.6,0.7,6.1,,0.216,0.073,-657,,531,33.1,1665,8565,,,,,,0.479,,,0.9,0.3,0.3,0.224,2257,0.783,0.76,0.709,0.9,0.4,5.3,,2.1,-96,0.101,0.144,,,0.0,0.2,1.0,0.76,1.0,,,,,,,,,1.1,,0.034,0.153,
5,SVH,3,2021,4.4,0.8,6.3,,0.202,0.079,-751,,459,0.8,1360,7429,,,,,,0.42,,,0.7,0.3,0.3,0.149,2183,0.333,0.279,,1.1,0.4,3.2,,2.4,-114,0.019,0.023,,,0.0,0.2,,0.279,-0.3,,,,,,,,,1.4,,0.084,-0.004,
6,SVH,2,2021,5.1,0.8,6.9,,0.173,0.067,-780,,402,2.1,1184,7460,,,,,,0.405,,,0.7,0.3,0.3,0.04,2014,0.573,0.52,0.254,1.2,0.5,3.8,,2.5,-116,0.122,0.152,,,-0.002,0.2,1.0,0.52,0.5,,,,,,,,,1.5,,0.03,0.022,
7,SVH,1,2021,5.3,0.8,6.1,,0.169,0.063,-777,,364,3.7,1138,7298,,,,,,0.399,,,0.7,0.3,0.3,0.112,1956,0.747,0.704,0.489,0.9,0.4,3.6,,2.5,-121,0.084,0.102,,,0.0,0.2,0.9,0.704,0.7,,,,,,,,,1.5,,0.078,0.07,
8,SVH,4,2020,5.9,0.9,6.6,,0.162,0.044,-499,,341,3.7,1024,6823,,,,,,0.245,,,0.3,0.7,0.7,0.175,1814,0.698,0.676,0.481,2.4,0.6,6.8,5.0,4.1,-90,0.825,0.938,,,0.0,0.2,0.9,0.676,0.8,,,,,,,,,3.1,,0.176,0.126,
9,SVH,3,2020,6.9,1.0,7.7,,0.155,0.051,-636,,335,-0.4,871,6057,,,,,,0.364,,,0.6,0.1,0.1,0.26,1542,,,,1.0,0.4,4.7,1.3,2.7,-104,0.058,0.058,,,0.0,0.2,,,3.4,,,,,,,,,1.7,,0.091,-0.033,
