,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SVN,4,2022,76.9,0.4,-71.3,,0.005,0.004,349,1,84,,49,10602,,,,,,0.974,,,37.8,16.8,16.8,-0.338,-52,0.01,,0.024,0.0,0.0,0.0,,1.0,93,0.014,0.04,266,1.0,-2.222,0.5,0.8,,-0.6,,,,,,,,,0.0,,1.751,0.001,
1,SVN,3,2022,76.4,0.5,-206.6,,0.007,0.007,233,1,14,,74,10593,,,,,,0.948,,,18.4,10.2,10.2,0.502,-19,0.011,,0.009,0.0,0.0,0.0,,1.1,112,0.006,0.017,220,1.6,-371.726,0.8,0.8,,-2.7,,,,,,,,,0.1,,0.178,0.002,
2,SVN,2,2022,118.7,0.6,-266.1,,0.005,0.004,289,13,30,,49,10573,,,,,,0.88,,,7.3,5.1,4.7,0.112,-16,0.007,,0.013,0.0,0.0,0.0,,1.1,124,0.019,0.044,272,1.3,,0.7,0.8,,-0.4,,,,,,,,,0.1,,-3.794,0.001,
3,SVN,1,2022,246.1,1.0,945.0,,0.004,0.004,274,44,56,,44,10566,,,,,,0.864,,,6.3,4.5,3.9,-0.024,6,0.007,,0.006,0.0,0.0,0.0,,1.2,124,0.003,0.006,262,1.3,,0.9,0.8,,-2.6,,,,,,,,,0.2,,-1.196,0.001,
4,SVN,4,2021,190.0,0.8,-192.6,,0.004,0.004,344,1,50,,45,10553,,,,,,0.826,,,4.7,3.7,3.7,0.231,-30,0.008,0.004,0.009,0.0,0.0,0.0,,1.2,125,0.002,0.004,296,1.1,-5521.059,0.7,0.8,0.004,3.0,,,,,,,,,0.2,,-0.676,0.003,
5,SVN,3,2021,129.1,0.5,,,0.004,0.003,258,8,10,,37,10518,,,,,,0.989,,,89.4,51.1,50.9,-0.187,-91,0.004,,,0.0,0.0,0.0,,1.0,124,0.001,,255,1.4,0.0,0.5,,,1.0,,,,,,,,,0.0,,-0.783,-0.001,
6,SVN,2,2021,89.6,0.4,,,0.004,0.004,287,22,13,,45,10530,,,,,,0.989,,,86.3,49.4,49.2,-0.027,-421,0.005,0.001,0.0,0.0,0.0,0.0,,1.0,124,0.003,,297,1.3,0.0,0.4,0.9,0.001,0.4,,,,,,,,,0.0,,0.023,0.0,
7,SVN,1,2021,121.2,0.5,,,0.004,0.004,33925,1372,243,,47,10529,,,,,,0.86,,,6.1,7.0,6.1,0.383,-411,,,,0.0,0.0,0.0,,1.2,216,0.001,,35054,0.0,0.0,0.0,0.8,,-0.4,,,,,,,,,0.2,,-0.194,0.001,
8,SVN,4,2020,58.8,0.2,-13.1,,0.003,0.003,28473,315,-250,,34,10515,,,,,,0.987,,,75.3,74.6,74.4,0.0,-510,0.0,,6.664,0.0,0.0,0.0,,1.0,216,0.009,0.015,29038,0.0,0.0,0.0,1.0,,-0.6,,,,,,,,,0.0,,0.0,0.0,
9,SVN,3,2020,58.8,0.2,,,0.003,0.003,15652,401,-3682,,34,10516,,,,,,0.984,,,60.2,6.1,5.1,0.492,-510,,,0.067,0.0,0.0,0.0,,1.0,19,0.0,,19735,0.0,0.0,0.0,0.8,,0.0,,,,,,,,,0.0,,1.808,0.0,
