,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SZE,4,2022,12.6,1.0,6.1,,0.077,0.041,25,15,58,8.1,917,11931,,,,,,0.555,,,1.2,1.2,1.2,-0.098,2340,0.098,0.052,0.039,0.3,0.2,1.7,0.3,1.8,48,0.142,0.146,-18,14.6,-0.142,0.7,0.7,0.052,1.0,,,,,,,,,0.8,,0.093,-0.047,
1,SZE,3,2022,13.9,1.1,6.4,,0.082,0.046,47,35,59,9.6,1017,12524,,,,,,0.561,,,1.3,1.3,1.1,0.003,2141,0.112,0.063,0.061,0.3,0.2,1.7,0.2,1.8,61,0.101,0.113,22,7.8,-0.535,0.7,0.8,0.063,1.2,,,,,,,,,0.8,,0.159,0.018,
2,SZE,2,2022,13.6,1.1,9.3,,0.083,0.047,45,33,77,11.0,1014,12302,,,,,,0.554,,,1.2,1.2,1.0,-0.024,1847,0.138,0.081,0.065,0.3,0.2,1.8,0.3,1.8,35,0.031,0.028,2,8.0,-0.654,0.6,0.8,0.081,1.0,,,,,,,,,0.8,,0.115,0.017,
3,SZE,1,2022,13.9,1.2,11.0,,0.086,0.048,63,49,61,5.3,1039,12098,,,,,,0.531,,,1.1,1.1,0.9,0.038,1656,0.137,0.053,0.074,0.3,0.2,2.1,0.2,1.9,30,0.028,0.023,51,5.8,-0.616,0.6,0.8,0.053,1.8,,,,,,,,,0.9,,0.061,0.019,
4,SZE,4,2021,14.1,1.2,11.2,,0.084,0.047,61,23,85,,1001,11873,,,,,,0.517,,,1.1,1.1,1.0,0.127,1560,0.133,0.053,0.077,0.4,0.2,1.6,0.3,1.9,18,0.108,0.085,-1,6.0,-0.936,0.6,0.8,0.053,1.7,,,,,,,,,0.9,,-0.153,-0.04,
5,SZE,3,2021,16.2,1.2,9.4,,0.074,0.046,98,36,54,-6.2,888,12366,,,,,,0.569,,,1.3,1.3,1.1,-0.093,1841,0.174,0.1,0.107,0.3,0.1,0.9,0.2,1.8,52,0.067,0.056,80,3.7,-1.597,0.6,0.8,0.1,1.3,,,,,,,,,0.8,,-0.131,0.018,
6,SZE,2,2021,13.5,1.1,7.3,,0.08,0.051,101,27,60,14.0,979,12147,,,,,,0.568,,,1.3,1.3,1.2,-0.11,2119,0.126,0.077,0.077,0.2,0.1,0.7,0.4,1.8,63,0.102,0.089,68,3.6,-1.285,0.7,0.8,0.077,1.2,,,,,,,,,0.8,,-0.051,0.009,
7,SZE,1,2021,13.1,1.2,7.0,,0.092,0.061,127,33,36,13.0,1100,12035,,,,,,0.599,,,1.5,1.6,1.4,-0.06,2232,0.186,0.08,0.091,0.2,0.1,0.6,0.2,1.7,102,0.054,0.048,123,2.9,-1.599,0.7,0.8,0.08,1.5,,,,,,,,,0.7,,0.007,0.016,
8,SZE,4,2020,11.9,1.2,6.2,,0.099,0.065,122,12,58,88.0,1171,11848,,,,,,0.6,,,1.5,1.5,1.4,-0.066,2217,0.117,0.056,0.047,0.1,0.0,0.2,0.0,1.7,100,0.261,0.217,77,3.0,-0.478,0.7,0.7,0.056,1.2,,,,,,,,,0.7,,-0.07,0.007,
9,SZE,3,2020,8.0,0.9,6.3,,0.108,0.076,137,28,31,,1254,11761,,,,,,0.684,,,2.2,1.9,1.7,0.05,2383,0.197,0.101,0.092,0.0,0.0,0.0,,1.5,140,0.034,0.026,134,2.7,-0.624,0.8,0.8,0.101,1.2,,,,,,,,,0.5,,0.059,-0.04,
10,SZE,2,2020,7.3,0.7,4.6,,0.099,0.07,155,28,29,,1193,12249,,,,,,0.712,,,2.5,2.1,1.9,0.076,2251,0.211,0.137,0.144,0.0,0.0,0.0,,1.4,158,0.045,0.05,153,2.4,-0.398,0.7,0.8,0.137,1.3,,,,,,,,,0.4,,0.028,0.022,
11,SZE,1,2020,7.2,0.7,4.1,,0.094,0.069,145,18,25,,1109,11984,,,,,,0.738,,,2.8,2.2,2.1,0.012,2190,0.179,0.071,0.094,0.0,0.0,0.0,,1.4,156,0.049,0.061,138,2.5,-0.157,0.8,0.8,0.071,1.6,,,,,,,,,0.4,,-0.022,0.017,
12,SZE,4,2019,8.2,0.8,3.3,,0.095,0.068,138,10,32,,1096,11785,,,,,,0.73,,,2.7,2.2,2.2,0.061,2239,0.23,0.168,0.072,0.0,0.0,0.0,,1.4,162,0.153,0.194,115,2.7,-0.185,0.8,1.2,0.168,0.5,,,,,,,,,0.4,,0.229,0.024,
13,SZE,3,2019,10.3,0.9,4.5,,0.091,0.065,148,21,28,,1033,11509,,,,,,0.72,,,2.6,2.1,2.0,0.007,1822,0.15,0.07,0.083,0.0,0.0,0.0,,1.4,149,0.163,0.187,141,2.5,-0.177,0.8,1.2,0.07,1.5,,,,,,,,,0.4,,-0.112,-0.038,
14,SZE,2,2019,7.5,0.6,5.5,,0.086,0.062,160,17,24,,1025,11958,,,,,,0.715,,,2.5,2.1,2.0,0.056,2052,0.167,0.109,0.109,0.0,0.0,0.1,,1.4,157,0.037,0.037,154,2.3,-0.179,0.7,1.2,0.109,1.2,,,,,,,,,0.4,,0.134,0.028,
15,SZE,1,2019,7.4,0.6,4.9,,0.084,0.062,127,15,18,,970,11633,,,,,,0.732,,,2.7,2.1,2.0,0.019,1810,0.18,0.084,0.088,0.0,0.0,0.0,,1.4,142,0.137,0.153,124,2.9,-0.226,0.8,1.2,0.084,1.3,,,,,,,,,0.4,,0.01,0.02,
16,SZE,4,2018,7.6,0.6,4.3,,0.084,0.059,196,8,27,,952,11407,,,,,,0.699,,,2.4,1.9,1.9,0.193,1792,0.147,0.066,0.062,0.0,0.0,0.0,,1.4,132,0.195,0.257,178,1.9,-0.281,0.7,1.2,0.066,1.2,,,,,,,,,0.4,,0.087,0.009,
17,SZE,3,2018,7.9,0.6,3.8,,0.07,0.051,208,15,19,175.1,798,11300,,,,,,0.714,,,2.5,2.0,1.8,-0.064,1648,0.166,0.091,0.084,0.0,0.0,0.0,,1.4,130,0.088,0.138,204,1.8,-0.298,0.7,1.3,0.091,1.2,,,,,,,,,0.4,,0.107,-0.039,
18,SZE,2,2018,6.8,0.5,4.3,,0.075,0.054,191,12,16,850.5,853,11757,,,,,,0.729,,,2.7,2.1,2.0,-0.053,1489,0.184,0.103,0.096,0.0,0.0,0.1,,1.4,141,0.143,0.243,187,1.9,-0.32,0.7,1.2,0.103,1.2,,,,,,,,,0.4,,-0.132,0.013,
19,SZE,1,2018,6.7,0.5,2.9,,0.078,0.058,157,13,12,,901,11601,,,,,,0.751,,,3.0,2.2,2.1,0.011,1715,0.182,0.09,0.087,0.0,0.0,0.0,,1.3,135,0.225,0.348,158,2.3,-0.279,0.7,1.2,0.09,1.1,,,,,,,,,0.3,,0.143,0.02,
20,SZE,4,2017,6.7,0.5,3.2,,0.078,0.055,207,9,31,,891,11375,,,,,,0.719,,,2.6,2.0,2.0,-0.092,1501,0.119,0.036,0.02,0.0,0.0,0.0,,1.4,134,0.141,0.216,185,1.8,-0.14,0.7,2.6,0.036,1.4,,,,,,,,,0.4,,0.165,-0.005,
21,SZE,3,2017,5.9,0.5,4.4,,0.087,0.063,206,11,9,,982,11430,,,,,,0.728,,,2.7,2.1,2.0,-0.107,1289,0.2,0.116,0.111,0.0,0.0,0.0,,1.4,136,0.16,0.228,208,1.8,-0.09,0.7,1.1,0.116,1.1,,,,,,,,,0.4,,0.008,0.033,
22,SZE,2,2017,6.0,0.6,4.0,,0.1,0.071,165,12,13,,1099,11061,,,,,,0.721,,,2.6,1.9,1.9,-0.222,1278,0.191,0.109,0.103,0.0,0.0,0.0,,1.4,120,0.212,0.313,163,2.2,-0.041,0.7,1.2,0.109,1.1,,,,,,,,,0.4,,-0.148,-0.042,
