,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TA9,4,2022,7.7,1.0,3.1,,0.133,0.013,18,44,75,1.4,1633,12339,,,,,,0.096,,,0.1,1.1,0.9,-0.042,1643,0.042,0.009,0.007,0.3,0.0,4.3,,10.4,111,4.817,4.755,-14,20.6,-0.075,1.5,0.8,0.009,1.0,,,,,,,,,9.4,,-0.274,0.043,
1,TA9,3,2022,9.2,1.3,2.3,,0.147,0.014,20,137,73,89.5,1705,11831,,,,,,0.081,,,0.1,1.1,0.7,0.236,2262,0.044,0.008,0.012,0.2,0.0,4.2,,12.3,89,0.866,0.819,84,17.8,-0.076,1.0,0.8,0.008,1.8,,,,,,,,,11.3,,0.009,0.047,
2,TA9,2,2022,10.1,1.2,-14.2,,0.123,0.011,28,172,88,3.1,1380,11303,,,,,,0.065,,,0.1,1.0,0.7,-0.111,2242,0.072,0.016,0.012,0.4,0.0,4.3,,15.4,93,4.365,3.796,111,13.2,-0.041,0.7,0.8,0.016,0.9,,,,,,,,,14.4,,-0.134,-0.084,
3,TA9,1,2022,9.7,1.2,4.2,,0.126,0.016,30,124,71,-11.2,1552,12335,,,,,,0.112,,,0.1,1.1,0.7,-0.017,2587,0.067,,0.012,1.0,0.1,4.5,,8.9,107,1.377,1.14,82,12.3,-0.006,1.0,0.8,,-1.3,,,,,,,,,7.9,,-0.021,0.005,
4,TA9,4,2021,7.8,1.0,11.2,,0.129,0.015,28,84,119,2.7,1578,12278,,,,,,0.107,,,0.1,1.1,0.8,0.053,2643,0.068,0.03,0.016,0.9,0.1,4.6,,9.4,103,3.295,2.235,-7,13.0,-0.005,1.0,0.8,0.03,0.7,,,,,,,,,8.4,,-0.025,0.075,
5,TA9,3,2021,7.8,1.0,9.0,,0.131,0.016,23,133,93,2.9,1499,11420,,,,,,0.109,,,0.1,1.1,0.7,-0.179,2711,0.076,0.028,0.016,1.4,0.2,6.7,,9.1,85,0.4,0.354,63,15.6,-0.199,1.0,0.8,0.028,0.7,,,,,,,,,8.1,,-0.163,0.018,
6,TA9,2,2021,5.7,0.9,8.1,,0.155,0.02,20,104,89,4.1,1826,11218,,,,,,0.127,,,0.1,1.1,0.7,-0.026,3237,0.057,0.026,0.016,1.3,0.2,5.9,,7.9,81,0.191,0.158,35,18.4,-0.186,1.3,0.8,0.026,0.8,,,,,,,,,6.9,,-0.087,-0.087,
7,TA9,1,2021,5.8,0.9,6.7,,0.155,0.02,20,106,82,390.7,1875,12287,,,,,,0.146,,,0.2,1.1,0.8,-0.001,3547,0.079,0.0,0.016,0.8,0.1,4.8,,6.8,91,0.423,0.465,43,18.4,-0.227,1.3,0.8,0.0,49.4,,,,,,,,,5.8,,-0.035,0.007,
8,TA9,4,2020,5.5,0.8,5.8,,0.156,0.02,19,78,103,2.2,1877,12203,,,,,,0.132,,,0.2,1.1,0.9,-0.157,3675,0.069,0.031,0.014,1.1,0.2,5.4,,7.6,86,1.21,1.367,-6,18.9,-0.209,1.3,0.8,0.031,0.6,,,,,,,,,6.6,,-0.057,0.068,
9,TA9,3,2020,3.2,0.6,5.5,,0.2,0.022,15,121,86,2.9,2227,11425,,,,,,0.13,,,0.1,1.1,0.7,0.123,3898,0.06,0.029,0.017,1.8,0.2,5.8,,7.7,73,0.869,0.919,50,24.8,-0.068,1.2,0.8,0.029,0.8,,,,,,,,,6.7,,0.233,-0.078,
10,TA9,2,2020,3.7,0.6,6.6,,0.173,0.019,16,134,94,2.4,1982,12396,,,,,,0.13,,,0.1,1.1,0.7,0.088,3162,0.084,0.036,0.017,1.9,0.2,7.7,,7.7,76,0.893,1.272,56,22.8,-0.063,1.1,0.8,0.036,0.6,,,,,,,,,6.7,,0.207,0.041,
