,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TBX,4,2022,97.1,1.7,120.1,,0.017,0.014,252,297,72.0,,229,13490,,,,,,0.788,,,3.7,3.5,1.5,0.054,185.0,0.128,,,0.0,0.0,0.0,,1.3,14,0.029,0.017,477.0,1.5,-0.003,0.8,,,0.6,,,,,,,,,0.3,,-0.102,-0.004,
1,TBX,3,2022,102.4,1.6,107.8,,0.016,0.013,276,340,60.0,,217,13546,,,,,,0.794,,,3.9,3.6,1.4,-5.941,206.0,0.285,0.059,0.064,0.0,0.0,0.0,,1.3,14,0.004,0.002,556.0,1.3,-0.136,0.7,1.0,0.059,1.1,,,,,,,,,0.3,,-5.315,0.014,
2,TBX,2,2022,-505.8,1.7,-433.0,,-0.003,-0.003,261,333,57.0,,-44,13360,,,,,,0.82,,,4.6,4.0,1.2,-2.95,-48.0,0.279,0.025,0.024,0.0,0.0,-2.7,,1.2,13,0.119,0.071,537.0,1.4,-0.123,0.7,1.0,0.025,1.0,,,,,,,,,0.2,,-4.187,0.005,
3,TBX,1,2022,986.0,1.7,1482.0,,0.002,0.001,245,350,59.0,,22,13293,,,,,,0.803,,,4.1,3.5,0.8,-0.696,15.0,0.234,0.013,0.012,0.0,0.0,34.2,,1.2,12,0.005,0.003,537.0,1.5,-0.11,0.7,1.0,0.013,0.9,,,,,,,,,0.2,,-0.723,0.002,
4,TBX,4,2021,299.4,1.7,366.9,,0.006,0.004,259,375,58.0,,74,13261,,,,,,0.803,,,4.1,3.7,0.9,0.084,54.0,0.133,,,0.0,0.0,17.4,,1.2,13,0.002,0.001,575.0,1.4,-0.116,0.7,,,1.0,,,,,,,,,0.2,,0.089,-0.005,
5,TBX,3,2021,324.7,1.7,399.6,,0.005,0.004,252,406,84.0,,68,13328,,,,,,0.779,,,3.5,3.4,0.9,15.689,50.0,0.193,,,0.0,0.0,26.6,,1.3,14,0.183,0.109,573.0,1.4,-0.069,0.6,,,0.9,,,,,,,,,0.3,,-3.569,-0.006,
6,TBX,2,2021,5418.6,1.7,-1165.5,,0.0,0.0,239,412,127.0,14.9,4,13404,,,,,,0.785,,,3.6,3.4,0.8,-1.01,-19.0,0.32,0.048,0.049,0.0,0.0,-67.3,,1.3,13,0.001,0.001,525.0,1.5,-0.064,0.7,1.0,0.048,1.0,,,,,,,,,0.3,,-0.954,0.01,
7,TBX,1,2021,-52.2,1.7,-55.4,,-0.032,-0.022,219,383,114.0,,-427,13270,,,,,,0.759,,,3.2,3.0,0.6,-0.687,-420.0,0.268,0.032,0.036,0.1,0.1,-3.9,,1.3,13,0.007,0.004,488.0,1.7,-0.06,0.7,1.0,0.032,1.1,,,,,,,,,0.3,,-0.678,0.006,
8,TBX,4,2020,-16.3,1.7,-19.1,,-0.097,-0.057,218,353,135.0,,-1364,13188,,,,,,0.73,,,2.7,2.7,0.6,-0.104,-1302.0,0.216,,,0.1,0.1,-3.7,,1.4,12,0.001,0.001,436.0,1.7,-0.106,0.6,,,1.0,,,,,,,,,0.4,,-0.06,-0.006,
9,TBX,3,2020,-14.6,1.7,-18.0,,-0.105,-0.052,214,339,244.0,,-1523,13261,,,,,,0.638,,,1.8,2.0,0.6,0.124,-1386.0,0.172,,,0.2,0.1,-3.7,,1.6,12,0.004,0.002,309.0,1.7,-0.056,0.5,,,0.9,,,,,,,,,0.6,,0.35,-0.011,
10,TBX,2,2020,-16.4,1.7,-24.0,,-0.093,-0.043,161,262,118.0,-6.9,-1355,13401,,,,,,0.625,,,1.7,1.9,0.5,0.364,-1027.0,0.179,,,0.2,0.1,-9.2,,1.6,11,0.002,0.001,305.0,2.3,-0.052,0.6,,,1.1,,,,,,,,,0.6,,-7.217,-0.022,
11,TBX,1,2020,-22.4,1.6,145.3,,-0.068,-0.033,90,144,37.0,-12.2,-994,13699,,,,,,0.618,,,1.6,1.9,0.4,9.105,165.0,0.011,,,0.2,0.1,56.8,,1.6,11,0.037,0.023,197.0,4.0,-0.058,1.1,,,1.1,,,,,,,,,0.6,,-0.909,-0.082,
12,TBX,4,2019,-228.7,1.5,15.0,,-0.006,-0.003,126,110,57.0,-1.0,-98,14924,,,,,,0.503,,,1.0,1.5,0.7,-1.641,1822.0,0.141,-0.033,-0.049,0.5,0.3,6.6,,2.0,12,0.271,0.181,178.0,2.9,-0.01,1.1,1.1,-0.033,1.6,,,,,,,,,1.0,,-0.194,-0.045,
13,TBX,3,2019,91.9,0.9,12.2,,0.01,0.004,109,85,60.0,0.8,153,15628,,,,,,0.409,,,0.7,1.4,0.9,-0.297,2259.0,0.117,0.027,0.003,0.5,0.2,5.3,,2.4,14,0.169,0.118,134.0,3.3,-0.057,1.3,1.2,0.027,0.2,,,,,,,,,1.4,,-0.083,0.002,
14,TBX,2,2019,41.2,0.6,13.6,,0.014,0.005,133,79,39.0,1.2,218,15601,,,,,,0.372,,,0.6,1.3,0.9,-0.317,2463.0,0.076,0.026,0.004,1.1,0.4,6.7,,2.7,13,0.0,0.0,173.0,2.7,-0.053,1.3,1.3,0.026,0.2,,,,,,,,,1.7,,0.2,0.004,
15,TBX,1,2019,28.2,0.6,12.0,,0.021,0.008,117,96,34.0,1.2,319,15537,,,,,,0.417,,,0.7,1.4,0.9,-0.053,2053.0,0.121,0.039,0.005,1.1,0.4,8.0,,2.4,13,0.175,0.251,179.0,3.1,-0.042,1.1,1.2,0.039,0.2,,,,,,,,,1.4,,0.322,0.001,
