,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TCO,4,2022,4.0,0.5,-507.5,,0.128,0.108,75,2,2,-2.6,2020,16901,,,,,,0.976,,,43.4,44.2,44.1,-2.323,-32,0.014,,0.26,0.0,0.0,-37.4,,1.0,314,0.006,0.013,75,4.8,0.0,3.9,0.9,,-21.2,,,,,,,,,0.0,,-0.981,0.145,
1,TCO,3,2022,-6.2,0.6,-9.4,,-0.097,-0.072,71,1,3,-2.3,-1527,14757,,,,,,0.6,,,2.0,2.9,2.8,1.582,-1679,0.002,,,0.4,0.3,-2.1,191.6,1.7,281,0.057,0.119,69,5.2,-0.203,3.5,,,1.1,,,,,,,,,0.5,,0.261,-0.005,
2,TCO,2,2022,-16.4,0.7,-12.5,,-0.041,-0.031,103,5,3,2.0,-591,14826,,,,,,0.616,,,2.3,3.2,3.0,-1.239,-1331,0.018,0.006,0.004,0.4,0.3,-2.4,196.5,1.6,295,0.056,0.101,105,3.5,-9.11,2.6,0.6,0.006,1.1,,,,,,,,,0.4,,0.384,0.0,
3,TCO,1,2022,7.7,1.3,-14.6,,0.194,0.156,149,13,7,4.1,2480,14830,,,,,,0.751,,,5.5,6.7,6.2,-0.014,-962,0.026,0.01,0.011,0.1,0.1,-1.2,12.0,1.3,301,0.019,0.032,154,2.4,-1.507,1.7,0.8,0.01,1.3,,,,,,,,,0.2,,0.26,0.014,
4,TCO,4,2021,8.8,1.5,-16.0,,0.2,0.157,280,22,18,-105.2,2516,14622,,,,,,0.722,,,4.5,4.9,4.7,-0.435,-763,0.064,,,0.1,0.1,-1.6,17.3,1.4,258,0.03,0.035,284,1.3,-1.493,0.8,,,0.9,,,,,,,,,0.2,,-1.565,-0.132,
5,TCO,3,2021,6.5,1.7,11.8,,0.323,0.297,415,20,32,,4456,16837,,,,,,0.955,,,21.0,17.9,17.9,0.137,1350,0.137,0.059,0.507,0.0,0.0,0.0,,1.0,253,0.116,0.11,402,0.9,-1.662,0.6,0.8,0.059,10.7,,,,,,,,,0.0,,-0.017,0.222,
6,TCO,2,2021,3.4,1.0,19.9,,0.318,0.294,358,22,27,287.3,3919,13774,,,,,,0.962,,,25.5,24.6,24.6,3.057,1372,0.187,0.094,1.453,0.0,0.0,0.0,,1.0,236,0.056,0.027,353,1.0,-0.019,0.7,1.0,0.094,15.9,,,,,,,,,0.0,,0.128,0.283,
7,TCO,1,2021,12.2,1.1,11.0,,0.09,0.081,231,22,30,1092.5,965,10734,,,,,,0.889,,,9.5,6.6,6.1,0.008,1217,0.2,0.097,0.09,0.0,0.0,0.0,,1.1,117,0.3,0.198,223,1.6,-0.008,0.8,0.8,0.097,1.2,,,,,,,,,0.1,,0.003,0.022,
8,TCO,4,2020,11.3,1.0,6.8,,0.092,0.083,224,23,24,248.3,958,10508,,,,,,0.891,,,9.8,7.3,6.6,0.062,1214,0.234,0.105,0.103,0.0,0.0,0.0,,1.1,113,0.322,0.306,223,1.6,-0.009,0.8,0.8,0.105,1.2,,,,,,,,,0.1,,-0.136,-0.021,
9,TCO,3,2020,8.8,0.7,4.6,,0.084,0.075,239,25,26,293.6,902,10733,,,,,,0.868,,,7.5,5.9,5.3,0.035,1405,0.192,0.082,0.113,0.0,0.0,0.0,,1.2,115,0.292,0.337,238,1.5,-0.083,0.7,1.0,0.082,1.4,,,,,,,,,0.1,,-0.182,-0.01,
