,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TCT,4,2022,13.8,1.3,29.0,,0.094,0.089,1669.0,31,104.0,,2262,24914,,,,,,0.931,,,13.4,13.8,13.6,0.032,1052.0,,,,0.0,0.0,0.0,,1.1,304,0.006,0.005,1596.0,0.2,-0.04,0.2,,,0.4,,,,,,,,,0.1,,0.054,-0.031,
1,TCT,3,2022,17.1,1.5,34.9,,0.088,0.082,1825.0,40,105.0,,2193,25700,,,,,,0.936,,,14.6,14.9,14.6,0.272,998.0,0.072,,0.104,0.0,0.0,0.0,,1.1,314,0.027,0.019,1761.0,0.2,-0.032,0.2,0.8,,-0.3,,,,,,,,,0.1,,1.366,0.003,
2,TCT,2,2022,22.3,1.5,65.2,,0.069,0.064,2169.0,15,142.0,,1723,25619,,,,,,0.931,,,13.5,14.0,14.0,0.849,422.0,0.442,0.356,0.664,0.0,0.0,0.0,,1.1,312,0.098,0.084,2042.0,0.2,-0.026,0.1,0.8,0.356,2.3,,,,,,,,,0.1,,-1.759,0.025,
3,TCT,1,2022,49.1,1.8,-62.4,,0.038,0.035,2447.0,14,135.0,,932,25003,,,,,,0.933,,,13.9,14.2,14.2,4.888,-556.0,0.676,0.649,0.635,0.0,0.0,0.0,,1.1,303,0.101,0.068,2326.0,0.1,0.0,0.1,0.8,0.649,1.2,,,,,,,,,0.1,,-0.633,0.079,
4,TCT,4,2021,235.3,1.6,-25.1,,0.007,0.006,2680.0,13,120.0,,158,23181,,,,,,0.964,,,26.7,26.0,25.9,-0.715,-1513.0,,,,0.0,0.0,0.0,,1.0,278,0.143,0.081,2572.0,0.1,0.0,0.1,,,0.5,,,,,,,,,0.0,,0.5,-0.036,
5,TCT,3,2021,53.4,1.2,-35.1,,0.022,0.021,2674.0,21,119.0,,554,24036,,,,,,0.93,,,13.2,13.1,13.0,0.145,-1009.0,,,,0.0,0.0,0.0,,1.1,282,0.127,0.08,2576.0,0.1,-0.004,0.1,,,0.5,,,,,,,,,0.1,,-0.086,-0.016,
6,TCT,2,2021,56.8,1.1,-28.9,,0.019,0.017,2469.0,20,145.0,,484,24425,,,,,,0.928,,,12.9,12.5,12.4,1.214,-1104.0,,,,0.0,0.0,0.0,,1.1,278,0.088,0.063,2345.0,0.1,-0.004,0.1,,,0.3,,,,,,,,,0.1,,-0.24,-0.007,
7,TCT,1,2021,144.7,1.3,-16.2,,0.008,0.007,2515.0,20,146.0,,218,24600,,,,,,0.916,,,10.9,10.4,10.3,3.223,-1452.0,0.428,0.395,0.455,0.0,0.0,-1.1,,1.1,271,0.104,0.098,2389.0,0.1,-0.003,0.1,0.8,0.395,1.4,,,,,,,,,0.1,,-0.119,0.045,
8,TCT,4,2020,578.6,1.3,-14.6,,0.002,0.002,2140.0,21,144.0,,51,23542,,,,,,0.926,,,12.6,11.4,11.3,-1.093,-1648.0,0.411,,0.134,0.0,0.0,0.0,,1.1,249,0.067,0.059,2017.0,0.2,-0.013,0.1,0.9,,-0.1,,,,,,,,,0.1,,-0.3,-0.13,
9,TCT,3,2020,-47.6,1.0,-10.1,,-0.02,-0.019,1880.0,15,58.0,,-558,27068,,,,,,0.974,,,37.5,32.9,32.6,-4.731,-2353.0,,,,0.0,0.0,0.0,,1.0,294,0.102,0.104,1837.0,0.2,-0.039,0.1,,,0.6,,,,,,,,,0.0,,0.69,-0.017,
10,TCT,2,2020,169.1,0.9,-19.9,,0.005,0.005,1290.0,13,50.0,-94.8,149,27527,,,,,,0.947,,,17.8,15.6,15.4,-0.898,-1392.0,,,,0.0,0.0,0.0,,1.1,288,0.049,0.047,1253.0,0.3,-0.175,0.2,,,0.6,,,,,,,,,0.1,,-5.05,-0.016,
11,TCT,1,2020,18.8,1.0,86.8,,0.052,0.046,959.0,14,46.0,14.0,1470,27968,,,,,,0.844,,,5.4,5.3,5.2,-0.72,344.0,0.398,0.284,0.349,0.1,0.1,4.8,,1.2,282,0.015,0.016,927.0,0.4,-0.154,0.2,0.8,0.284,1.5,,,,,,,,,0.2,,-0.934,0.034,
12,TCT,4,2019,7.9,1.5,6.1,,0.206,0.197,1.0,15,49.0,,5251,27057,,,,,,0.94,,,15.7,12.7,12.5,-0.027,5228.0,-0.708,-0.996,-0.523,0.0,0.0,0.0,,1.1,258,0.094,0.074,-32.0,419.1,-0.13,0.5,1.2,-0.996,0.7,,,,,,,,,0.1,,-0.055,-0.021,
13,TCT,3,2019,8.0,1.6,7.5,,0.208,0.193,1.0,13,31.0,,5395,27645,,,,,,0.908,,,9.8,8.1,8.0,-0.071,5533.0,0.119,-0.023,0.113,0.0,0.0,0.0,,1.1,254,0.095,0.06,-17.0,316.2,-0.185,0.5,1.3,-0.023,-6.1,,,,,,,,,0.1,,-0.113,-0.06,
14,TCT,2,2019,8.3,1.6,5.9,,0.219,0.204,2.0,16,14.0,,5810,29395,,,,,,0.936,,,14.6,11.4,11.3,0.057,6237.0,0.321,0.365,0.434,0.0,0.0,0.0,,1.1,268,0.287,0.188,3.0,221.0,-0.075,0.5,1.2,0.365,1.5,,,,,,,,,0.1,,0.049,0.031,
15,TCT,1,2019,10.0,1.9,5.4,,0.211,0.192,3.0,16,25.0,,5496,28522,,,,,,0.927,,,12.6,9.7,9.6,0.01,5946.0,0.74,0.659,0.549,0.0,0.0,0.0,,1.1,251,0.442,0.28,-6.0,120.1,-0.068,0.5,1.3,0.659,1.0,,,,,,,,,0.1,,-0.022,0.197,
16,TCT,4,2018,9.8,2.2,8.6,,0.255,0.245,0.0,25,25.0,,5439,23828,,,,,,0.971,,,33.1,20.5,20.0,-0.106,6079.0,-0.349,-0.711,-0.388,0.0,0.0,0.0,,1.0,180,0.255,0.1,0.0,1072.3,-0.085,0.6,1.2,-0.711,0.7,,,,,,,,,0.0,,-0.126,-0.018,
17,TCT,3,2018,9.2,2.3,7.4,,0.266,0.25,4.0,21,6.0,,6082,24254,,,,,,0.952,,,19.8,12.4,12.2,0.06,6953.0,0.497,0.308,0.314,0.0,0.0,0.0,,1.1,178,0.35,0.142,19.0,89.9,-0.002,0.6,1.3,0.308,1.3,,,,,,,,,0.1,,0.036,0.028,
18,TCT,2,2018,10.1,2.5,8.6,,0.258,0.238,5.0,29,8.0,,5739,23589,,,,,,0.927,,,12.7,7.6,7.5,0.03,6709.0,0.245,0.205,0.258,0.0,0.0,0.0,,1.1,158,0.437,0.175,25.0,75.3,-0.002,0.5,1.2,0.205,1.6,,,,,,,,,0.1,,0.05,-0.002,
19,TCT,1,2018,10.5,2.5,8.5,,0.236,0.213,8.0,50,84.0,,5571,23633,,,,,,0.89,,,8.1,4.8,4.7,-0.023,6391.0,0.913,0.721,0.58,0.0,0.0,0.0,,1.1,143,0.418,0.154,-26.0,45.3,-0.002,0.5,1.3,0.721,1.0,,,,,,,,,0.1,,-0.021,0.253,
