,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TCW,4,2022,6.7,1.7,3.3,,0.257,0.136,76,3,30,12.8,4054,16059,,,,,,0.55,,,1.5,2.2,2.1,0.079,7771,0.238,0.065,0.029,0.2,0.1,0.5,0.4,1.8,210,0.365,0.238,48,4.8,-0.029,1.6,0.4,0.065,1.1,,,,,,,,,0.7,,0.091,-0.016,
1,TCW,3,2022,6.7,1.5,,,0.236,0.114,97,3,40,37.7,3756,16315,,,,,,0.515,,,1.3,2.0,1.9,0.152,7122,0.244,0.162,0.123,0.2,0.1,0.5,0.3,1.9,210,0.329,,59,3.8,-0.1,1.1,0.8,0.162,1.0,,,,,,,,,0.8,,0.071,0.083,
2,TCW,2,2022,8.4,1.8,,,0.219,0.103,90,3,38,16.5,3261,15064,,,,,,0.521,,,1.3,1.9,1.9,-0.036,6649,0.212,0.097,0.074,0.2,0.1,0.6,0.3,1.9,175,0.249,,54,4.1,-0.099,1.0,0.7,0.097,1.0,,,,,,,,,0.8,,-0.038,-0.089,
3,TCW,1,2022,8.8,1.8,,,0.2,0.107,121,3,47,29.1,3383,16528,,,,,,0.535,,,1.4,2.2,2.1,0.009,6912,0.212,0.152,0.113,0.2,0.1,0.7,0.3,1.9,212,0.213,,77,3.0,-0.139,1.0,0.8,0.152,1.0,,,,,,,,,0.7,,-0.017,0.068,
4,TCW,4,2021,9.0,2.0,3.7,,0.211,0.106,108,3,57,,3351,15474,,,,,,0.506,,,1.2,1.9,1.8,-0.161,7032,,,,0.2,0.1,0.7,0.3,2.0,176,0.362,0.227,54,3.4,-0.141,1.0,,,,,,,,,,,,0.8,,-0.144,-0.002,
5,TCW,3,2021,7.6,2.0,3.5,,0.253,0.119,82,2,43,19.3,3996,15508,,,,,,0.452,,,1.0,1.6,1.6,0.001,8212,0.214,0.156,0.112,0.3,0.1,0.6,0.4,2.2,173,0.519,0.281,41,4.4,-0.16,1.2,0.7,0.156,1.0,,,,,,,,,1.0,,-0.019,0.051,
6,TCW,2,2021,7.2,1.9,3.8,,0.265,0.121,72,2,36,15.3,3990,14759,,,,,,0.425,,,0.9,1.5,1.5,0.019,8369,0.184,0.114,0.091,0.3,0.1,0.6,0.4,2.4,149,0.475,0.229,37,5.1,-0.183,1.3,0.8,0.114,1.0,,,,,,,,,1.2,,-0.016,-0.149,
7,TCW,1,2021,6.6,1.5,3.5,,0.225,0.123,100,2,39,21.7,3916,17353,,,,,,0.533,,,1.3,2.1,2.1,0.079,8503,0.228,0.163,0.122,0.3,0.2,0.7,0.3,1.9,215,0.341,0.213,63,3.7,-0.172,1.3,0.8,0.163,1.0,,,,,,,,,0.7,,-0.101,0.06,
8,TCW,4,2020,6.3,1.4,3.3,,0.22,0.113,91,2,44,11.7,3628,16370,,,,,,0.502,,,1.2,1.9,1.9,-0.045,9457,0.231,0.091,0.063,0.3,0.2,0.7,0.4,2.0,190,0.462,0.277,49,4.0,-0.156,1.2,0.7,0.091,1.0,,,,,,,,,0.8,,0.075,0.015,
9,TCW,3,2020,4.7,1.1,3.1,,0.236,0.121,90,2,40,16.7,3799,16125,,,,,,0.494,,,1.2,1.9,1.9,0.018,8794,0.22,0.147,0.108,0.3,0.2,0.7,0.4,2.0,197,0.53,0.345,51,4.1,-0.148,1.2,0.7,0.147,1.0,,,,,,,,,0.9,,0.029,0.053,
10,TCW,2,2020,4.4,1.1,2.6,,0.244,0.122,80,2,38,12.4,3732,15309,,,,,,0.489,,,1.1,1.9,1.8,0.032,8547,0.206,0.13,0.098,0.3,0.2,0.9,0.5,2.0,176,0.553,0.424,44,4.5,-0.103,1.2,0.7,0.13,1.0,,,,,,,,,0.9,,0.002,-0.12,
11,TCW,1,2020,3.3,0.7,2.5,,0.216,0.119,96,1,32,13.6,3616,17394,,,,,,0.559,,,1.5,2.5,2.5,0.112,8530,0.212,0.151,0.11,0.3,0.2,0.9,0.4,1.8,222,0.387,0.397,65,3.8,-0.079,1.2,0.8,0.151,1.0,,,,,,,,,0.7,,-0.095,0.047,
12,TCW,4,2019,4.6,0.9,2.8,,0.2,0.105,60,2,33,10.8,3253,16608,,,,,,0.53,,,1.3,2.1,2.1,0.017,9422,0.26,0.121,0.086,0.3,0.2,1.0,0.4,1.9,192,0.451,0.401,28,6.1,-0.08,1.1,1.5,0.121,1.1,,,,,,,,,0.7,,-0.107,0.036,
13,TCW,3,2019,4.5,0.9,2.1,,0.204,0.104,67,2,37,11.4,3199,16038,,,,,,0.528,,,1.3,2.1,2.1,0.043,10553,0.209,0.154,0.112,0.4,0.2,0.9,0.3,1.9,174,0.461,0.465,32,5.4,-0.033,1.1,1.3,0.154,0.9,,,,,,,,,0.8,,-0.007,0.053,
14,TCW,2,2019,3.8,0.8,2.2,,0.206,0.099,63,2,38,8.1,3066,15233,,,,,,0.507,,,1.2,1.9,1.9,0.069,10628,0.191,0.113,0.088,0.4,0.2,1.1,0.4,2.0,148,0.522,0.472,26,5.8,-0.038,1.1,1.4,0.113,1.1,,,,,,,,,0.8,,0.03,-0.051,
