,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TDF,4,2022,7.1,0.9,8.2,,0.127,0.068,125,265,65,10.3,3178,25982,,,,,,0.484,,,0.9,1.4,0.5,-0.065,4210,0.338,0.239,0.185,0.5,0.3,2.5,1.6,2.1,169,0.018,0.021,325,2.9,-1.474,0.5,0.8,0.239,1.0,,,,,,,,,1.1,,-0.052,0.045,
1,TDF,3,2022,7.4,1.0,6.5,,0.143,0.069,181,302,74,4.9,3400,24868,,,,,,0.423,,,0.7,1.7,0.9,0.033,4441,0.264,0.16,0.11,0.5,0.2,2.2,2.3,2.4,317,0.042,0.063,410,2.0,-0.903,0.5,0.8,0.16,0.9,,,,,,,,,1.4,,0.058,-0.03,
2,TDF,2,2022,8.5,1.1,7.3,,0.137,0.072,173,297,84,10.0,3291,25635,,,,,,0.476,,,0.9,1.6,0.8,0.055,4196,0.295,0.18,0.137,0.3,0.2,1.8,11.2,2.1,247,0.033,0.037,387,2.1,-0.858,0.5,0.8,0.18,1.0,,,,,,,,,1.1,,0.051,0.031,
3,TDF,1,2022,8.7,1.1,9.0,,0.13,0.071,110,294,250,7.4,3121,24854,,,,,,0.496,,,1.0,0.9,0.5,-0.023,3993,0.226,0.139,0.106,0.3,0.2,2.1,10.2,2.0,-41,0.017,0.015,155,3.3,-0.821,0.5,0.8,0.139,1.0,,,,,,,,,1.0,,-0.017,0.025,
4,TDF,4,2021,7.4,1.0,8.4,,0.136,0.081,169,287,100,17.4,3193,24254,,,,,,0.614,,,1.6,1.8,0.9,0.314,4064,0.304,0.232,0.185,0.3,0.2,1.5,7.4,1.6,302,0.014,0.012,356,2.2,-0.66,0.7,0.8,0.232,1.0,,,,,,,,,0.6,,-0.01,0.067,
5,TDF,3,2021,8.2,0.9,10.1,,0.126,0.06,168,353,64,7.2,2429,22741,,,,,,0.58,,,1.4,1.9,0.8,-0.076,4105,0.247,0.152,0.122,0.3,0.2,2.8,7.5,1.7,401,0.01,0.009,456,2.2,-0.305,0.6,0.8,0.152,1.0,,,,,,,,,0.7,,-0.097,0.02,
6,TDF,2,2021,7.9,0.9,8.3,,0.14,0.073,160,312,55,8.3,2628,22303,,,,,,0.584,,,1.4,2.0,0.8,-0.049,4547,0.252,0.156,0.116,0.3,0.2,2.0,6.3,1.7,402,0.016,0.016,418,2.3,-0.303,0.7,0.8,0.156,0.9,,,,,,,,,0.7,,-0.057,-0.042,
7,TDF,1,2021,6.7,0.8,8.0,,0.142,0.079,149,247,41,8.7,2765,23292,,,,,,0.606,,,1.5,2.1,0.9,0.139,4822,0.125,0.083,0.065,0.4,0.2,2.1,8.4,1.6,445,0.008,0.009,355,2.5,0.094,0.7,0.8,0.083,1.0,,,,,,,,,0.6,,0.114,0.028,
8,TDF,4,2020,6.0,0.6,7.6,,0.128,0.069,190,399,43,8.6,2428,22661,,,,,,0.575,,,1.4,2.0,0.6,-0.118,4328,0.269,0.185,0.153,0.2,0.1,1.9,4.8,1.7,442,0.007,0.008,546,1.9,-0.013,0.5,0.8,0.185,1.0,,,,,,,,,0.7,,-0.426,0.424,
9,TDF,3,2020,3.8,0.7,6.4,,0.184,0.077,98,352,44,8.7,2753,15916,,,,,,0.386,,,0.6,1.4,0.5,-0.008,7539,0.292,0.194,0.141,0.7,0.3,2.0,9.5,2.6,245,0.322,0.271,407,3.7,0.004,0.6,0.8,0.194,0.9,,,,,,,,,1.6,,0.007,0.042,
10,TDF,2,2020,3.4,0.6,5.6,,0.194,0.089,101,305,49,7.0,2777,15279,,,,,,0.45,,,0.8,1.5,0.5,0.024,7487,0.262,0.178,0.129,0.5,0.2,1.5,10.3,2.2,239,0.02,0.023,358,3.6,0.004,0.7,0.8,0.178,0.9,,,,,,,,,1.2,,0.059,-0.016,
