,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TDH,4,2022,30.9,0.9,7.4,,0.026,0.009,126,1585,-939,,116,4042,,,,,,0.318,,,0.5,1.0,0.7,-1.018,627.0,0.608,0.382,,0.0,0.0,0.0,,3.1,-27,0.006,0.007,2651,2.9,1.638,0.1,,0.382,-0.1,,,,,,,,,2.1,,-1.232,-0.046,
1,TDH,3,2022,-0.8,1.2,-1.5,,-0.737,-0.235,1601,801,626,,-6540,4237,,,,,,0.235,,,0.4,0.8,0.5,0.042,-2702.0,0.49,0.878,0.127,0.0,0.0,-0.4,,4.3,-233,0.045,0.08,1776,0.2,-0.028,0.0,0.5,0.878,0.3,,,,,,,,,2.3,,-0.053,-0.014,
2,TDH,2,2022,-0.9,1.3,-1.5,,-0.698,-0.23,1602,731,599,,-6279,4295,,,,,,0.269,,,0.5,1.0,0.6,0.37,-2853.0,0.622,0.068,,0.0,0.0,-0.6,,3.7,30,0.072,0.117,1734,0.2,0.14,0.0,,0.068,-13.6,,,,,,,,,1.9,,-0.054,0.024,
3,TDH,1,2022,-2.7,3.0,-2.4,,-0.563,-0.155,245,638,-5153,,-4582,4196,,,,,,0.25,,,0.5,1.0,0.7,-0.104,-3015.0,,0.34,3.008,0.0,0.0,-0.8,,4.0,39,0.049,0.045,6036,1.5,0.009,0.1,1.0,0.34,8.8,,,,,,,,,2.0,,0.243,-0.132,
4,TDH,4,2021,-2.6,2.8,-8.3,,-0.509,-0.162,477,475,41553,-111.6,-5114,4832,,,,,,0.345,,,0.9,1.2,0.6,-4.23,-2425.0,,,,0.0,0.0,-1.9,,2.9,150,0.04,0.027,-40600,0.8,0.0,0.1,,,2.4,,,,,,,,,1.1,,-2.297,-0.642,
5,TDH,3,2021,7.6,0.9,11.0,,0.11,0.038,205,367,542,-0.9,1583,13500,,,,,,0.359,,,1.5,1.7,1.3,0.089,1869.0,0.113,,0.942,0.1,0.1,3.6,2.1,2.8,953,0.037,0.083,30,1.8,0.001,0.3,4.6,,-1.4,,,,,,,,,0.7,,0.022,-0.015,
6,TDH,2,2021,5.0,0.5,14.4,,0.1,0.034,176,301,237,-1.4,1454,13709,,,,,,0.354,,,1.3,1.5,1.2,-14.599,1829.0,0.016,,1.576,0.2,0.1,4.2,3.7,2.8,820,0.044,0.07,240,2.1,-0.028,0.3,0.8,,-10.5,,,,,,,,,0.8,,0.038,0.134,
7,TDH,1,2021,-70.3,0.6,11.8,,-0.008,-0.002,43,228,85,3.3,-106,12089,,,,,,0.286,,,0.9,1.1,0.7,-0.593,1762.0,0.301,0.206,,0.2,0.1,4.8,5.4,3.5,213,0.051,0.13,185,8.5,-0.005,0.3,,0.206,0.7,,,,,,,,,1.1,,0.663,-0.209,
8,TDH,4,2020,-38.6,0.7,25.6,,-0.017,-0.005,172,213,68,4.9,-262,15277,,,,,,0.311,,,0.9,1.5,1.1,-1.337,1060.0,0.232,0.176,,0.4,0.2,10.5,0.9,3.2,1125,0.09,0.286,317,2.1,-0.004,0.4,,0.176,0.4,,,,,,,,,1.1,,-4.0,-0.003,
9,TDH,3,2020,9.9,0.5,-77.4,,0.052,0.017,111,288,55,-2.0,779,15320,,,,,,0.331,,,0.9,1.2,0.6,0.109,-353.0,0.005,,0.09,0.5,0.2,-30.8,1.8,3.0,442,0.013,0.038,344,3.3,-0.004,0.3,1.2,,-0.6,,,,,,,,,1.1,,-3.592,-0.002,
10,TDH,2,2020,10.0,0.5,229.3,,0.046,0.016,79,154,33,-1.3,702,15358,,,,,,0.335,,,1.0,1.3,0.6,-0.328,136.0,0.03,,,0.5,0.2,92.7,2.6,3.0,532,0.027,0.083,200,4.6,0.013,0.5,,,0.1,,,,,,,,,1.0,,-0.76,-0.019,
11,TDH,1,2020,4.6,0.3,54.8,,0.068,0.024,35,82,26,-0.4,1046,15660,,,,,,0.34,,,1.0,1.1,0.6,-0.244,569.0,0.054,,,0.5,0.2,21.1,3.2,2.9,192,0.021,0.069,91,10.4,0.013,0.8,,,2.4,,,,,,,,,1.0,,-0.178,0.004,
12,TDH,4,2019,6.0,0.5,42.6,,0.089,0.031,46,81,28,-0.1,1383,15601,,,,,,0.329,,,0.9,1.3,0.9,-0.013,692.0,0.13,-0.008,0.171,0.5,0.2,18.1,4.5,3.0,732,0.035,0.117,99,7.9,-0.002,0.8,1.3,-0.008,-28.6,,,,,,,,,1.1,,-0.503,0.065,
13,TDH,3,2019,6.4,0.6,22.0,,0.096,0.034,29,81,20,1.5,1401,14646,,,,,,0.329,,,1.0,1.3,0.7,0.008,1393.0,0.03,0.016,0.007,0.4,0.2,7.6,4.0,3.0,602,0.009,0.026,90,12.6,0.072,0.9,1.5,0.016,0.7,,,,,,,,,1.0,,0.123,-0.018,
14,TDH,2,2019,5.9,0.5,24.7,,0.094,0.035,37,71,21,0.3,1390,14917,,,,,,0.334,,,1.0,1.3,0.9,-0.055,1241.0,0.016,0.003,0.021,0.4,0.2,8.8,4.1,3.0,636,0.1,0.266,88,9.8,-0.007,0.8,2.0,0.003,13.7,,,,,,,,,1.0,,-0.054,-0.003,
15,TDH,1,2019,5.2,0.5,22.1,,0.098,0.044,37,101,25,0.4,1471,14958,,,,,,0.359,,,1.1,1.3,0.9,-0.052,1311.0,0.032,0.008,0.029,0.4,0.2,7.1,2.2,2.8,579,0.059,0.17,113,9.9,-0.028,0.7,0.9,0.008,2.9,,,,,,,,,0.9,,0.327,-0.027,
16,TDH,4,2018,4.3,0.4,31.6,,0.102,0.046,51,92,28,3.7,1552,15379,,,,,,0.374,,,1.2,1.3,0.9,1.047,988.0,0.169,0.097,0.146,0.4,0.2,9.7,2.8,2.7,564,0.073,0.189,115,7.2,-0.006,0.6,1.2,0.097,1.8,,,,,,,,,0.8,,1.836,0.056,
17,TDH,3,2018,10.6,0.6,85.2,,0.051,0.024,49,97,27,-0.2,758,14567,,,,,,0.385,,,1.4,1.4,0.9,-0.281,348.0,0.042,-0.007,0.011,0.4,0.2,25.7,2.3,2.6,489,0.041,0.118,119,7.4,-0.136,0.6,1.4,-0.007,-2.4,,,,,,,,,0.7,,-0.528,-0.016,
18,TDH,2,2018,8.8,0.6,46.1,,0.071,0.035,35,91,27,0.9,1055,14809,,,,,,0.413,,,1.5,1.6,1.2,0.002,738.0,0.093,0.024,0.074,0.3,0.2,11.4,2.6,2.4,732,0.041,0.117,99,10.4,-0.093,0.7,1.0,0.024,3.2,,,,,,,,,0.6,,-0.463,-0.009,
19,TDH,1,2018,9.1,0.6,14.6,,0.07,0.041,31,77,17,-1.2,1052,14945,,,,,,0.591,,,1.8,2.1,1.4,-0.094,1375.0,0.009,-0.029,0.053,0.4,0.2,6.0,1.7,1.7,847,0.055,0.102,92,11.7,-0.22,0.7,1.1,-0.029,-2.1,,,,,,,,,0.6,,-0.237,-0.005,
20,TDH,4,2017,7.9,0.6,12.1,,0.078,0.046,50,98,25,0.7,1162,15020,,,,,,0.571,,,1.6,1.7,1.3,-0.201,1801.0,0.124,0.028,0.008,0.3,0.2,4.3,2.4,1.8,647,0.053,0.083,123,7.4,-0.196,0.6,1.8,0.028,0.5,,,,,,,,,0.6,,-0.167,0.003,
21,TDH,3,2017,6.6,0.6,11.0,,0.098,0.057,61,109,27,3.5,1454,14976,,,,,,0.583,,,1.6,1.9,1.4,0.256,2161.0,0.095,0.052,0.056,0.3,0.2,3.8,1.1,1.7,725,0.054,0.074,143,6.0,-0.199,0.6,1.2,0.052,1.3,,,,,,,,,0.6,,0.16,0.08,
22,TDH,2,2017,9.0,0.8,12.2,,0.079,0.047,60,136,27,3.6,1157,13863,,,,,,0.566,,,1.7,2.1,1.4,-0.025,1863.0,0.17,0.127,0.09,0.4,0.2,4.6,1.6,1.8,789,0.08,0.118,169,6.1,-0.135,0.5,1.1,0.127,0.8,,,,,,,,,0.6,,-0.275,-0.013,
23,TDH,1,2017,6.2,0.5,12.5,,0.086,0.047,46,133,46,1.6,1187,14041,,,,,,0.543,,,1.6,1.8,1.4,0.27,2571.0,0.162,0.065,0.17,0.4,0.2,4.8,1.4,1.8,591,0.104,0.143,132,8.0,-0.035,0.4,1.3,0.065,3.3,,,,,,,,,0.6,,0.126,0.004,
24,TDH,4,2016,5.5,0.4,11.9,,0.069,0.04,60,188,42,3.0,934,13978,,,,,,0.564,,,1.6,1.9,1.3,-0.019,2284.0,0.216,0.123,0.113,0.3,0.2,5.1,1.2,1.8,657,0.103,0.152,206,6.1,-0.054,0.4,1.3,0.123,1.2,,,,,,,,,0.6,,0.593,0.017,
25,TDH,3,2016,6.0,0.4,16.4,,0.072,0.043,99,170,38,1.0,952,13743,,,,,,0.542,,,1.5,2.7,1.9,-0.09,1434.0,0.119,0.04,0.022,0.4,0.2,6.8,0.4,1.8,1028,0.054,0.129,231,3.7,-0.051,0.4,1.2,0.04,0.7,,,,,,,,,0.7,,-0.027,-0.049,
26,TDH,2,2016,5.7,0.4,15.0,,0.08,0.047,82,184,51,3.1,1046,14447,,,,,,0.573,,,1.3,2.2,1.7,1.253,1474.0,0.319,0.242,0.177,0.4,0.2,7.0,0.5,1.7,866,0.119,0.256,216,4.4,-0.058,0.4,1.2,0.242,0.9,,,,,,,,,0.7,,6.379,0.175,
27,TDH,1,2016,11.6,0.4,183.2,,0.038,0.021,74,235,56,-0.1,464,12299,,,,,,0.498,,,1.0,1.9,1.4,0.108,200.0,0.135,-0.004,0.099,0.6,0.3,84.6,0.7,2.0,775,0.184,0.311,254,4.9,-0.025,0.3,1.2,-0.004,-32.7,,,,,,,,,1.0,,-0.719,0.006,
28,TDH,4,2015,13.3,0.5,45.3,,0.034,0.019,67,253,75,-0.4,419,12220,,,,,,0.543,,,1.2,2.1,1.5,1.155,712.0,0.093,-0.019,0.112,0.5,0.3,23.3,0.6,1.8,737,0.22,0.356,246,5.4,-0.032,0.4,1.3,-0.019,-7.9,,,,,,,,,0.8,,-0.502,0.047,
29,TDH,3,2015,27.8,0.5,21.6,,0.016,0.01,78,164,36,2.1,194,11670,,,,,,0.616,,,1.7,2.3,1.3,3.427,1429.0,0.213,0.113,0.113,0.3,0.2,8.3,0.4,1.6,500,0.048,0.078,206,4.7,-0.025,0.5,1.1,0.113,1.1,,,,,,,,,0.6,,0.438,-0.018,
30,TDH,2,2015,154.2,0.6,24.8,,0.004,0.002,66,175,37,-0.4,43,11878,,,,,,0.615,,,1.7,2.1,1.2,-0.859,994.0,0.101,-0.031,-0.089,0.3,0.2,12.3,0.5,1.6,493,0.041,0.097,204,5.6,-0.024,0.5,0.9,-0.031,2.7,,,,,,,,,0.6,,-0.118,-0.018,
31,TDH,1,2015,23.5,0.6,28.2,,0.026,0.016,71,221,30,2.0,311,12093,,,,,,0.601,,,1.5,2.1,1.2,-0.039,1126.0,0.241,0.113,0.039,0.4,0.3,13.5,0.9,1.7,587,0.022,0.046,262,5.1,-0.031,0.4,1.0,0.113,0.4,,,,,,,,,0.7,,0.591,0.046,
32,TDH,4,2014,,,47.5,,0.026,0.016,80,289,36,1.4,323,11564,,,,,,0.54,,,1.6,2.1,1.0,-0.195,708.0,0.149,0.044,0.025,0.4,0.2,22.0,0.9,1.9,605,0.067,0.138,334,4.5,-0.02,0.3,1.2,0.044,0.7,,,,,,,,,0.6,,-0.282,0.005,
33,TDH,3,2014,,,32.5,,0.033,0.021,132,489,69,0.0,402,11513,,,,,,0.59,,,1.9,2.7,1.5,-0.24,986.0,0.167,0.006,0.01,0.4,0.2,13.9,0.4,1.7,586,0.036,0.065,552,2.8,0.0,0.2,0.6,0.006,1.0,,,,,,,,,0.5,,-0.38,0.005,
34,TDH,2,2014,,,18.6,,0.044,0.027,153,539,80,-0.2,529,11457,,,,,,0.58,,,1.8,2.7,1.5,0.577,1591.0,0.111,-0.021,0.114,0.4,0.2,8.8,0.5,1.7,615,0.04,0.09,612,2.4,-0.006,0.2,1.1,-0.021,-5.8,,,,,,,,,0.6,,-0.17,0.008,
35,TDH,1,2014,,,15.5,,0.028,0.017,151,611,71,0.5,335,11364,,,,,,0.569,,,1.7,2.4,1.4,0.292,1917.0,0.277,0.085,0.118,0.4,0.3,7.9,0.7,1.8,577,0.042,0.086,691,2.4,-0.006,0.2,1.2,0.085,1.6,,,,,,,,,0.6,,0.01,-0.001,
36,TDH,4,2013,,,14.8,,0.022,0.013,168,606,74,2.0,259,11370,,,,,,0.565,,,1.7,2.6,1.4,0.145,1898.0,0.398,0.262,0.17,0.4,0.3,8.3,0.6,1.8,611,0.034,0.083,700,2.2,-0.006,0.2,1.0,0.262,0.7,,,,,,,,,0.6,,1.639,0.018,
37,TDH,3,2013,,,35.5,,0.019,0.012,187,708,41,5.3,226,11166,,,,,,0.571,,,1.8,3.0,1.6,12.487,719.0,0.387,0.253,0.164,0.4,0.3,20.8,0.4,1.8,623,0.034,0.11,854,1.9,-0.005,0.1,1.1,0.253,0.7,,,,,,,,,0.6,,2.36,0.012,
