,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TDW,4,2022,8.9,1.9,1.5,,0.22,0.104,0,6,38,15.3,4855,23207,,,,,,0.472,,,0.9,1.0,0.9,0.304,12012,0.343,0.043,0.049,0.2,0.1,0.5,0.4,2.1,-2,0.762,0.408,-32,,-0.28,3.0,0.8,0.043,1.4,,,,,,,,,1.1,,0.074,0.083,
1,TDW,3,2022,11.6,2.0,1.3,,0.179,0.063,2,9,52,14.4,3722,21435,,,,,,0.346,,,0.5,1.0,1.0,0.044,11189,0.333,0.042,0.028,0.3,0.1,0.6,0.3,2.9,14,1.442,0.768,-41,209.0,-0.194,2.2,0.7,0.042,0.9,,,,,,,,,1.9,,0.02,0.048,
2,TDW,2,2022,12.1,2.1,2.1,,0.179,0.066,-4,11,48,19.6,3564,20461,,,,,,0.354,,,0.5,1.0,0.9,0.097,10972,0.329,0.058,0.031,0.3,0.1,0.6,0.4,2.8,-5,1.248,0.59,-42,,-0.134,2.3,0.8,0.058,0.7,,,,,,,,,1.8,,0.091,-0.068,
3,TDW,1,2022,12.2,1.8,3.5,,0.151,0.062,5,6,58,7.8,3248,21947,,,,,,0.447,,,0.8,1.1,1.0,-0.109,10060,0.28,0.027,0.031,0.3,0.1,0.7,0.2,2.2,16,0.656,0.334,-47,72.9,-0.201,2.4,0.8,0.027,1.4,,,,,,,,,1.2,,-0.03,0.053,
4,TDW,4,2021,9.8,1.7,3.7,,0.179,0.075,0,7,50,7.2,3645,20839,,,,,,0.469,,,0.9,1.0,0.9,-0.229,10375,0.361,0.028,0.022,0.3,0.1,0.7,0.3,2.1,-1,0.383,0.19,-43,,-0.193,2.5,0.8,0.028,1.0,,,,,,,,,1.1,,-0.102,0.032,
5,TDW,3,2021,7.6,1.8,2.6,,0.249,0.082,-3,9,81,9.3,4728,20200,,,,,,0.362,,,0.6,1.0,0.9,-0.01,11549,0.286,0.039,0.028,0.3,0.1,0.7,0.2,2.8,-3,0.511,0.31,-74,,-0.2,2.1,0.8,0.039,0.9,,,,,,,,,1.8,,0.001,0.042,
6,TDW,2,2021,6.7,1.7,2.9,,0.263,0.09,-9,8,61,8.1,4778,19384,,,,,,0.388,,,0.6,0.9,0.8,0.107,11533,0.339,0.033,0.024,0.4,0.1,0.7,0.3,2.6,-22,0.504,0.271,-62,,-0.208,2.3,0.8,0.033,0.9,,,,,,,,,1.6,,0.077,-0.086,
7,TDW,1,2021,8.0,1.6,2.1,,0.217,0.083,-1,7,68,7.7,4315,21202,,,,,,0.386,,,0.6,1.1,1.0,0.033,10708,0.312,0.034,0.045,0.4,0.1,0.8,0.2,2.6,13,0.824,0.548,-62,,-0.168,2.3,0.8,0.034,1.6,,,,,,,,,1.6,,-0.053,0.07,
8,TDW,4,2020,6.8,1.4,1.8,,0.224,0.086,-6,8,57,12.3,4175,19818,,,,,,0.373,,,0.6,1.0,0.9,0.277,11310,0.363,0.064,0.055,0.4,0.2,0.8,0.2,2.7,0,0.758,0.461,-54,,-0.154,2.4,0.8,0.064,1.1,,,,,,,,,1.7,,0.086,0.116,
9,TDW,3,2020,6.9,1.3,1.7,,0.19,0.062,-8,11,76,6.8,3270,17753,,,,,,0.295,,,0.4,1.0,0.9,0.117,10416,0.327,0.041,0.03,0.5,0.1,0.9,0.2,3.4,-12,1.145,0.687,-73,,-0.138,2.1,0.8,0.041,0.9,,,,,,,,,2.4,,0.042,0.051,
10,TDW,2,2020,8.3,1.4,2.1,,0.177,0.058,-14,9,68,1.8,2927,16887,,,,,,0.303,,,0.4,0.9,0.8,0.002,9995,0.337,0.011,0.011,0.5,0.2,1.0,0.2,3.3,-29,0.693,0.491,-72,,-0.145,2.2,0.8,0.011,1.3,,,,,,,,,2.3,,-0.024,-0.093,
11,TDW,1,2020,6.4,1.0,2.9,,0.162,0.063,-7,9,57,8.9,2920,18616,,,,,,0.375,,,0.6,0.9,0.8,0.239,10238,0.333,0.061,0.044,0.5,0.2,1.0,0.1,2.7,-16,0.344,0.24,-54,,-0.116,2.3,0.8,0.061,0.9,,,,,,,,,1.7,,0.077,0.068,
12,TDW,4,2019,9.4,1.3,2.8,,0.138,0.055,4,9,45,5.4,2357,17436,,,,,,0.394,,,0.6,0.8,0.7,0.104,9502,0.354,0.042,0.031,0.6,0.2,1.1,0.2,2.5,-31,0.362,0.27,-32,89.7,-0.14,2.3,1.2,0.042,0.9,,,,,,,,,1.5,,-0.005,0.049,
