,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TGG,4,2022,-4.1,0.3,-2.3,,-0.068,-0.034,79,53,124,-61.6,-822,11577,,,,,,0.653,,,3.1,1.9,1.4,-2.377,-2260,,,,0.1,0.1,-1.1,8.2,1.5,96,0.113,0.452,8,4.6,-0.548,0.9,,,1.1,,,,,,,,,0.3,,2.745,-0.036,
1,TGG,3,2022,7.0,0.3,-10.1,,0.051,0.028,38,10,28,-4.6,597,12006,,,,,,0.619,,,2.5,1.3,0.9,0.841,-603,0.043,,0.108,0.1,0.1,-5.7,7.8,1.6,47,0.112,0.37,20,9.6,-0.796,2.2,1.4,,-0.8,,,,,,,,,0.4,,1.579,0.042,
2,TGG,2,2022,21.0,0.6,-45.8,,0.03,0.017,27,20,26,-13.4,324,11518,,,,,,0.424,,,1.2,1.1,0.7,-0.899,-234,0.019,,,0.4,0.2,-11.6,5.4,2.4,27,0.032,0.172,21,13.6,-0.458,2.3,,,1.1,,,,,,,,,0.9,,-1.078,-0.105,
3,TGG,1,2022,7.0,1.7,4.6,,0.295,0.158,39,28,32,-0.6,3202,12867,,,,,,0.413,,,1.1,1.4,1.1,0.261,2982,0.048,,0.058,0.4,0.2,1.0,6.8,2.4,150,0.051,0.157,35,9.5,-0.164,1.8,0.8,,-20.8,,,,,,,,,0.9,,0.039,0.02,
4,TGG,4,2021,7.3,1.5,6.4,,0.222,0.122,66,34,70,3.9,2540,12620,,,,,,0.409,,,1.0,1.4,1.1,0.648,2871,0.067,0.046,0.04,0.2,0.1,0.6,4.6,2.4,154,0.028,0.042,30,5.5,-0.16,1.2,0.9,0.046,1.0,,,,,,,,,1.0,,0.845,0.124,
5,TGG,3,2021,32.9,4.5,11.5,,0.143,0.09,2705,210,1183,,1541,11225,,,,,,0.482,,,0.9,1.7,1.6,0.006,1556,,,,0.5,0.2,1.7,,2.1,214,0.021,0.019,1731,0.1,-0.002,0.0,,,,,,,,,,,,1.1,,0.009,0.08,
6,TGG,2,2021,6.3,0.9,13.7,,0.148,0.14,1901,133,224,22615.2,1532,10393,,,,,,0.94,,,15.6,13.3,13.2,-9.631,1542,0.022,2.417,2.393,0.0,0.0,0.0,1.0,1.1,148,0.321,0.137,1810,0.2,-37.416,0.1,1.0,2.417,1.0,,,,,,,,,0.1,,-8.203,0.177,
7,TGG,1,2021,-14.0,0.3,-57.0,,-0.018,-0.017,3723,743,375,-9.5,-177,8830,,,,,,0.938,,,15.2,6.3,5.0,0.122,-214,0.177,,,0.0,0.0,-0.3,1.8,1.1,63,0.001,0.001,4091,0.1,0.0,0.0,,,1.3,,,,,,,,,0.1,,-0.039,-0.14,
8,TGG,4,2020,-7.4,0.1,-19.4,,-0.015,-0.014,3635,591,366,-10.5,-158,10269,,,,,,0.946,,,17.5,9.5,8.2,-0.156,-223,0.008,,,0.0,0.0,-0.3,1.3,1.1,101,0.003,0.007,3860,0.1,0.0,0.0,,,0.6,,,,,,,,,0.1,,-0.198,-0.001,
9,TGG,3,2020,-6.1,0.1,-8.3,,-0.018,-0.017,1459,248,233,-4.8,-187,10277,,,,,,0.947,,,17.7,9.5,8.3,0.077,-278,0.009,,,0.0,0.0,-0.8,1.0,1.1,101,0.002,0.008,1473,0.3,0.0,0.1,,,0.7,,,,,,,,,0.1,,0.01,-0.001,
10,TGG,2,2020,-6.6,0.1,-4.1,,-0.017,-0.016,1228,186,129,-165.2,-174,10287,,,,,,0.946,,,17.7,9.6,8.3,-10.1,-275,0.008,,,0.0,0.0,-0.3,0.7,1.1,101,0.002,0.016,1285,0.3,0.253,0.1,,,0.8,,,,,,,,,0.1,,1.894,-0.014,
11,TGG,1,2020,45.5,0.1,,,0.002,0.002,734,149,68,-8.3,19,10434,,,,,,0.946,,,17.4,7.7,6.6,-0.276,-95,0.008,,0.087,0.0,0.0,-0.9,0.8,1.1,103,0.003,,815,0.5,-0.017,0.1,0.8,,-0.5,,,,,,,,,0.1,,0.206,0.0,
12,TGG,4,2019,68.9,0.2,-17.6,,0.003,0.002,381,117,92,-32.1,26,10432,,,,,,0.932,,,13.7,6.1,5.2,-0.799,-79,0.001,-0.126,-0.069,0.0,0.0,-1.4,3.0,1.1,103,0.01,0.091,406,1.0,-0.02,0.2,1.0,-0.126,0.5,,,,,,,,,0.1,,-13.584,-0.004,
13,TGG,3,2019,17.5,0.2,318.0,,0.013,0.012,458,98,92,-2.8,131,10469,,,,,,0.885,,,7.7,3.5,3.0,-0.124,6,0.014,-0.025,0.009,0.0,0.0,42.4,0.3,1.1,72,0.01,0.062,465,0.8,-0.07,0.2,1.5,-0.025,-0.5,,,,,,,,,0.1,,-0.689,0.0,
14,TGG,2,2019,19.9,0.3,107.8,,0.014,0.013,415,89,64,-0.7,149,10465,,,,,,0.925,,,12.4,5.9,5.2,-0.126,20,0.041,-0.005,0.107,0.0,0.0,5.8,1.1,1.1,106,0.001,0.005,440,0.9,-0.321,0.2,1.3,-0.005,-25.0,,,,,,,,,0.1,,-0.775,0.003,
15,TGG,1,2019,17.7,0.3,37.6,,0.017,0.015,371,69,63,-1.7,171,10429,,,,,,0.941,,,15.9,4.6,3.7,-0.149,89,0.024,-0.018,0.034,0.0,0.0,1.4,1.0,1.1,59,0.01,0.033,377,1.0,-0.269,0.2,1.3,-0.018,-2.4,,,,,,,,,0.1,,-0.259,0.001,
