,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TJC,4,2022,3.3,1.1,9.7,,0.372,0.317,196,14,21.0,-14.5,5739,17731,,,,,,0.876,,,7.1,6.6,6.3,1.687,1590.0,0.042,,1.079,0.0,0.0,0.2,,1.1,121,0.353,0.327,189.0,1.9,-0.248,1.1,0.8,,-50.9,,,,,,,,,0.1,,-0.157,0.297,
1,TJC,3,2022,7.3,1.1,9.7,,0.162,0.127,132,17,29.0,26.3,2136,13674,,,,,,0.775,,,3.4,3.2,2.9,-0.275,1886.0,0.101,0.041,0.037,0.1,0.1,0.7,,1.3,74,0.367,0.228,121.0,2.8,-0.022,1.2,0.7,0.041,1.2,,,,,,,,,0.3,,-0.286,0.015,
2,TJC,2,2022,5.0,1.1,6.7,,0.234,0.18,122,17,31.0,104.1,2946,13477,,,,,,0.739,,,2.8,2.7,2.5,0.269,2640.0,0.208,0.163,0.158,0.1,0.1,0.5,,1.4,69,0.087,0.069,108.0,3.0,-0.147,1.2,0.8,0.163,1.1,,,,,,,,,0.4,,0.407,-0.009,
3,TJC,1,2022,6.9,1.2,8.4,,0.187,0.152,122,23,34.0,126.0,2322,13604,,,,,,0.782,,,3.6,2.9,2.7,0.158,1876.0,0.158,0.109,0.119,0.1,0.1,0.4,,1.3,63,0.035,0.033,111.0,3.0,-0.133,1.2,1.0,0.109,1.1,,,,,,,,,0.3,,0.193,0.038,
4,TJC,4,2021,6.8,1.0,10.1,,0.165,0.141,117,14,25.0,40.8,2004,13112,,,,,,0.823,,,4.6,3.4,3.2,0.136,1572.0,0.14,0.044,0.102,0.0,0.0,0.2,,1.2,59,0.07,0.055,106.0,3.1,-0.124,1.2,1.0,0.044,2.3,,,,,,,,,0.2,,0.051,0.036,
5,TJC,3,2021,7.7,1.1,10.0,,0.15,0.122,109,14,33.0,178.8,1764,12658,,,,,,0.785,,,3.7,2.7,2.6,1.219,1496.0,0.251,0.191,0.199,0.1,0.1,0.4,,1.3,52,0.141,0.114,90.0,3.3,-0.116,1.1,1.0,0.191,1.0,,,,,,,,,0.3,,2.342,0.086,
6,TJC,2,2021,11.8,0.8,35.3,,0.071,0.058,129,17,27.0,137.7,795,11651,,,,,,0.807,,,4.2,2.9,2.7,1.288,448.0,0.128,0.066,0.094,0.1,0.1,1.9,,1.2,45,0.121,0.087,119.0,2.8,0.0,0.9,1.0,0.066,1.4,,,,,,,,,0.2,,10.443,0.031,
7,TJC,1,2021,31.3,1.0,251.8,,0.031,0.026,125,22,41.0,,347,11297,,,,,,0.861,,,6.2,3.4,3.0,0.379,39.0,0.114,0.044,0.052,0.0,0.0,17.8,,1.2,38,0.102,0.104,106.0,2.9,0.0,0.9,1.0,0.044,1.2,,,,,,,,,0.2,,-1.806,0.016,
8,TJC,4,2020,45.4,1.0,-189.6,,0.023,0.019,109,14,24.0,,252,11122,,,,,,0.891,,,8.2,4.1,3.7,5.226,-49.0,0.106,0.038,0.068,0.0,0.0,-15.7,,1.1,34,0.106,0.114,98.0,3.4,0.0,0.9,1.0,0.038,1.8,,,,,,,,,0.1,,-1.297,0.02,
9,TJC,3,2020,170.4,0.6,56.9,,0.004,0.003,39,19,32.0,-4.1,40,10909,,,,,,0.859,,,6.1,2.8,2.6,-1.017,164.0,0.038,,0.015,0.0,0.0,5.1,,1.2,28,0.109,0.113,26.0,9.4,0.0,0.9,1.0,,-0.5,,,,,,,,,0.2,,-1.312,0.003,
10,TJC,2,2020,-2.8,0.6,-12.6,,-0.199,-0.161,66,19,23.0,-4.7,-2400,10871,,,,,,0.846,,,5.5,4.0,3.6,-0.104,-524.0,0.021,,,0.1,0.1,-2.4,0.0,1.2,33,0.185,0.255,62.0,5.5,0.0,1.0,,,0.5,,,,,,,,,0.2,,-0.344,-0.007,
11,TJC,1,2020,-1.9,0.5,-6.5,,-0.218,-0.17,64,19,26.0,1.8,-2677,10950,,,,,,0.786,,,3.7,2.7,2.4,-0.131,-799.0,0.08,0.017,0.022,0.1,0.1,-2.1,0.6,1.3,31,0.303,0.467,57.0,5.7,0.0,1.0,1.0,0.017,1.3,,,,,,,,,0.3,,-0.314,0.007,
12,TJC,4,2019,-2.1,0.6,-5.6,,-0.248,-0.195,15,13,19.0,7.5,-3081,10870,,,,,,0.809,,,4.2,3.0,2.8,0.022,-1164.0,0.129,0.077,0.0,0.1,0.1,-1.5,0.5,1.2,28,0.374,0.726,10.0,24.3,0.0,1.0,1.0,0.077,0.0,,,,,,,,,0.2,,-0.202,0.0,
