,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TKC,3,2022,8.4,0.2,23.8,,0.024,0.003,313,514,595,-0.1,272,11273,,,,,,0.091,,,0.1,1.1,0.9,1.338,2550,0.06,,0.003,3.9,0.4,22.7,4.2,11.0,234,0.001,0.005,231,1.2,-0.32,0.2,0.8,,-0.1,,,,,,,,,10.0,,-0.07,0.001,
1,TKC,2,2022,38.6,0.4,23.5,,0.01,0.001,321,545,591,-0.2,116,11265,,,,,,0.092,,,0.1,1.1,0.9,-0.264,2743,,,0.011,3.9,0.4,21.1,4.2,10.9,231,0.004,0.008,276,1.1,-0.297,0.2,0.8,,-0.1,,,,,,,,,9.9,,-0.406,0.001,
2,TKC,1,2022,51.9,0.7,13.8,,0.014,0.002,240,410,335,2.0,158,11251,,,,,,0.1,,,0.1,1.2,0.9,-0.265,4619,0.275,0.059,0.017,3.9,0.4,12.1,4.2,10.0,228,0.046,0.1,314,1.5,-0.275,0.3,0.8,0.059,0.4,,,,,,,,,9.0,,-0.183,0.002,
3,TKC,4,2021,44.8,0.9,12.0,,0.019,0.002,149,256,223,1.2,215,11229,,,,,,0.111,,,0.1,1.2,0.9,-0.793,5652,0.155,0.121,0.015,3.9,0.4,9.2,4.2,9.0,224,0.001,0.001,183,2.4,-0.259,0.5,0.9,0.121,0.1,,,,,,,,,8.0,,0.015,0.019,
4,TKC,3,2021,9.2,0.9,12.2,,0.099,0.015,119,209,124,0.3,1037,11024,,,,,,0.126,,,0.1,1.3,0.9,-0.162,5567,0.104,0.029,,4.0,0.5,7.4,2.4,7.9,305,0.03,0.043,204,3.1,-0.014,0.8,,0.029,-2.3,,,,,,,,,6.9,,-0.055,-0.013,
5,TKC,2,2021,9.2,1.0,11.4,,0.117,0.019,101,181,103,1.1,1238,11171,,,,,,0.126,,,0.1,1.3,0.9,0.353,5893,0.143,0.108,0.008,3.9,0.5,6.5,2.4,7.9,303,0.004,0.006,179,3.6,-0.013,0.9,0.8,0.108,0.1,,,,,,,,,6.9,,0.19,0.006,
6,TKC,1,2021,8.8,0.7,12.3,,0.086,0.014,106,187,110,1.1,915,11106,,,,,,0.131,,,0.2,1.3,0.9,2.977,4952,0.069,0.054,0.005,3.7,0.5,7.3,2.3,7.7,292,0.043,0.084,182,3.5,-0.013,0.8,0.8,0.054,0.1,,,,,,,,,6.7,,0.428,0.007,
7,TKC,4,2020,33.9,0.7,9.3,,0.021,0.004,128,238,134,3.8,230,11027,,,,,,0.154,,,0.2,1.4,0.9,-1.361,3469,0.077,0.062,0.041,3.2,0.5,9.3,2.1,6.5,273,0.149,0.258,232,2.9,-0.012,0.7,0.9,0.062,0.7,,,,,,,,,5.5,,0.362,0.103,
8,TKC,3,2020,-4.7,0.3,12.1,,-0.062,-0.013,166,410,190,1.3,-638,9999,,,,,,0.198,,,0.2,1.4,0.6,-0.237,2546,0.069,0.039,0.007,1.8,0.4,8.2,1.3,5.1,204,0.025,0.048,386,2.2,0.0,0.5,0.8,0.039,0.2,,,,,,,,,4.1,,-0.077,0.005,
9,TKC,2,2020,-4.1,0.3,7.5,,-0.081,-0.017,111,351,178,1.2,-836,9945,,,,,,0.224,,,0.3,1.4,0.6,0.468,2758,0.102,0.05,,1.4,0.3,6.3,1.1,4.5,180,0.02,0.092,284,3.3,0.0,0.6,,0.05,0.1,,,,,,,,,3.5,,-0.011,-0.025,
10,TKC,1,2020,-4.6,0.3,7.7,,-0.053,-0.011,92,300,136,-1.3,-569,10196,,,,,,0.225,,,0.3,1.4,0.5,-8.349,2790,0.021,,,1.4,0.3,6.2,1.1,4.4,182,0.004,0.016,255,4.0,0.0,0.7,,,2.0,,,,,,,,,3.4,,-0.217,-0.326,
11,TKC,4,2019,43.8,0.2,5.5,,0.005,0.001,143,248,136,3.0,77,15122,,,,,,0.24,,,0.3,1.4,0.5,-1.832,3564,0.178,0.105,0.02,1.2,0.3,5.0,1.4,4.2,168,0.06,0.337,256,2.5,0.0,0.8,1.7,0.105,0.3,,,,,,,,,3.2,,0.163,0.015,
12,TKC,3,2019,-133.0,0.8,6.6,,-0.006,-0.001,86,167,82,1.6,-93,14899,,,,,,0.218,,,0.3,1.3,0.6,-1.391,3064,0.079,0.041,-0.013,1.3,0.3,5.6,2.6,4.6,135,0.052,0.235,171,4.2,-0.005,1.0,-0.1,0.041,0.0,,,,,,,,,3.6,,0.038,-0.013,
13,TKC,2,2019,73.8,1.2,7.6,,0.015,0.003,87,154,75,1.1,238,15101,,,,,,0.21,,,0.3,1.1,0.5,-0.746,2952,0.081,0.024,0.002,1.2,0.2,6.4,93.8,4.8,77,0.12,0.23,167,4.2,-0.006,1.1,1.2,0.024,0.1,,,,,,,,,3.8,,-0.236,-0.049,
