,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TKU,4,2022,7.0,0.9,5.3,,0.133,0.061,76,194,24.0,2.1,1755,13637,,,,,,0.498,,,1.0,1.4,0.4,-0.156,3669.0,0.114,0.046,,0.7,0.4,2.9,45.9,2.0,251,0.071,0.08,247.0,4.8,-0.288,1.0,,0.046,-0.2,,,,,,,,,1.0,,-0.145,-0.066,
1,TKU,3,2022,6.3,0.9,5.3,,0.145,0.071,94,188,12.0,11.4,2080,14607,,,,,,0.526,,,1.1,1.5,0.5,0.162,4289.0,0.177,0.134,0.083,0.7,0.4,3.0,30.4,1.9,286,0.227,0.266,270.0,3.9,-0.283,0.9,0.8,0.134,0.8,,,,,,,,,0.9,,0.22,0.042,
2,TKU,2,2022,9.6,1.2,8.2,,0.128,0.062,97,212,24.0,15.3,1791,14019,,,,,,0.441,,,0.8,1.4,0.5,-0.115,3516.0,0.173,0.13,0.101,1.0,0.4,3.6,33.0,2.3,260,0.185,0.209,285.0,3.8,-0.104,0.8,0.8,0.13,0.9,,,,,,,,,1.3,,-0.123,0.051,
3,TKU,1,2022,11.9,1.8,7.9,,0.154,0.073,90,193,18.0,15.1,2024,13342,,,,,,0.427,,,0.7,1.3,0.6,-0.112,4010.0,0.117,0.07,0.053,1.0,0.4,3.2,24.7,2.3,244,0.219,0.183,265.0,4.1,-0.098,0.8,0.8,0.07,0.9,,,,,,,,,1.3,,-0.039,0.039,
4,TKU,4,2021,10.9,1.9,7.5,,0.182,0.085,94,212,26.0,6.4,2279,12842,,,,,,0.423,,,0.7,1.3,0.7,-0.147,4173.0,0.154,0.081,0.067,0.8,0.3,2.5,15.2,2.4,249,0.194,0.123,280.0,3.9,-0.023,0.8,0.8,0.081,1.0,,,,,,,,,1.4,,-0.182,-0.094,
5,TKU,3,2021,11.1,2.1,7.9,,0.207,0.098,101,178,15.0,10.1,2672,14171,,,,,,0.464,,,0.9,1.5,0.8,0.009,5104.0,0.189,0.097,0.089,0.8,0.4,2.7,14.4,2.2,305,0.375,0.217,265.0,3.6,-0.021,0.8,0.8,0.097,1.1,,,,,,,,,1.2,,-0.014,0.022,
6,TKU,2,2021,6.3,1.2,8.4,,0.21,0.107,84,145,33.0,38.7,2647,13872,,,,,,0.531,,,1.1,1.6,0.8,0.384,5179.0,0.231,0.185,0.149,0.5,0.3,2.0,7.6,1.9,270,0.372,0.167,196.0,4.4,-0.025,1.0,0.8,0.185,1.0,,,,,,,,,0.9,,0.379,0.074,
7,TKU,1,2021,6.4,0.9,6.6,,0.157,0.084,79,130,28.0,21.1,1912,12921,,,,,,0.53,,,1.1,1.5,0.8,0.225,3756.0,0.185,0.132,0.103,0.6,0.3,2.5,7.1,1.9,224,0.321,0.274,181.0,4.6,-0.017,0.9,0.8,0.132,1.0,,,,,,,,,0.9,,0.097,0.055,
8,TKU,4,2020,5.9,0.8,6.8,,0.134,0.072,75,160,27.0,14.4,1561,12252,,,,,,0.526,,,1.1,1.5,0.7,0.431,3423.0,0.216,0.158,0.119,0.6,0.3,2.7,6.0,1.9,214,0.334,0.308,209.0,4.9,-0.016,0.9,0.8,0.158,0.9,,,,,,,,,0.9,,0.198,0.057,
9,TKU,3,2020,11.3,1.1,7.0,,0.097,0.045,81,164,32.0,6.2,1091,11590,,,,,,0.48,,,0.9,1.5,0.8,0.074,2856.0,0.158,0.09,0.063,0.8,0.4,4.5,7.9,2.1,224,0.428,0.455,213.0,4.5,-0.303,0.8,0.8,0.09,0.9,,,,,,,,,1.1,,-0.013,0.025,
10,TKU,2,2020,10.8,1.0,7.2,,0.094,0.045,81,148,34.0,5.4,1016,11313,,,,,,0.488,,,1.0,1.4,0.8,-0.151,2892.0,0.162,0.089,0.07,0.7,0.4,3.9,5.7,2.0,189,0.439,0.421,195.0,4.5,-0.239,0.8,0.8,0.089,1.0,,,,,,,,,1.0,,-0.086,-0.011,
11,TKU,1,2020,5.4,0.6,3.6,,0.107,0.06,75,119,40.0,7.1,1196,11442,,,,,,0.54,,,1.2,1.4,0.8,0.087,3164.0,0.139,0.08,0.058,0.6,0.3,2.6,,1.9,157,0.403,0.734,154.0,4.9,-0.348,1.0,0.8,0.08,0.9,,,,,,,,,0.9,,0.123,-0.055,
12,TKU,4,2019,13.3,1.2,5.2,,0.093,0.051,28,149,37.0,2.9,1101,12108,,,,,,0.54,,,1.2,1.3,0.6,0.027,2817.0,0.122,0.063,0.04,0.6,0.3,3.1,,1.9,134,0.282,0.482,140.0,13.0,-0.393,1.0,1.2,0.063,0.8,,,,,,,,,0.9,,0.028,0.006,
13,TKU,3,2019,7.6,0.7,8.4,,0.091,0.045,33,161,35.0,3.8,1072,12030,,,,,,0.459,,,0.8,1.2,0.7,-0.056,2741.0,0.149,0.084,0.047,0.9,0.4,4.0,,2.2,133,0.547,0.476,159.0,10.9,-0.132,0.9,1.2,0.084,0.7,,,,,,,,,1.2,,-0.028,0.072,
14,TKU,2,2019,8.0,0.8,5.7,,0.101,0.048,38,131,33.0,8.6,1136,11227,,,,,,0.46,,,0.9,1.4,0.8,-0.05,2819.0,0.166,0.106,0.084,0.8,0.4,3.8,4.9,2.2,169,0.461,0.598,136.0,9.6,-0.256,0.9,1.2,0.106,0.9,,,,,,,,,1.2,,-0.026,-0.06,
15,TKU,1,2019,6.8,0.7,4.1,,0.1,0.057,43,131,38.0,3.6,1196,11938,,,,,,0.575,,,1.4,1.6,0.8,-0.355,2895.0,0.1,0.045,0.026,0.5,0.3,2.9,,1.7,200,0.283,0.519,136.0,8.5,-0.08,1.0,1.3,0.045,0.7,,,,,,,,,0.7,,-0.144,-0.148,
16,TKU,4,2018,4.2,0.6,4.1,,0.134,0.073,27,153,36.0,3.8,1853,14011,,,,,,0.554,,,1.2,1.5,0.7,-0.147,3383.0,0.122,0.06,0.037,0.6,0.3,2.6,,1.8,193,0.328,0.489,145.0,13.5,-0.03,1.1,1.2,0.06,0.7,,,,,,,,,0.8,,-0.083,0.016,
17,TKU,3,2018,4.0,0.6,3.6,,0.159,0.085,31,150,33.0,6.1,2172,13793,,,,,,0.548,,,1.2,1.5,0.7,-0.055,3691.0,0.133,0.076,0.055,0.6,0.3,2.5,,1.8,189,0.321,0.501,149.0,11.6,-0.206,1.1,1.2,0.076,0.9,,,,,,,,,0.8,,-0.015,0.019,
18,TKU,2,2018,4.0,0.7,3.6,,0.173,0.091,36,131,24.0,11.8,2298,13536,,,,,,0.495,,,1.0,1.4,0.8,-0.031,3748.0,0.184,0.123,0.1,0.7,0.3,2.5,,2.0,184,0.501,0.862,143.0,10.0,-0.37,1.1,1.2,0.123,0.9,,,,,,,,,1.0,,0.013,-0.057,
19,TKU,1,2018,3.7,0.6,3.6,,0.163,0.098,34,117,24.0,13.3,2372,14352,,,,,,0.557,,,1.3,1.5,0.9,-0.01,3700.0,0.152,0.101,0.078,0.6,0.3,2.1,,1.8,198,0.379,0.573,127.0,10.8,-0.512,1.1,1.2,0.101,0.9,,,,,,,,,0.8,,0.013,0.043,
20,TKU,4,2017,3.5,0.6,4.4,,0.172,0.099,22,145,26.0,10.2,2395,13757,,,,,,0.543,,,1.2,1.5,0.7,-0.149,3654.0,0.161,0.103,0.083,0.6,0.3,2.3,,1.8,180,0.402,0.476,141.0,16.6,-0.718,1.0,1.1,0.103,0.9,,,,,,,,,0.8,,-0.086,0.022,
21,TKU,3,2017,3.7,0.8,4.2,,0.212,0.115,30,144,27.0,9.2,2815,13458,,,,,,0.518,,,1.1,1.4,0.7,-0.148,3997.0,0.163,0.098,0.081,0.7,0.4,2.3,,1.9,170,0.447,0.493,147.0,12.2,-0.731,1.0,1.1,0.098,0.9,,,,,,,,,0.9,,-0.132,0.036,
22,TKU,2,2017,3.1,0.8,3.7,,0.263,0.158,35,119,15.0,15.1,3303,12987,,,,,,0.556,,,1.3,1.7,0.9,-0.118,4602.0,0.188,0.129,0.116,0.6,0.3,1.4,,1.8,223,0.402,0.401,139.0,10.3,-0.511,1.1,1.1,0.129,1.0,,,,,,,,,0.8,,-0.109,-0.117,
23,TKU,1,2017,2.1,0.5,2.6,,0.292,0.186,26,108,13.0,15.7,3745,14704,,,,,,0.647,,,1.8,2.1,1.3,0.309,5167.0,0.213,0.146,0.118,0.4,0.3,1.2,,1.5,280,0.475,0.537,122.0,13.9,-0.341,1.2,1.1,0.146,0.9,,,,,,,,,0.5,,0.043,0.044,
