,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TMG,4,2022,7.5,3.9,4.2,,0.552,0.259,-10,44,49,46.0,8124,15812,,,,,,0.507,,,1.0,0.9,0.5,0.008,13294,0.14,0.06,0.1,0.1,0.0,0.1,0.8,2.0,-28,0.23,0.059,-15,,-0.122,2.2,0.8,0.06,2.1,,,,,,,,,1.0,,-0.035,0.078,
1,TMG,3,2022,7.4,4.1,3.8,,0.555,0.231,1,59,47,93.5,8056,14672,,,,,,0.378,,,0.6,1.0,0.5,-0.047,13771,0.185,0.14,0.119,0.1,0.0,0.1,0.3,2.6,-16,0.478,0.121,13,423.4,-0.132,1.9,0.9,0.14,1.0,,,,,,,,,1.6,,-0.056,-0.023,
2,TMG,2,2022,7.1,4.0,3.5,,0.577,0.276,-1,55,33,158.7,8451,15017,,,,,,0.452,,,0.8,1.0,0.4,-0.018,14586,0.363,0.309,0.143,0.1,0.0,0.1,0.7,2.2,-11,0.233,0.066,21,,-0.095,2.1,0.8,0.309,0.6,,,,,,,,,1.2,,0.128,-0.109,
3,TMG,1,2022,6.7,3.4,5.1,,0.551,0.32,8,56,24,49.8,8610,16855,,,,,,0.573,,,1.3,1.1,0.4,0.056,12935,0.194,0.145,0.108,0.1,0.1,0.1,2.1,1.7,25,0.19,0.047,40,44.6,-0.154,2.2,0.8,0.145,1.0,,,,,,,,,0.7,,0.066,0.236,
4,TMG,4,2021,6.5,3.9,5.1,,0.619,0.3,-10,48,39,295.5,8151,13640,,,,,,0.433,,,0.8,0.9,0.5,0.021,12135,0.183,0.119,0.103,0.2,0.1,0.2,4.1,2.3,-42,0.223,0.048,-1,,-0.152,2.1,0.8,0.119,1.1,,,,,,,,,1.3,,-0.018,-0.048,
5,TMG,3,2021,6.2,3.5,4.7,,0.611,0.302,1,52,30,532.1,7983,14336,,,,,,0.463,,,0.9,1.1,0.6,0.297,12360,0.297,0.257,0.194,0.1,0.1,0.1,0.2,2.2,22,0.264,0.063,23,593.7,-0.139,2.0,0.8,0.257,1.0,,,,,,,,,1.2,,0.249,0.004,
6,TMG,2,2021,5.7,2.5,5.5,,0.486,0.236,-8,42,32,707.4,6156,14285,,,,,,0.51,,,1.0,1.0,0.6,0.574,9892,0.326,0.241,0.19,0.1,0.1,0.2,0.7,2.0,6,0.115,0.028,3,,-0.203,1.9,0.8,0.241,1.0,,,,,,,,,1.0,,0.465,-0.007,
7,TMG,1,2021,6.7,1.8,5.9,,0.27,0.169,5,47,22,391.0,3910,14387,,,,,,0.591,,,1.4,1.1,0.6,0.383,6751,0.172,0.126,0.099,0.1,0.1,0.2,0.5,1.7,23,0.295,0.099,30,72.6,-0.084,1.9,0.8,0.126,1.0,,,,,,,,,0.7,,0.201,0.131,
8,TMG,4,2020,8.8,1.9,6.4,,0.2,0.124,-1,44,26,1823.9,2827,12716,,,,,,0.557,,,1.3,0.9,0.4,0.471,5620,0.2,0.149,0.118,0.1,0.1,0.2,0.5,1.8,-13,0.149,0.052,17,,-0.089,1.8,0.8,0.149,1.0,,,,,,,,,0.8,,0.25,0.08,
9,TMG,3,2020,12.5,2.0,7.5,,0.117,0.076,25,47,23,108.4,1922,11779,,,,,,0.535,,,1.2,0.9,0.4,-0.219,4495,0.186,0.097,0.077,0.1,0.1,0.2,0.0,1.9,-18,0.195,0.066,49,14.6,-0.516,1.6,0.8,0.097,1.0,,,,,,,,,0.9,,-0.16,0.065,
