,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TMX,4,2022,10.5,0.6,9.9,,0.06,0.042,57,1,17,,956,15944,,,,,,0.676,,,2.1,3.2,3.1,-0.031,660,0.044,0.001,0.007,0.0,0.0,0.0,,1.5,96,0.33,0.527,41,6.4,0.0,4.4,0.8,0.001,6.7,,,,,,,,,0.5,,-0.043,0.011,
1,TMX,3,2022,10.0,0.6,7.3,,0.063,0.041,56,2,20,,987,15769,,,,,,0.654,,,1.9,3.0,2.9,0.533,690,0.044,0.01,0.013,0.0,0.0,0.0,,1.5,95,0.219,0.406,38,6.5,0.0,4.2,0.8,0.01,1.5,,,,,,,,,0.5,,2.544,0.022,
2,TMX,2,2022,15.2,0.6,41.3,,0.042,0.027,65,3,23,,644,15434,,,,,,0.64,,,1.8,2.9,2.8,0.626,195,0.055,0.019,0.019,0.0,0.0,0.0,,1.6,93,0.16,0.235,45,5.6,0.0,3.7,0.8,0.019,1.2,,,,,,,,,0.6,,-2.283,-0.013,
3,TMX,1,2022,27.1,0.7,-33.0,,0.025,0.017,69,3,25,,396,15645,,,,,,0.667,,,2.0,3.1,3.0,-0.259,-152,0.029,,,0.0,0.0,0.0,,1.5,94,0.364,0.532,47,5.3,0.0,3.6,,,0.4,,,,,,,,,0.5,,1.032,-0.009,
4,TMX,4,2021,22.4,0.8,-117.8,,0.033,0.022,71,3,22,,534,15782,,,,,,0.705,,,2.4,3.5,3.5,0.212,-75,0.034,0.002,0.008,0.0,0.0,0.0,,1.4,95,0.317,0.435,52,5.1,0.0,3.5,0.8,0.002,4.4,,,,,,,,,0.4,,-0.741,0.013,
5,TMX,3,2021,29.7,0.8,-29.5,,0.028,0.017,70,3,29,,440,15576,,,,,,0.648,,,1.8,2.9,2.9,-0.601,-288,0.031,,,0.0,0.0,0.0,,1.5,94,0.174,0.242,44,5.2,0.0,3.2,,,0.0,,,,,,,,,0.5,,-1.706,-0.001,
6,TMX,2,2021,9.4,0.7,27.0,,0.07,0.045,58,3,22,,1105,15584,,,,,,0.674,,,2.1,3.2,3.1,-0.164,408,0.041,0.008,0.011,0.0,0.0,0.0,,1.5,94,0.108,0.133,39,6.2,0.0,4.0,0.8,0.008,1.9,,,,,,,,,0.5,,0.435,-0.062,
7,TMX,1,2021,12.5,1.0,29.8,,0.079,0.052,63,3,27,,1321,16610,,,,,,0.693,,,2.3,3.4,3.3,-0.084,284,0.032,,0.001,0.0,0.0,0.0,,1.4,100,0.158,0.237,39,5.8,0.0,3.8,0.8,,-0.1,,,,,,,,,0.4,,-0.122,0.001,
8,TMX,4,2020,11.4,1.0,24.6,,0.087,0.054,61,3,27,,1442,16590,,,,,,0.655,,,1.9,3.0,2.9,-0.209,324,0.044,,0.004,0.0,0.0,0.0,,1.5,99,0.302,0.414,37,6.0,0.0,3.7,0.7,,-1.1,,,,,,,,,0.5,,-0.58,0.007,
9,TMX,3,2020,5.8,0.6,17.6,,0.112,0.067,54,3,27,,1822,16477,,,,,,0.603,,,1.5,2.6,2.5,0.156,772,0.053,0.018,0.024,0.0,0.0,0.0,,1.7,99,0.251,0.234,31,6.7,0.0,4.0,0.8,0.018,1.7,,,,,,,,,0.7,,0.102,0.042,
10,TMX,2,2020,7.1,0.7,17.4,,0.1,0.054,47,3,30,,1577,15821,,,,,,0.601,,,1.5,2.6,2.5,0.002,700,0.054,0.003,0.02,0.0,0.0,0.0,,1.7,94,0.146,0.159,21,7.7,0.0,4.1,0.8,0.003,7.5,,,,,,,,,0.7,,-0.282,-0.059,
