,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TNG,4,2022,6.5,1.1,7.1,,0.179,0.059,-20.0,77,42.0,2.7,2774,17029,,,,,,0.329,,,0.5,0.9,0.5,-0.011,5159.0,0.156,0.087,0.04,1.5,0.5,4.3,2.7,3.0,-306,0.294,0.279,16.0,,-0.08,1.4,0.8,0.087,0.6,,,,,,,,,2.0,,-0.028,0.011,
1,TNG,3,2022,6.6,1.1,6.9,,0.19,0.064,-5.0,61,26.0,2.9,2804,16850,,,,,,0.35,,,0.5,1.0,0.6,0.076,5308.0,0.148,0.083,0.053,1.5,0.5,4.5,1.8,2.9,18,0.316,0.337,29.0,,-0.143,1.4,0.8,0.083,0.8,,,,,,,,,1.9,,-0.031,0.219,
2,TNG,2,2022,11.2,2.1,9.1,,0.203,0.056,-12.0,88,50.0,5.1,2605,13818,,,,,,0.275,,,0.4,0.9,0.5,0.102,5478.0,0.157,0.095,0.044,1.9,0.5,5.3,2.2,3.6,-175,0.004,0.004,26.0,,-0.314,1.3,0.8,0.095,0.6,,,,,,,,,2.6,,0.113,-0.001,
3,TNG,1,2022,14.2,2.4,12.3,,0.192,0.058,-17.0,93,41.0,1.9,2364,13827,,,,,,0.313,,,0.5,0.9,0.4,0.07,4921.0,0.125,0.05,0.03,1.6,0.5,5.6,3.4,3.2,-397,0.022,0.012,35.0,,-0.383,1.4,0.8,0.05,0.7,,,,,,,,,2.2,,0.03,-0.006,
4,TNG,4,2021,12.7,2.0,14.5,,0.178,0.059,-17.0,85,41.0,3.5,2209,13915,,,,,,0.335,,,0.5,0.8,0.4,0.21,4777.0,0.156,0.083,0.047,1.4,0.5,4.9,3.5,3.0,-421,0.009,0.004,27.0,,-0.401,1.4,0.8,0.083,0.7,,,,,,,,,2.0,,0.073,0.099,
5,TNG,3,2021,13.4,1.9,14.5,,0.155,0.048,-5.0,75,34.0,3.3,1826,12659,,,,,,0.318,,,0.5,0.9,0.5,0.118,4454.0,0.141,0.074,0.05,1.7,0.5,6.4,2.5,3.1,-216,0.038,0.018,35.0,,-0.45,1.3,0.8,0.074,0.8,,,,,,,,,2.1,,-0.008,0.068,
6,TNG,2,2021,11.7,1.6,15.5,,0.15,0.041,-11.0,109,48.0,3.2,1633,11848,,,,,,0.277,,,0.4,0.9,0.4,0.22,4489.0,0.144,0.073,0.042,2.0,0.6,7.2,3.2,3.6,-247,0.038,0.018,51.0,,-0.504,1.2,0.8,0.073,0.7,,,,,,,,,2.6,,0.054,0.092,
7,TNG,1,2021,14.1,1.7,12.0,,0.129,0.038,-2.0,107,32.0,1.7,1338,10849,,,,,,0.292,,,0.4,0.9,0.4,-0.076,4261.0,0.122,0.056,0.024,1.9,0.6,7.1,2.8,3.4,-154,0.135,0.102,73.0,,-0.434,1.3,0.8,0.056,0.5,,,,,,,,,2.4,,-0.038,-0.005,
8,TNG,4,2020,8.8,1.2,11.9,,0.138,0.046,5.0,89,29.0,1.7,1448,10907,,,,,,0.323,,,0.5,1.0,0.4,-0.18,4431.0,0.146,0.06,0.024,1.6,0.5,5.6,1.8,3.1,-76,0.153,0.109,65.0,76.3,-0.432,1.4,0.8,0.06,0.5,,,,,,,,,2.1,,-0.137,-0.006,
9,TNG,3,2020,5.9,0.9,10.1,,0.174,0.054,6.0,81,29.0,3.1,1766,10969,,,,,,0.301,,,0.4,1.0,0.6,-0.08,5133.0,0.131,0.065,0.038,1.8,0.6,5.5,2.1,3.3,71,0.253,0.158,59.0,58.3,-0.434,1.3,0.8,0.065,0.7,,,,,,,,,2.3,,-0.104,0.098,
10,TNG,2,2020,4.7,0.9,7.8,,0.208,0.056,-2.0,125,38.0,2.5,1920,9989,,,,,,0.27,,,0.4,1.0,0.4,-0.111,5729.0,0.156,0.073,0.029,2.1,0.6,5.6,3.2,3.7,-42,0.124,0.137,85.0,,-0.362,1.2,0.8,0.073,0.5,,,,,,,,,2.7,,-0.174,0.006,
11,TNG,1,2020,2.6,0.6,6.3,,0.242,0.072,6.0,105,24.0,2.2,2160,9933,,,,,,0.305,,,0.4,1.1,0.4,-0.132,6935.0,0.188,0.082,0.043,1.9,0.6,4.6,2.5,3.3,103,0.208,0.239,87.0,60.2,-0.28,1.5,0.8,0.082,0.6,,,,,,,,,2.3,,-0.02,-0.137,
12,TNG,4,2019,4.6,1.0,5.8,,0.248,0.082,30.0,79,20.0,3.1,2489,11514,,,,,,0.354,,,0.5,1.1,0.5,0.028,7078.0,0.176,0.094,0.054,1.5,0.5,3.8,1.8,2.8,193,0.274,0.339,89.0,12.2,-0.215,1.6,1.2,0.094,0.7,,,,,,,,,1.8,,0.013,0.094,
13,TNG,3,2019,5.8,1.3,6.4,,0.261,0.078,56.0,76,22.0,3.9,2421,10526,,,,,,0.323,,,0.5,1.1,0.5,0.086,6988.0,0.166,0.082,0.053,1.7,0.6,4.2,2.8,3.1,86,0.02,0.019,110.0,6.5,-0.156,1.6,1.2,0.082,0.8,,,,,,,,,2.1,,-0.041,0.091,
14,TNG,2,2019,7.5,1.7,7.4,,0.262,0.067,57.0,113,33.0,4.5,2229,9651,,,,,,0.275,,,0.4,1.0,0.4,0.053,7286.0,0.159,0.089,0.045,2.1,0.6,4.9,4.2,3.6,-6,0.036,0.029,137.0,6.4,-0.233,1.4,1.4,0.089,0.7,,,,,,,,,2.6,,-0.058,0.076,
15,TNG,1,2019,6.9,1.6,7.9,,0.265,0.074,36.0,105,21.0,3.1,2117,8968,,,,,,0.288,,,0.4,1.0,0.4,0.007,7737.0,0.187,0.088,0.046,2.0,0.6,4.6,2.9,3.5,50,0.064,0.04,119.0,10.1,-0.285,1.4,1.2,0.088,0.6,,,,,,,,,2.5,,0.068,-0.03,
16,TNG,4,2018,5.1,1.2,7.8,,0.254,0.075,44.0,87,22.0,3.3,2103,9249,,,,,,0.308,,,0.4,1.0,0.4,0.144,7246.0,0.184,0.093,0.057,1.8,0.6,4.3,2.4,3.2,13,0.016,0.011,109.0,8.4,-0.251,1.5,1.2,0.093,0.7,,,,,,,,,2.2,,0.069,0.068,
17,TNG,3,2018,6.1,1.3,8.0,,0.235,0.063,71.0,81,28.0,4.6,1839,8664,,,,,,0.276,,,0.4,0.9,0.5,0.124,6778.0,0.176,0.09,0.051,2.1,0.6,5.0,4.8,3.6,-175,0.019,0.016,124.0,5.2,-0.262,1.3,1.2,0.09,0.7,,,,,,,,,2.6,,-0.044,0.093,
18,TNG,2,2018,4.1,0.8,9.2,,0.227,0.055,67.0,122,37.0,3.5,1636,7927,,,,,,0.237,,,0.3,0.9,0.4,0.149,7087.0,0.163,0.095,0.051,2.5,0.6,5.9,5.8,4.2,-214,0.017,0.02,151.0,5.5,-0.136,1.2,1.2,0.095,0.6,,,,,,,,,3.2,,0.119,0.046,
19,TNG,1,2018,5.4,1.0,8.6,,0.206,0.056,44.0,107,24.0,2.8,1424,7578,,,,,,0.268,,,0.4,0.9,0.4,0.063,6335.0,0.175,0.082,0.036,2.4,0.6,5.8,3.9,3.7,-170,0.016,0.02,126.0,8.3,-0.115,1.2,1.2,0.082,0.5,,,,,,,,,2.7,,0.085,0.034,
20,TNG,4,2017,5.5,1.0,9.5,,0.2,0.057,48.0,94,24.0,2.9,1340,7327,,,,,,0.283,,,0.4,0.8,0.4,0.162,5840.0,0.183,0.096,0.043,2.1,0.6,5.7,3.9,3.5,-211,0.016,0.018,118.0,7.6,-0.122,1.2,1.2,0.096,0.5,,,,,,,,,2.5,,0.051,0.046,
21,TNG,3,2017,7.1,1.2,10.4,,0.181,0.047,74.0,91,29.0,3.8,1153,7006,,,,,,0.257,,,0.3,0.9,0.5,0.199,5556.0,0.17,0.086,0.054,2.5,0.6,6.6,3.8,3.9,-198,0.032,0.032,136.0,4.9,-0.141,1.1,1.2,0.086,0.7,,,,,,,,,2.9,,0.0,0.083,
22,TNG,2,2017,6.6,1.0,11.2,,0.162,0.04,63.0,130,34.0,3.1,961,6472,,,,,,0.247,,,0.3,0.8,0.3,0.016,5556.0,0.172,0.093,0.045,2.6,0.6,7.5,3.9,4.1,-232,0.014,0.014,159.0,5.8,-0.011,1.0,1.2,0.093,0.6,,,,,,,,,3.1,,0.087,0.038,
23,TNG,1,2017,6.5,1.0,10.4,,0.166,0.044,47.0,110,28.0,1.9,946,6235,,,,,,0.272,,,0.4,0.8,0.3,0.006,5110.0,0.18,0.076,0.036,2.3,0.6,7.3,2.8,3.7,-210,0.012,0.013,130.0,7.8,-0.144,1.0,1.1,0.076,0.5,,,,,,,,,2.7,,0.01,0.029,
24,TNG,4,2016,5.9,0.9,9.8,,0.17,0.047,49.0,92,33.0,2.4,940,6057,,,,,,0.282,,,0.4,0.8,0.3,-0.057,5059.0,0.177,0.088,0.026,2.2,0.6,6.5,2.7,3.5,-239,0.023,0.026,107.0,7.5,-0.146,1.1,1.1,0.088,0.3,,,,,,,,,2.5,,-0.283,0.053,
25,TNG,3,2016,7.0,1.2,8.3,,0.2,0.051,58.0,85,31.0,3.4,998,5752,,,,,,0.27,,,0.4,0.8,0.4,0.056,7053.0,0.168,0.089,0.049,2.3,0.6,5.8,2.2,3.7,-191,0.027,0.033,112.0,6.3,-0.152,1.2,1.2,0.089,0.7,,,,,,,,,2.7,,0.129,0.069,
26,TNG,2,2016,7.4,1.3,10.6,,0.203,0.046,53.0,113,33.0,2.4,945,5379,,,,,,0.242,,,0.3,0.8,0.3,0.04,6247.0,0.182,0.084,0.052,2.6,0.6,7.3,2.8,4.1,-249,0.019,0.018,133.0,6.9,-0.318,1.1,1.2,0.084,0.7,,,,,,,,,3.1,,-0.055,0.044,
27,TNG,1,2016,8.4,1.5,10.1,,0.203,0.049,40.0,90,25.0,1.9,909,5153,,,,,,0.252,,,0.3,0.8,0.4,0.037,6608.0,0.17,0.079,0.039,2.6,0.7,6.1,2.3,4.0,-170,0.011,0.008,105.0,9.1,-0.324,1.3,1.2,0.079,0.6,,,,,,,,,3.0,,-0.123,0.024,
28,TNG,4,2015,8.8,1.5,10.0,,0.217,0.054,40.0,77,30.0,4.1,877,5030,,,,,,0.268,,,0.4,0.8,0.4,0.045,7534.0,0.219,0.119,0.033,2.2,0.6,5.2,2.4,3.7,-211,0.131,0.107,87.0,9.2,-0.312,1.4,1.2,0.119,0.3,,,,,,,,,2.7,,0.007,0.188,
29,TNG,3,2015,10.5,2.1,10.0,,0.235,0.053,54.0,81,25.0,2.6,839,4233,,,,,,0.236,,,0.3,0.8,0.4,0.072,7482.0,0.156,0.05,0.04,2.7,0.6,6.6,3.0,4.2,-215,0.02,0.014,110.0,6.7,-0.256,1.3,1.3,0.05,1.1,,,,,,,,,3.2,,-0.063,0.074,
30,TNG,2,2015,10.6,2.1,10.5,,0.236,0.046,52.0,132,30.0,3.2,782,3943,,,,,,0.205,,,0.3,0.8,0.3,0.111,7989.0,0.207,0.101,0.045,3.3,0.7,6.9,4.1,4.9,-234,0.056,0.033,153.0,7.1,-0.276,1.1,1.2,0.101,0.5,,,,,,,,,3.9,,0.05,0.033,
31,TNG,1,2015,10.9,2.0,12.2,,0.223,0.049,34.0,113,22.0,2.1,704,3817,,,,,,0.234,,,0.3,0.8,0.3,0.136,7605.0,0.191,0.084,0.038,2.9,0.7,6.4,3.2,4.3,-156,0.078,0.047,126.0,10.6,-0.105,1.2,1.2,0.084,0.5,,,,,,,,,3.3,,-0.163,0.251,
32,TNG,4,2014,,,9.3,,0.221,0.049,37.0,97,21.0,2.1,619,3052,,,,,,0.22,,,0.3,0.7,0.3,0.209,9087.0,0.201,0.087,0.038,3.1,0.7,5.7,3.3,4.6,-210,0.052,0.034,113.0,10.0,-0.118,1.3,1.2,0.087,0.5,,,,,,,,,3.6,,0.072,0.053,
33,TNG,3,2014,,,9.5,,0.189,0.04,54.0,101,24.0,2.6,512,2899,,,,,,0.212,,,0.3,0.8,0.4,0.498,8475.0,0.17,0.081,0.04,3.3,0.7,6.4,3.2,4.7,-172,0.048,0.037,131.0,6.8,-0.121,1.1,1.2,0.081,0.6,,,,,,,,,3.7,,0.178,0.083,
34,TNG,2,2014,,,9.4,,0.133,0.023,57.0,164,41.0,2.1,342,2677,,,,,,0.18,,,0.2,0.8,0.3,0.172,7197.0,0.204,0.12,0.05,3.9,0.7,8.7,4.5,5.5,-194,0.029,0.033,180.0,6.4,-0.146,1.0,1.2,0.12,0.5,,,,,,,,,4.5,,-0.031,0.067,
35,TNG,1,2014,,,8.3,,0.117,0.024,25.0,127,26.0,1.3,292,2509,,,,,,0.201,,,0.3,0.8,0.3,0.131,7425.0,0.209,0.092,0.02,3.6,0.7,7.4,3.2,5.0,-160,0.037,0.043,126.0,14.4,-0.134,1.2,1.2,0.092,0.3,,,,,,,,,4.0,,0.02,-0.019,
36,TNG,4,2013,,,8.7,,0.102,0.023,41.0,102,23.0,1.2,258,2557,,,,,,0.228,,,0.3,0.7,0.3,-0.01,7280.0,0.222,0.092,0.017,3.0,0.7,6.7,2.6,4.4,-145,0.056,0.077,119.0,9.0,-0.156,1.2,1.2,0.092,0.2,,,,,,,,,3.4,,0.011,0.011,
37,TNG,3,2013,,,10.5,,0.104,0.023,30.0,99,23.0,1.3,260,2530,,,,,,0.211,,,0.3,0.8,0.3,0.008,7202.0,0.151,0.05,0.012,3.3,0.7,7.0,2.4,4.7,-122,0.074,0.105,106.0,12.1,-0.222,1.3,1.2,0.05,0.3,,,,,,,,,3.7,,0.003,0.026,
38,TNG,2,2013,,,8.5,,0.106,0.019,60.0,158,35.0,1.7,258,2467,,,,,,0.171,,,0.2,0.8,0.3,-0.077,7183.0,0.238,0.112,0.036,4.1,0.7,8.4,3.6,5.8,-135,0.053,0.087,183.0,6.1,-0.249,1.0,1.2,0.112,0.4,,,,,,,,,4.8,,-0.017,-0.003,
39,TNG,1,2013,,,7.5,,0.118,0.025,19.0,128,27.0,1.1,280,2475,,,,,,0.206,,,0.3,0.8,0.2,-0.048,7310.0,0.225,0.105,0.007,3.3,0.7,6.8,2.6,4.8,-135,0.043,0.092,119.0,19.4,-0.261,1.2,1.1,0.105,0.1,,,,,,,,,3.8,,-0.042,-0.018,
40,TNG,4,2012,,,7.2,,0.117,0.029,37.0,78,19.0,1.2,294,2520,,,,,,0.227,,,0.3,0.8,0.3,0.145,7630.0,0.113,0.07,0.014,3.0,0.7,5.7,2.9,4.4,-122,0.063,0.134,96.0,9.8,-0.248,1.4,1.0,0.07,0.2,,,,,,,,,3.4,,0.022,0.017,
41,TNG,3,2012,,,8.4,,0.103,0.025,28.0,83,24.0,1.3,257,2479,,,,,,0.227,,,0.3,0.8,0.3,-0.077,7464.0,0.165,0.064,0.015,3.0,0.7,5.6,3.2,4.4,-123,0.204,0.468,87.0,12.9,-0.895,1.3,1.0,0.064,0.2,,,,,,,,,3.4,,0.004,0.025,
42,TNG,2,2012,,,7.6,,0.115,0.024,44.0,128,32.0,1.6,278,2417,,,,,,0.191,,,0.2,0.8,0.3,0.215,7434.0,0.244,0.099,0.035,3.6,0.7,6.4,4.6,5.2,-138,0.029,0.047,140.0,8.3,-0.268,1.3,1.1,0.099,0.4,,,,,,,,,4.2,,0.1,0.07,
43,TNG,1,2012,,,6.5,,0.1,0.025,26.0,103,23.0,1.2,229,2260,,,,,,0.209,,,0.3,0.8,0.2,-0.229,6761.0,0.204,0.12,0.013,3.3,0.7,5.6,3.9,4.8,-128,0.017,0.024,106.0,14.0,-0.343,1.4,1.1,0.12,0.1,,,,,,,,,3.8,,-0.156,-0.099,
