,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TNT,4,2022,29.4,0.4,-18.5,,0.012,0.012,452,46.0,7,-49.3,135,10972,,,,,,0.929,,,13.1,12.9,12.2,-0.749,131,0.05,,,0.1,0.1,2.3,260.5,1.1,464,0.64,1.761,490.0,0.8,0.0,0.6,,,1.2,,,,,,,,,0.1,,-0.823,-0.03,
1,TNT,3,2022,11.7,0.6,-5.3,,0.063,0.058,260,33.0,6,36.1,541,11311,,,,,,0.956,,,21.8,37.5,35.6,-0.317,742,0.041,0.015,0.017,0.0,0.0,0.0,1.5,1.0,486,0.568,1.852,287.0,1.4,0.0,1.0,0.8,0.015,1.5,,,,,,,,,0.0,,-0.359,0.001,
2,TNT,2,2022,8.9,0.6,-3.2,,0.094,0.088,192,15.0,5,-36.5,792,11299,,,,,,0.973,,,35.5,39.9,37.9,-0.03,1159,0.08,,0.162,0.0,0.0,0.0,1.1,1.0,505,0.558,1.775,202.0,1.9,0.0,1.4,0.8,,-9.1,,,,,,,,,0.0,,-0.145,0.008,
3,TNT,1,2022,20.4,1.5,3.4,,0.098,0.083,142,12.0,16,1340.2,817,11214,,,,,,0.964,,,26.6,28.5,27.1,0.401,1355,0.08,0.077,0.062,0.0,0.0,0.0,0.9,1.0,501,0.362,0.54,138.0,2.6,0.0,1.7,0.8,0.077,1.0,,,,,,,,,0.0,,0.409,0.035,
4,TNT,4,2021,32.6,1.8,18.4,,0.072,0.063,177,27.0,10,202.4,583,10836,,,,,,0.943,,,16.5,16.7,14.7,0.148,961,0.081,0.038,0.031,0.0,0.0,0.0,0.7,1.1,474,0.257,0.208,194.0,2.1,0.0,1.4,0.8,0.038,1.0,,,,,,,,,0.1,,-0.242,0.877,
5,TNT,3,2021,18.6,1.6,,,0.092,0.074,119,31.0,13,739.1,507,5771,,,,,,0.855,,,5.9,5.1,3.9,1.206,1268,0.08,0.077,0.063,0.0,0.0,0.0,0.6,1.2,200,0.023,,137.0,3.1,0.0,1.5,0.8,0.077,1.0,,,,,,,,,0.2,,1.101,0.048,
6,TNT,2,2021,39.6,1.7,,,0.043,0.037,191,33.0,30,284.3,230,5508,,,,,,0.854,,,5.9,4.9,4.4,1.306,604,0.084,0.032,0.026,0.0,0.0,0.1,0.5,1.2,187,0.306,,193.0,1.9,0.0,1.0,0.8,0.032,1.0,,,,,,,,,0.2,,1.15,0.02,
7,TNT,1,2021,61.3,1.1,,,0.019,0.014,459,90.0,171,348.3,99,5399,,,,,,0.674,,,2.1,2.2,2.0,-2.91,281,0.09,0.081,0.067,0.0,0.0,0.2,0.5,1.5,156,0.027,,378.0,0.8,0.0,0.3,0.9,0.081,1.0,,,,,,,,,0.5,,-4.369,0.027,
8,TNT,4,2020,-35.2,0.4,-405.0,,-0.01,-0.008,4035,780.0,854,-15.3,-52,5255,,,,,,0.76,,,3.2,2.8,2.5,0.498,-83,,,,0.0,0.0,-0.6,0.4,1.3,149,0.002,0.001,3961.0,0.1,0.0,0.0,,,1.1,,,,,,,,,0.3,,-0.686,-0.002,
9,TNT,3,2020,-43.0,0.3,-11.0,,-0.007,-0.005,1515,432.0,600,-18.2,-34,5263,,,,,,0.762,,,3.2,2.8,2.5,1.554,-266,,,,0.0,0.0,-3.6,0.4,1.3,149,0.005,0.017,1347.0,0.2,0.0,0.1,,,1.3,,,,,,,,,0.3,,0.21,-0.003,
10,TNT,2,2020,-114.2,0.3,-8.0,,-0.003,-0.002,700,201.0,234,-40.3,-13,5278,,,,,,0.863,,,6.3,4.6,3.9,-1.558,-220,0.048,,,0.0,0.0,-4.8,0.4,1.2,149,0.001,0.008,667.0,0.5,0.0,0.2,,,0.8,,,,,,,,,0.2,,12.352,-0.004,
11,TNT,1,2020,53.5,0.2,-90.4,,0.005,0.004,266,67.0,81,-10.4,24,5299,,,,,,0.872,,,6.8,4.5,3.8,-0.465,-16,0.05,,,0.0,0.0,-10.3,0.8,1.1,135,0.006,0.044,252.0,1.4,0.0,0.5,,,1.1,,,,,,,,,0.1,,-1.624,0.001,
12,TNT,4,2019,35.0,0.3,145.5,,0.009,0.007,184,48.0,64,-3.3,45,5296,,,,,,0.891,,,8.2,5.2,4.4,2.78,26,0.046,-0.467,0.04,0.0,0.0,36.5,0.8,1.1,136,0.002,0.015,169.0,2.0,0.0,0.5,-0.6,-0.467,0.1,,,,,,,,,0.1,,-1.124,0.002,
13,TNT,3,2019,151.2,0.3,-17.9,,0.002,0.002,145,44.0,118,2.6,12,5287,,,,,,0.697,,,2.8,1.5,1.2,-0.856,-213,0.053,0.022,0.013,0.2,0.1,-4.6,45.8,1.4,48,0.015,0.11,71.0,2.5,0.0,0.5,0.8,0.022,0.5,,,,,,,,,0.4,,1.8,0.001,
14,TNT,2,2019,24.0,0.4,-55.6,,0.016,0.012,106,42.0,93,1.5,84,5280,,,,,,0.726,,,3.3,1.6,1.2,1.052,-76,0.049,0.037,0.008,0.2,0.1,-15.1,46.4,1.4,48,0.008,0.053,55.0,3.5,0.0,0.5,1.3,0.037,0.3,,,,,,,,,0.3,,-0.73,0.003,
