,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TNW,4,2022,20.7,0.6,8.9,,0.027,0.007,-157,99,600,3.5,385,13864,,,,,,0.238,,,0.3,0.5,0.4,-0.374,4073,0.601,0.137,,2.4,0.6,6.5,0.1,4.2,-99,0.066,0.114,-658,,-0.949,0.2,,0.137,-0.6,,,,,,,,,3.2,,0.123,-0.017,
1,TNW,3,2022,15.7,0.7,9.6,,0.043,0.012,-181,80,602,5.5,616,14097,,,,,,0.232,,,0.3,0.5,0.5,0.339,3627,0.653,0.224,0.13,2.1,0.5,6.3,0.0,4.3,-140,0.081,0.172,-703,,-1.076,0.2,0.7,0.224,0.8,,,,,,,,,3.3,,0.036,0.03,
2,TNW,2,2022,20.2,0.7,9.7,,0.033,0.009,-187,71,582,4.5,460,13689,,,,,,0.231,,,0.3,0.4,0.3,-0.271,3502,0.606,0.209,0.015,1.8,0.4,5.8,0.0,4.3,-224,0.037,0.05,-697,,-0.862,0.2,0.5,0.209,0.1,,,,,,,,,3.3,,0.029,-0.048,
3,TNW,1,2022,16.8,0.7,9.8,,0.044,0.014,-16,68,313,3.2,630,14372,,,,,,0.292,,,0.4,0.8,0.7,0.064,3404,0.607,0.178,0.069,1.6,0.5,5.6,0.1,3.4,-45,0.059,0.078,-261,,-0.72,0.3,0.7,0.178,0.6,,,,,,,,,2.4,,0.008,0.002,
4,TNW,4,2021,18.3,0.8,8.2,,0.041,0.013,-60,73,406,0.3,592,14346,,,,,,0.291,,,0.4,0.8,0.7,0.202,3377,0.378,0.011,,1.3,0.4,4.9,0.1,3.4,-63,0.022,0.027,-392,,-0.695,0.3,,0.011,-1.5,,,,,,,,,2.4,,-0.02,0.0,
5,TNW,3,2021,21.6,0.7,7.7,,0.034,0.012,-65,81,362,4.0,493,14348,,,,,,0.31,,,0.4,0.8,0.7,0.115,3447,0.627,0.189,0.084,1.1,0.4,4.1,0.0,3.2,-57,0.045,0.06,-346,,-0.617,0.3,0.7,0.189,0.6,,,,,,,,,2.2,,0.037,0.018,
6,TNW,2,2021,25.7,0.8,8.0,,0.03,0.012,-31,73,192,3.6,442,14096,,,,,,0.344,,,0.5,1.1,1.0,-0.086,3324,0.596,0.177,0.074,1.2,0.4,3.8,0.0,2.9,23,0.044,0.057,-150,,-0.381,0.3,0.7,0.177,0.6,,,,,,,,,1.9,,-0.006,-0.03,
7,TNW,1,2021,20.9,0.7,7.2,,0.033,0.013,-37,75,234,2.8,483,14540,,,,,,0.362,,,0.6,1.2,1.1,0.125,3342,0.614,0.164,0.053,1.1,0.4,3.6,0.1,2.8,28,0.112,0.157,-197,,-0.211,0.3,0.6,0.164,0.5,,,,,,,,,1.8,,0.015,0.009,
8,TNW,4,2020,29.9,0.9,6.8,,0.026,0.011,14,72,291,0.2,430,14405,,,,,,0.351,,,0.5,1.0,0.9,1.331,3292,0.478,0.028,,1.0,0.3,3.5,0.1,2.8,-2,0.117,0.13,-205,26.3,-0.258,0.3,,0.028,-0.9,,,,,,,,,1.8,,0.091,-0.007,
9,TNW,3,2020,72.8,0.9,7.6,,0.012,0.005,30,83,182,3.4,184,14508,,,,,,0.399,,,0.7,0.9,0.8,-0.34,3018,0.608,0.153,0.069,0.8,0.3,3.3,0.0,2.5,-10,0.144,0.155,-69,12.1,-0.218,0.3,0.9,0.153,0.5,,,,,,,,,1.5,,-0.03,-0.037,
10,TNW,2,2020,17.7,0.3,6.4,,0.019,0.009,-30,76,170,5.1,279,15067,,,,,,0.471,,,0.9,0.6,0.5,0.488,3110,0.615,0.199,0.095,0.6,0.3,2.7,0.1,2.1,-55,0.093,0.111,-125,,-0.154,0.3,0.7,0.199,0.7,,,,,,,,,1.1,,0.041,0.017,
11,TNW,1,2020,45.1,0.6,4.4,,0.012,0.006,-38,74,155,1.6,187,14811,,,,,,0.461,,,0.9,0.6,0.5,-0.346,2987,0.589,0.144,0.031,0.6,0.3,2.9,0.2,2.2,-66,0.083,0.224,-120,,-0.149,0.4,0.5,0.144,0.4,,,,,,,,,1.2,,-0.036,-0.183,
12,TNW,4,2019,30.3,0.5,4.8,,0.017,0.009,52,67,171,-0.9,287,18127,,,,,,0.51,,,1.0,1.1,1.0,0.003,3100,0.517,-0.06,-0.111,0.5,0.2,2.8,0.2,2.0,16,0.163,0.236,-53,7.0,-0.096,0.4,1.0,-0.06,1.9,,,,,,,,,1.0,,0.024,0.203,
13,TNW,3,2019,27.6,0.5,7.0,,0.019,0.009,48,79,96,3.7,286,15069,,,,,,0.475,,,0.9,1.3,1.2,0.106,3028,0.612,0.201,0.106,0.6,0.3,2.8,0.0,2.1,40,0.397,0.322,32,7.6,-0.034,0.4,1.4,0.201,0.7,,,,,,,,,1.1,,0.004,0.02,
